ts_code,trade_time,close,open,high,low,vol,amount
512000.SH,2026-05-08 15:00:00,0.517,0.517,0.518,0.516,275906000.0,142516640.0
512000.SH,2026-05-08 14:00:00,0.517,0.516,0.518,0.515,216391300.0,111758330.0
512000.SH,2026-05-08 11:30:00,0.516,0.518,0.518,0.515,356351300.0,184009060.0
512000.SH,2026-05-08 10:30:00,0.517,0.519,0.521,0.517,491592260.0,255041040.0
512000.SH,2026-05-08 09:30:00,0.518,0.518,0.518,0.518,17222500.0,8921255.0
512000.SH,2026-05-07 15:00:00,0.521,0.519,0.521,0.519,350140130.0,182016430.0
512000.SH,2026-05-07 14:00:00,0.519,0.519,0.521,0.517,403517700.0,209290540.0
512000.SH,2026-05-07 11:30:00,0.519,0.518,0.519,0.517,307075600.0,159043100.0
512000.SH,2026-05-07 10:30:00,0.518,0.525,0.526,0.517,1034549000.0,537807100.0
512000.SH,2026-05-07 09:30:00,0.525,0.525,0.525,0.525,11845800.0,6219045.0
512000.SH,2026-05-06 15:00:00,0.523,0.522,0.523,0.52,574760300.0,300230430.0
512000.SH,2026-05-06 14:00:00,0.523,0.524,0.524,0.522,228401700.0,119441770.0
512000.SH,2026-05-06 11:30:00,0.524,0.524,0.525,0.521,395370900.0,206623170.0
512000.SH,2026-05-06 10:30:00,0.524,0.517,0.526,0.516,1309948700.0,682498050.0
512000.SH,2026-05-06 09:30:00,0.517,0.517,0.517,0.517,14646700.0,7572344.0
512000.SH,2026-04-30 15:00:00,0.516,0.514,0.516,0.514,391601900.0,201790160.0
512000.SH,2026-04-30 14:00:00,0.515,0.516,0.516,0.513,219948800.0,113133520.0
512000.SH,2026-04-30 11:30:00,0.515,0.517,0.518,0.515,293973700.0,151738190.0
512000.SH,2026-04-30 10:30:00,0.517,0.514,0.524,0.513,1222822800.0,634670460.0
512000.SH,2026-04-30 09:30:00,0.514,0.513,0.514,0.513,19845400.0,10185941.0
