trade_date,ts_code,curve_name,curve_type,curve_term,yield
20210930,1001.CB,中债国债收益率曲线,0,0.0,1.65
20210930,1001.CB,中债国债收益率曲线,0,0.08,1.8452
20210930,1001.CB,中债国债收益率曲线,0,0.1,1.871
20210930,1001.CB,中债国债收益率曲线,0,0.17,1.9011
20210930,1001.CB,中债国债收益率曲线,0,0.2,1.9213
20210930,1001.CB,中债国债收益率曲线,0,0.25,1.9562
20210930,1001.CB,中债国债收益率曲线,0,0.3,2.0017
20210930,1001.CB,中债国债收益率曲线,0,0.4,2.1163
20210930,1001.CB,中债国债收益率曲线,0,0.5,2.1998
20210930,1001.CB,中债国债收益率曲线,0,0.6,2.2372
20210930,1001.CB,中债国债收益率曲线,0,0.7,2.2525
20210930,1001.CB,中债国债收益率曲线,0,0.75,2.2595
20210930,1001.CB,中债国债收益率曲线,0,0.8,2.2702
20210930,1001.CB,中债国债收益率曲线,0,0.9,2.3004
20210930,1001.CB,中债国债收益率曲线,0,1.0,2.3327
20210930,1001.CB,中债国债收益率曲线,0,1.1,2.3657
20210930,1001.CB,中债国债收益率曲线,0,1.2,2.3982
20210930,1001.CB,中债国债收益率曲线,0,1.3,2.424
20210930,1001.CB,中债国债收益率曲线,0,1.4,2.4408
20210930,1001.CB,中债国债收益率曲线,0,1.5,2.4522
20210930,1001.CB,中债国债收益率曲线,0,1.6,2.4615
20210930,1001.CB,中债国债收益率曲线,0,1.7,2.4712
20210930,1001.CB,中债国债收益率曲线,0,1.8,2.4794
20210930,1001.CB,中债国债收益率曲线,0,1.9,2.486
20210930,1001.CB,中债国债收益率曲线,0,2.0,2.4912
20210930,1001.CB,中债国债收益率曲线,0,2.1,2.4953
20210930,1001.CB,中债国债收益率曲线,0,2.2,2.4984
20210930,1001.CB,中债国债收益率曲线,0,2.3,2.5007
20210930,1001.CB,中债国债收益率曲线,0,2.4,2.5024
20210930,1001.CB,中债国债收益率曲线,0,2.5,2.5038
20210930,1001.CB,中债国债收益率曲线,0,2.6,2.505
20210930,1001.CB,中债国债收益率曲线,0,2.7,2.5062
20210930,1001.CB,中债国债收益率曲线,0,2.8,2.5076
20210930,1001.CB,中债国债收益率曲线,0,2.9,2.5095
20210930,1001.CB,中债国债收益率曲线,0,3.0,2.5122
20210930,1001.CB,中债国债收益率曲线,0,3.1,2.5164
20210930,1001.CB,中债国债收益率曲线,0,3.2,2.5218
20210930,1001.CB,中债国债收益率曲线,0,3.3,2.5285
20210930,1001.CB,中债国债收益率曲线,0,3.4,2.5363
20210930,1001.CB,中债国债收益率曲线,0,3.5,2.5451
20210930,1001.CB,中债国债收益率曲线,0,3.6,2.5547
20210930,1001.CB,中债国债收益率曲线,0,3.7,2.565
20210930,1001.CB,中债国债收益率曲线,0,3.8,2.576
20210930,1001.CB,中债国债收益率曲线,0,3.9,2.5875
20210930,1001.CB,中债国债收益率曲线,0,4.0,2.5993
20210930,1001.CB,中债国债收益率曲线,0,4.1,2.6114
20210930,1001.CB,中债国债收益率曲线,0,4.2,2.6237
20210930,1001.CB,中债国债收益率曲线,0,4.3,2.6359
20210930,1001.CB,中债国债收益率曲线,0,4.4,2.6481
20210930,1001.CB,中债国债收益率曲线,0,4.5,2.66
20210930,1001.CB,中债国债收益率曲线,0,4.6,2.6717
20210930,1001.CB,中债国债收益率曲线,0,4.7,2.6828
20210930,1001.CB,中债国债收益率曲线,0,4.8,2.6934
20210930,1001.CB,中债国债收益率曲线,0,4.9,2.7034
20210930,1001.CB,中债国债收益率曲线,0,5.0,2.7134
20210930,1001.CB,中债国债收益率曲线,0,5.1,2.7235
20210930,1001.CB,中债国债收益率曲线,0,5.2,2.7338
20210930,1001.CB,中债国债收益率曲线,0,5.3,2.7442
20210930,1001.CB,中债国债收益率曲线,0,5.4,2.7544
20210930,1001.CB,中债国债收益率曲线,0,5.5,2.7646
20210930,1001.CB,中债国债收益率曲线,0,5.6,2.7745
20210930,1001.CB,中债国债收益率曲线,0,5.7,2.7841
20210930,1001.CB,中债国债收益率曲线,0,5.8,2.7934
20210930,1001.CB,中债国债收益率曲线,0,5.9,2.8022
20210930,1001.CB,中债国债收益率曲线,0,6.0,2.8105
20210930,1001.CB,中债国债收益率曲线,0,6.1,2.8182
20210930,1001.CB,中债国债收益率曲线,0,6.2,2.8251
20210930,1001.CB,中债国债收益率曲线,0,6.3,2.8314
20210930,1001.CB,中债国债收益率曲线,0,6.4,2.8367
20210930,1001.CB,中债国债收益率曲线,0,6.5,2.8411
20210930,1001.CB,中债国债收益率曲线,0,6.6,2.8445
20210930,1001.CB,中债国债收益率曲线,0,6.7,2.8472
20210930,1001.CB,中债国债收益率曲线,0,6.8,2.8496
20210930,1001.CB,中债国债收益率曲线,0,6.9,2.8519
20210930,1001.CB,中债国债收益率曲线,0,7.0,2.854
20210930,1001.CB,中债国债收益率曲线,0,7.1,2.8559
20210930,1001.CB,中债国债收益率曲线,0,7.2,2.8577
20210930,1001.CB,中债国债收益率曲线,0,7.3,2.8593
20210930,1001.CB,中债国债收益率曲线,0,7.4,2.8607
20210930,1001.CB,中债国债收益率曲线,0,7.5,2.8621
20210930,1001.CB,中债国债收益率曲线,0,7.6,2.8633
20210930,1001.CB,中债国债收益率曲线,0,7.7,2.8644
20210930,1001.CB,中债国债收益率曲线,0,7.8,2.8653
20210930,1001.CB,中债国债收益率曲线,0,7.9,2.8662
20210930,1001.CB,中债国债收益率曲线,0,8.0,2.867
20210930,1001.CB,中债国债收益率曲线,0,8.1,2.8677
20210930,1001.CB,中债国债收益率曲线,0,8.2,2.8683
20210930,1001.CB,中债国债收益率曲线,0,8.3,2.8688
20210930,1001.CB,中债国债收益率曲线,0,8.4,2.8692
20210930,1001.CB,中债国债收益率曲线,0,8.5,2.8696
20210930,1001.CB,中债国债收益率曲线,0,8.6,2.87
20210930,1001.CB,中债国债收益率曲线,0,8.7,2.8703
20210930,1001.CB,中债国债收益率曲线,0,8.8,2.8706
20210930,1001.CB,中债国债收益率曲线,0,8.9,2.8708
20210930,1001.CB,中债国债收益率曲线,0,9.0,2.871
20210930,1001.CB,中债国债收益率曲线,0,9.1,2.8712
20210930,1001.CB,中债国债收益率曲线,0,9.2,2.8714
20210930,1001.CB,中债国债收益率曲线,0,9.3,2.8716
20210930,1001.CB,中债国债收益率曲线,0,9.4,2.8718
20210930,1001.CB,中债国债收益率曲线,0,9.5,2.8721
20210930,1001.CB,中债国债收益率曲线,0,9.6,2.8723
20210930,1001.CB,中债国债收益率曲线,0,9.7,2.8727
20210930,1001.CB,中债国债收益率曲线,0,9.8,2.8737
20210930,1001.CB,中债国债收益率曲线,0,9.9,2.8753
20210930,1001.CB,中债国债收益率曲线,0,10.0,2.8776
20210930,1001.CB,中债国债收益率曲线,0,10.1,2.8805
20210930,1001.CB,中债国债收益率曲线,0,10.2,2.884
20210930,1001.CB,中债国债收益率曲线,0,10.3,2.8881
20210930,1001.CB,中债国债收益率曲线,0,10.4,2.8927
20210930,1001.CB,中债国债收益率曲线,0,10.5,2.8979
20210930,1001.CB,中债国债收益率曲线,0,10.6,2.9035
20210930,1001.CB,中债国债收益率曲线,0,10.7,2.9097
20210930,1001.CB,中债国债收益率曲线,0,10.8,2.9162
20210930,1001.CB,中债国债收益率曲线,0,10.9,2.9232
20210930,1001.CB,中债国债收益率曲线,0,11.0,2.9306
20210930,1001.CB,中债国债收益率曲线,0,11.1,2.9384
20210930,1001.CB,中债国债收益率曲线,0,11.2,2.9465
20210930,1001.CB,中债国债收益率曲线,0,11.3,2.9549
20210930,1001.CB,中债国债收益率曲线,0,11.4,2.9636
20210930,1001.CB,中债国债收益率曲线,0,11.5,2.9726
20210930,1001.CB,中债国债收益率曲线,0,11.6,2.9818
20210930,1001.CB,中债国债收益率曲线,0,11.7,2.9912
20210930,1001.CB,中债国债收益率曲线,0,11.8,3.0008
20210930,1001.CB,中债国债收益率曲线,0,11.9,3.0106
