trade_date,ts_code,curve_name,curve_type,curve_term,yield
20251031,1001.CB,中债国债收益率曲线,0,0.0,1.0442
20251031,1001.CB,中债国债收益率曲线,0,0.08,1.2689
20251031,1001.CB,中债国债收益率曲线,0,0.1,1.2731
20251031,1001.CB,中债国债收益率曲线,0,0.17,1.2775
20251031,1001.CB,中债国债收益率曲线,0,0.2,1.2809
20251031,1001.CB,中债国债收益率曲线,0,0.25,1.2885
20251031,1001.CB,中债国债收益率曲线,0,0.3,1.3003
20251031,1001.CB,中债国债收益率曲线,0,0.4,1.3312
20251031,1001.CB,中债国债收益率曲线,0,0.5,1.3535
20251031,1001.CB,中债国债收益率曲线,0,0.6,1.3617
20251031,1001.CB,中债国债收益率曲线,0,0.7,1.3642
20251031,1001.CB,中债国债收益率曲线,0,0.75,1.3656
20251031,1001.CB,中债国债收益率曲线,0,0.8,1.3682
20251031,1001.CB,中债国债收益率曲线,0,0.9,1.3759
20251031,1001.CB,中债国债收益率曲线,0,1.0,1.3826
20251031,1001.CB,中债国债收益率曲线,0,1.1,1.3873
20251031,1001.CB,中债国债收益率曲线,0,1.2,1.3908
20251031,1001.CB,中债国债收益率曲线,0,1.3,1.3931
20251031,1001.CB,中债国债收益率曲线,0,1.4,1.3947
20251031,1001.CB,中债国债收益率曲线,0,1.5,1.3958
20251031,1001.CB,中债国债收益率曲线,0,1.6,1.3967
20251031,1001.CB,中债国债收益率曲线,0,1.7,1.3976
20251031,1001.CB,中债国债收益率曲线,0,1.8,1.3988
20251031,1001.CB,中债国债收益率曲线,0,1.9,1.4005
20251031,1001.CB,中债国债收益率曲线,0,2.0,1.4022
20251031,1001.CB,中债国债收益率曲线,0,2.1,1.4036
20251031,1001.CB,中债国债收益率曲线,0,2.2,1.4047
20251031,1001.CB,中债国债收益率曲线,0,2.3,1.4057
20251031,1001.CB,中债国债收益率曲线,0,2.4,1.4066
20251031,1001.CB,中债国债收益率曲线,0,2.5,1.4074
20251031,1001.CB,中债国债收益率曲线,0,2.6,1.4082
20251031,1001.CB,中债国债收益率曲线,0,2.7,1.4091
20251031,1001.CB,中债国债收益率曲线,0,2.8,1.4101
20251031,1001.CB,中债国债收益率曲线,0,2.9,1.4119
20251031,1001.CB,中债国债收益率曲线,0,3.0,1.4146
20251031,1001.CB,中债国债收益率曲线,0,3.1,1.4183
20251031,1001.CB,中债国债收益率曲线,0,3.2,1.4228
20251031,1001.CB,中债国债收益率曲线,0,3.3,1.4281
20251031,1001.CB,中债国债收益率曲线,0,3.4,1.4342
20251031,1001.CB,中债国债收益率曲线,0,3.5,1.4408
20251031,1001.CB,中债国债收益率曲线,0,3.6,1.448
20251031,1001.CB,中债国债收益率曲线,0,3.7,1.4557
20251031,1001.CB,中债国债收益率曲线,0,3.8,1.4638
20251031,1001.CB,中债国债收益率曲线,0,3.9,1.4723
20251031,1001.CB,中债国债收益率曲线,0,4.0,1.481
20251031,1001.CB,中债国债收益率曲线,0,4.1,1.4899
20251031,1001.CB,中债国债收益率曲线,0,4.2,1.4989
20251031,1001.CB,中债国债收益率曲线,0,4.3,1.508
20251031,1001.CB,中债国债收益率曲线,0,4.4,1.517
20251031,1001.CB,中债国债收益率曲线,0,4.5,1.5259
20251031,1001.CB,中债国债收益率曲线,0,4.6,1.5346
20251031,1001.CB,中债国债收益率曲线,0,4.7,1.5431
20251031,1001.CB,中债国债收益率曲线,0,4.8,1.5512
20251031,1001.CB,中债国债收益率曲线,0,4.9,1.5589
20251031,1001.CB,中债国债收益率曲线,0,5.0,1.5662
20251031,1001.CB,中债国债收益率曲线,0,5.1,1.573
20251031,1001.CB,中债国债收益率曲线,0,5.2,1.5796
20251031,1001.CB,中债国债收益率曲线,0,5.3,1.5859
20251031,1001.CB,中债国债收益率曲线,0,5.4,1.592
20251031,1001.CB,中债国债收益率曲线,0,5.5,1.5978
20251031,1001.CB,中债国债收益率曲线,0,5.6,1.6035
20251031,1001.CB,中债国债收益率曲线,0,5.7,1.609
20251031,1001.CB,中债国债收益率曲线,0,5.8,1.6143
20251031,1001.CB,中债国债收益率曲线,0,5.9,1.6196
20251031,1001.CB,中债国债收益率曲线,0,6.0,1.6247
20251031,1001.CB,中债国债收益率曲线,0,6.1,1.6298
20251031,1001.CB,中债国债收益率曲线,0,6.2,1.6349
20251031,1001.CB,中债国债收益率曲线,0,6.3,1.64
20251031,1001.CB,中债国债收益率曲线,0,6.4,1.645
20251031,1001.CB,中债国债收益率曲线,0,6.5,1.6501
20251031,1001.CB,中债国债收益率曲线,0,6.6,1.6553
20251031,1001.CB,中债国债收益率曲线,0,6.7,1.6606
20251031,1001.CB,中债国债收益率曲线,0,6.8,1.6659
20251031,1001.CB,中债国债收益率曲线,0,6.9,1.6714
20251031,1001.CB,中债国债收益率曲线,0,7.0,1.6768
20251031,1001.CB,中债国债收益率曲线,0,7.1,1.682
20251031,1001.CB,中债国债收益率曲线,0,7.2,1.6871
20251031,1001.CB,中债国债收益率曲线,0,7.3,1.6919
20251031,1001.CB,中债国债收益率曲线,0,7.4,1.6966
20251031,1001.CB,中债国债收益率曲线,0,7.5,1.7011
20251031,1001.CB,中债国债收益率曲线,0,7.6,1.7055
20251031,1001.CB,中债国债收益率曲线,0,7.7,1.7097
20251031,1001.CB,中债国债收益率曲线,0,7.8,1.7139
20251031,1001.CB,中债国债收益率曲线,0,7.9,1.7179
20251031,1001.CB,中债国债收益率曲线,0,8.0,1.7218
20251031,1001.CB,中债国债收益率曲线,0,8.1,1.7256
20251031,1001.CB,中债国债收益率曲线,0,8.2,1.7294
20251031,1001.CB,中债国债收益率曲线,0,8.3,1.733
20251031,1001.CB,中债国债收益率曲线,0,8.4,1.7367
20251031,1001.CB,中债国债收益率曲线,0,8.5,1.7402
20251031,1001.CB,中债国债收益率曲线,0,8.6,1.7438
20251031,1001.CB,中债国债收益率曲线,0,8.7,1.7473
20251031,1001.CB,中债国债收益率曲线,0,8.8,1.7508
20251031,1001.CB,中债国债收益率曲线,0,8.9,1.7543
20251031,1001.CB,中债国债收益率曲线,0,9.0,1.7578
20251031,1001.CB,中债国债收益率曲线,0,9.1,1.7613
20251031,1001.CB,中债国债收益率曲线,0,9.2,1.7649
20251031,1001.CB,中债国债收益率曲线,0,9.3,1.7684
20251031,1001.CB,中债国债收益率曲线,0,9.4,1.7721
20251031,1001.CB,中债国债收益率曲线,0,9.5,1.7758
20251031,1001.CB,中债国债收益率曲线,0,9.6,1.7795
20251031,1001.CB,中债国债收益率曲线,0,9.7,1.7834
20251031,1001.CB,中债国债收益率曲线,0,9.8,1.7873
20251031,1001.CB,中债国债收益率曲线,0,9.9,1.7914
20251031,1001.CB,中债国债收益率曲线,0,10.0,1.7954
20251031,1001.CB,中债国债收益率曲线,0,10.1,1.7995
20251031,1001.CB,中债国债收益率曲线,0,10.2,1.8037
20251031,1001.CB,中债国债收益率曲线,0,10.3,1.8078
20251031,1001.CB,中债国债收益率曲线,0,10.4,1.812
