trade_date,ts_code,curve_name,curve_type,curve_term,yield
20221125,1001.CB,中债国债收益率曲线,0,0.0,0.9901
20221125,1001.CB,中债国债收益率曲线,0,0.08,1.2452
20221125,1001.CB,中债国债收益率曲线,0,0.1,1.3327
20221125,1001.CB,中债国债收益率曲线,0,0.17,1.9614
20221125,1001.CB,中债国债收益率曲线,0,0.2,2.0
20221125,1001.CB,中债国债收益率曲线,0,0.25,2.0002
20221125,1001.CB,中债国债收益率曲线,0,0.3,2.0061
20221125,1001.CB,中债国债收益率曲线,0,0.4,2.0287
20221125,1001.CB,中债国债收益率曲线,0,0.5,2.0422
20221125,1001.CB,中债国债收益率曲线,0,0.6,2.0461
20221125,1001.CB,中债国债收益率曲线,0,0.7,2.0472
20221125,1001.CB,中债国债收益率曲线,0,0.75,2.0477
20221125,1001.CB,中债国债收益率曲线,0,0.8,2.0499
20221125,1001.CB,中债国债收益率曲线,0,0.9,2.0588
20221125,1001.CB,中债国债收益率曲线,0,1.0,2.0685
20221125,1001.CB,中债国债收益率曲线,0,1.1,2.0833
20221125,1001.CB,中债国债收益率曲线,0,1.2,2.1025
20221125,1001.CB,中债国债收益率曲线,0,1.3,2.1249
20221125,1001.CB,中债国债收益率曲线,0,1.4,2.1495
20221125,1001.CB,中债国债收益率曲线,0,1.5,2.1752
20221125,1001.CB,中债国债收益率曲线,0,1.6,2.2011
20221125,1001.CB,中债国债收益率曲线,0,1.7,2.226
20221125,1001.CB,中债国债收益率曲线,0,1.8,2.2488
20221125,1001.CB,中债国债收益率曲线,0,1.9,2.2691
20221125,1001.CB,中债国债收益率曲线,0,2.0,2.2871
20221125,1001.CB,中债国债收益率曲线,0,2.1,2.3033
20221125,1001.CB,中债国债收益率曲线,0,2.2,2.3179
20221125,1001.CB,中债国债收益率曲线,0,2.3,2.3312
20221125,1001.CB,中债国债收益率曲线,0,2.4,2.3436
20221125,1001.CB,中债国债收益率曲线,0,2.5,2.3553
20221125,1001.CB,中债国债收益率曲线,0,2.6,2.3667
20221125,1001.CB,中债国债收益率曲线,0,2.7,2.3781
20221125,1001.CB,中债国债收益率曲线,0,2.8,2.3898
20221125,1001.CB,中债国债收益率曲线,0,2.9,2.4021
20221125,1001.CB,中债国债收益率曲线,0,3.0,2.4154
20221125,1001.CB,中债国债收益率曲线,0,3.1,2.4288
20221125,1001.CB,中债国债收益率曲线,0,3.2,2.4415
20221125,1001.CB,中债国债收益率曲线,0,3.3,2.4535
20221125,1001.CB,中债国债收益率曲线,0,3.4,2.4648
20221125,1001.CB,中债国债收益率曲线,0,3.5,2.4756
20221125,1001.CB,中债国债收益率曲线,0,3.6,2.4859
20221125,1001.CB,中债国债收益率曲线,0,3.7,2.4957
20221125,1001.CB,中债国债收益率曲线,0,3.8,2.5051
20221125,1001.CB,中债国债收益率曲线,0,3.9,2.5143
20221125,1001.CB,中债国债收益率曲线,0,4.0,2.5232
20221125,1001.CB,中债国债收益率曲线,0,4.1,2.532
20221125,1001.CB,中债国债收益率曲线,0,4.2,2.5406
20221125,1001.CB,中债国债收益率曲线,0,4.3,2.5492
20221125,1001.CB,中债国债收益率曲线,0,4.4,2.5578
20221125,1001.CB,中债国债收益率曲线,0,4.5,2.5666
20221125,1001.CB,中债国债收益率曲线,0,4.6,2.5754
20221125,1001.CB,中债国债收益率曲线,0,4.7,2.5846
20221125,1001.CB,中债国债收益率曲线,0,4.8,2.594
20221125,1001.CB,中债国债收益率曲线,0,4.9,2.6037
20221125,1001.CB,中债国债收益率曲线,0,5.0,2.6144
20221125,1001.CB,中债国债收益率曲线,0,5.1,2.6262
20221125,1001.CB,中债国债收益率曲线,0,5.2,2.6389
20221125,1001.CB,中债国债收益率曲线,0,5.3,2.6524
20221125,1001.CB,中债国债收益率曲线,0,5.4,2.6664
20221125,1001.CB,中债国债收益率曲线,0,5.5,2.6808
20221125,1001.CB,中债国债收益率曲线,0,5.6,2.6954
20221125,1001.CB,中债国债收益率曲线,0,5.7,2.71
20221125,1001.CB,中债国债收益率曲线,0,5.8,2.7245
20221125,1001.CB,中债国债收益率曲线,0,5.9,2.7386
20221125,1001.CB,中债国债收益率曲线,0,6.0,2.7521
20221125,1001.CB,中债国债收益率曲线,0,6.1,2.765
20221125,1001.CB,中债国债收益率曲线,0,6.2,2.7769
20221125,1001.CB,中债国债收益率曲线,0,6.3,2.7878
20221125,1001.CB,中债国债收益率曲线,0,6.4,2.7974
20221125,1001.CB,中债国债收益率曲线,0,6.5,2.8056
20221125,1001.CB,中债国债收益率曲线,0,6.6,2.8121
20221125,1001.CB,中债国债收益率曲线,0,6.7,2.8168
20221125,1001.CB,中债国债收益率曲线,0,6.8,2.8196
20221125,1001.CB,中债国债收益率曲线,0,6.9,2.8206
20221125,1001.CB,中债国债收益率曲线,0,7.0,2.8215
20221125,1001.CB,中债国债收益率曲线,0,7.1,2.8223
20221125,1001.CB,中债国债收益率曲线,0,7.2,2.8231
20221125,1001.CB,中债国债收益率曲线,0,7.3,2.8238
20221125,1001.CB,中债国债收益率曲线,0,7.4,2.8245
20221125,1001.CB,中债国债收益率曲线,0,7.5,2.8251
20221125,1001.CB,中债国债收益率曲线,0,7.6,2.8256
20221125,1001.CB,中债国债收益率曲线,0,7.7,2.8262
20221125,1001.CB,中债国债收益率曲线,0,7.8,2.8266
20221125,1001.CB,中债国债收益率曲线,0,7.9,2.8271
20221125,1001.CB,中债国债收益率曲线,0,8.0,2.8274
20221125,1001.CB,中债国债收益率曲线,0,8.1,2.8278
20221125,1001.CB,中债国债收益率曲线,0,8.2,2.8281
20221125,1001.CB,中债国债收益率曲线,0,8.3,2.8284
20221125,1001.CB,中债国债收益率曲线,0,8.4,2.8286
20221125,1001.CB,中债国债收益率曲线,0,8.5,2.8289
20221125,1001.CB,中债国债收益率曲线,0,8.6,2.829
20221125,1001.CB,中债国债收益率曲线,0,8.7,2.8292
