trade_date,ts_code,curve_name,curve_type,curve_term,yield
20211224,1001.CB,中债国债收益率曲线,0,0.0,1.5444
20211224,1001.CB,中债国债收益率曲线,0,0.08,2.1726
20211224,1001.CB,中债国债收益率曲线,0,0.1,2.2392
20211224,1001.CB,中债国债收益率曲线,0,0.17,2.3293
20211224,1001.CB,中债国债收益率曲线,0,0.2,2.3294
20211224,1001.CB,中债国债收益率曲线,0,0.25,2.3278
20211224,1001.CB,中债国债收益率曲线,0,0.3,2.3342
20211224,1001.CB,中债国债收益率曲线,0,0.4,2.3555
20211224,1001.CB,中债国债收益率曲线,0,0.5,2.3592
20211224,1001.CB,中债国债收益率曲线,0,0.6,2.3544
20211224,1001.CB,中债国债收益率曲线,0,0.7,2.3476
20211224,1001.CB,中债国债收益率曲线,0,0.75,2.3443
20211224,1001.CB,中债国债收益率曲线,0,0.8,2.3416
20211224,1001.CB,中债国债收益率曲线,0,0.9,2.339
20211224,1001.CB,中债国债收益率曲线,0,1.0,2.3386
20211224,1001.CB,中债国债收益率曲线,0,1.1,2.342
20211224,1001.CB,中债国债收益率曲线,0,1.2,2.3511
20211224,1001.CB,中债国债收益率曲线,0,1.3,2.3649
20211224,1001.CB,中债国债收益率曲线,0,1.4,2.3819
20211224,1001.CB,中债国债收益率曲线,0,1.5,2.4008
20211224,1001.CB,中债国债收益率曲线,0,1.6,2.4204
20211224,1001.CB,中债国债收益率曲线,0,1.7,2.4393
20211224,1001.CB,中债国债收益率曲线,0,1.8,2.4563
20211224,1001.CB,中债国债收益率曲线,0,1.9,2.4703
20211224,1001.CB,中债国债收益率曲线,0,2.0,2.4819
20211224,1001.CB,中债国债收益率曲线,0,2.1,2.4916
20211224,1001.CB,中债国债收益率曲线,0,2.2,2.4998
20211224,1001.CB,中债国债收益率曲线,0,2.3,2.507
20211224,1001.CB,中债国债收益率曲线,0,2.4,2.5138
20211224,1001.CB,中债国债收益率曲线,0,2.5,2.5205
20211224,1001.CB,中债国债收益率曲线,0,2.6,2.5277
20211224,1001.CB,中债国债收益率曲线,0,2.7,2.5358
20211224,1001.CB,中债国债收益率曲线,0,2.8,2.5442
20211224,1001.CB,中债国债收益率曲线,0,2.9,2.5521
20211224,1001.CB,中债国债收益率曲线,0,3.0,2.5596
20211224,1001.CB,中债国债收益率曲线,0,3.1,2.5666
20211224,1001.CB,中债国债收益率曲线,0,3.2,2.5734
20211224,1001.CB,中债国债收益率曲线,0,3.3,2.5798
20211224,1001.CB,中债国债收益率曲线,0,3.4,2.5859
20211224,1001.CB,中债国债收益率曲线,0,3.5,2.5919
20211224,1001.CB,中债国债收益率曲线,0,3.6,2.5976
20211224,1001.CB,中债国债收益率曲线,0,3.7,2.6032
20211224,1001.CB,中债国债收益率曲线,0,3.8,2.6086
20211224,1001.CB,中债国债收益率曲线,0,3.9,2.614
20211224,1001.CB,中债国债收益率曲线,0,4.0,2.6194
20211224,1001.CB,中债国债收益率曲线,0,4.1,2.6247
20211224,1001.CB,中债国债收益率曲线,0,4.2,2.6301
20211224,1001.CB,中债国债收益率曲线,0,4.3,2.6356
20211224,1001.CB,中债国债收益率曲线,0,4.4,2.6412
20211224,1001.CB,中债国债收益率曲线,0,4.5,2.647
20211224,1001.CB,中债国债收益率曲线,0,4.6,2.653
20211224,1001.CB,中债国债收益率曲线,0,4.7,2.6594
20211224,1001.CB,中债国债收益率曲线,0,4.8,2.6671
20211224,1001.CB,中债国债收益率曲线,0,4.9,2.6758
20211224,1001.CB,中债国债收益率曲线,0,5.0,2.6855
20211224,1001.CB,中债国债收益率曲线,0,5.1,2.6959
20211224,1001.CB,中债国债收益率曲线,0,5.2,2.7071
20211224,1001.CB,中债国债收益率曲线,0,5.3,2.7187
20211224,1001.CB,中债国债收益率曲线,0,5.4,2.7306
20211224,1001.CB,中债国债收益率曲线,0,5.5,2.7427
20211224,1001.CB,中债国债收益率曲线,0,5.6,2.7549
20211224,1001.CB,中债国债收益率曲线,0,5.7,2.767
20211224,1001.CB,中债国债收益率曲线,0,5.8,2.7788
20211224,1001.CB,中债国债收益率曲线,0,5.9,2.7902
