trade_date,ts_code,curve_name,curve_type,curve_term,yield
20210205,1001.CB,中债国债收益率曲线,0,0.0,2.0005
20210205,1001.CB,中债国债收益率曲线,0,0.08,2.2045
20210205,1001.CB,中债国债收益率曲线,0,0.1,2.243
20210205,1001.CB,中债国债收益率曲线,0,0.17,2.3723
20210205,1001.CB,中债国债收益率曲线,0,0.2,2.4288
20210205,1001.CB,中债国债收益率曲线,0,0.25,2.4551
20210205,1001.CB,中债国债收益率曲线,0,0.3,2.4719
20210205,1001.CB,中债国债收益率曲线,0,0.4,2.4876
20210205,1001.CB,中债国债收益率曲线,0,0.5,2.49
20210205,1001.CB,中债国债收益率曲线,0,0.6,2.4788
20210205,1001.CB,中债国债收益率曲线,0,0.7,2.4587
20210205,1001.CB,中债国债收益率曲线,0,0.75,2.4518
20210205,1001.CB,中债国债收益率曲线,0,0.8,2.4538
20210205,1001.CB,中债国债收益率曲线,0,0.9,2.6104
20210205,1001.CB,中债国债收益率曲线,0,1.0,2.7021
20210205,1001.CB,中债国债收益率曲线,0,1.1,2.7367
20210205,1001.CB,中债国债收益率曲线,0,1.2,2.7624
20210205,1001.CB,中债国债收益率曲线,0,1.3,2.7807
20210205,1001.CB,中债国债收益率曲线,0,1.4,2.7931
20210205,1001.CB,中债国债收益率曲线,0,1.5,2.8011
20210205,1001.CB,中债国债收益率曲线,0,1.6,2.8061
20210205,1001.CB,中债国债收益率曲线,0,1.7,2.8096
20210205,1001.CB,中债国债收益率曲线,0,1.8,2.8131
20210205,1001.CB,中债国债收益率曲线,0,1.9,2.8179
20210205,1001.CB,中债国债收益率曲线,0,2.0,2.8243
20210205,1001.CB,中债国债收益率曲线,0,2.1,2.8319
20210205,1001.CB,中债国债收益率曲线,0,2.2,2.8405
20210205,1001.CB,中债国债收益率曲线,0,2.3,2.8498
20210205,1001.CB,中债国债收益率曲线,0,2.4,2.8595
20210205,1001.CB,中债国债收益率曲线,0,2.5,2.8694
20210205,1001.CB,中债国债收益率曲线,0,2.6,2.879
20210205,1001.CB,中债国债收益率曲线,0,2.7,2.8883
20210205,1001.CB,中债国债收益率曲线,0,2.8,2.8969
20210205,1001.CB,中债国债收益率曲线,0,2.9,2.9054
20210205,1001.CB,中债国债收益率曲线,0,3.0,2.9136
20210205,1001.CB,中债国债收益率曲线,0,3.1,2.9218
20210205,1001.CB,中债国债收益率曲线,0,3.2,2.9298
20210205,1001.CB,中债国债收益率曲线,0,3.3,2.9377
20210205,1001.CB,中债国债收益率曲线,0,3.4,2.9455
20210205,1001.CB,中债国债收益率曲线,0,3.5,2.9532
20210205,1001.CB,中债国债收益率曲线,0,3.6,2.9609
20210205,1001.CB,中债国债收益率曲线,0,3.7,2.9685
20210205,1001.CB,中债国债收益率曲线,0,3.8,2.9761
20210205,1001.CB,中债国债收益率曲线,0,3.9,2.9836
20210205,1001.CB,中债国债收益率曲线,0,4.0,2.9911
20210205,1001.CB,中债国债收益率曲线,0,4.1,2.9987
20210205,1001.CB,中债国债收益率曲线,0,4.2,3.0062
20210205,1001.CB,中债国债收益率曲线,0,4.3,3.0137
20210205,1001.CB,中债国债收益率曲线,0,4.4,3.0213
20210205,1001.CB,中债国债收益率曲线,0,4.5,3.0289
20210205,1001.CB,中债国债收益率曲线,0,4.6,3.0365
20210205,1001.CB,中债国债收益率曲线,0,4.7,3.0443
20210205,1001.CB,中债国债收益率曲线,0,4.8,3.0522
20210205,1001.CB,中债国债收益率曲线,0,4.9,3.0607
20210205,1001.CB,中债国债收益率曲线,0,5.0,3.0695
20210205,1001.CB,中债国债收益率曲线,0,5.1,3.0786
20210205,1001.CB,中债国债收益率曲线,0,5.2,3.0879
20210205,1001.CB,中债国债收益率曲线,0,5.3,3.0973
