trade_date,ts_code,curve_name,curve_type,curve_term,yield
20231027,1001.CB,中债国债收益率曲线,0,0.0,1.55
20231027,1001.CB,中债国债收益率曲线,0,0.08,1.6678
20231027,1001.CB,中债国债收益率曲线,0,0.1,1.6714
20231027,1001.CB,中债国债收益率曲线,0,0.17,1.6837
20231027,1001.CB,中债国债收益率曲线,0,0.2,1.9788
20231027,1001.CB,中债国债收益率曲线,0,0.25,2.3027
20231027,1001.CB,中债国债收益率曲线,0,0.3,2.3421
20231027,1001.CB,中债国债收益率曲线,0,0.4,2.3762
20231027,1001.CB,中债国债收益率曲线,0,0.5,2.3789
20231027,1001.CB,中债国债收益率曲线,0,0.6,2.3261
20231027,1001.CB,中债国债收益率曲线,0,0.7,2.2598
20231027,1001.CB,中债国债收益率曲线,0,0.75,2.25
20231027,1001.CB,中债国债收益率曲线,0,0.8,2.2527
20231027,1001.CB,中债国债收益率曲线,0,0.9,2.2661
20231027,1001.CB,中债国债收益率曲线,0,1.0,2.2807
20231027,1001.CB,中债国债收益率曲线,0,1.1,2.2922
20231027,1001.CB,中债国债收益率曲线,0,1.2,2.3032
20231027,1001.CB,中债国债收益率曲线,0,1.3,2.3138
20231027,1001.CB,中债国债收益率曲线,0,1.4,2.324
20231027,1001.CB,中债国债收益率曲线,0,1.5,2.3339
20231027,1001.CB,中债国债收益率曲线,0,1.6,2.3438
20231027,1001.CB,中债国债收益率曲线,0,1.7,2.3536
20231027,1001.CB,中债国债收益率曲线,0,1.8,2.3635
20231027,1001.CB,中债国债收益率曲线,0,1.9,2.3737
20231027,1001.CB,中债国债收益率曲线,0,2.0,2.3835
20231027,1001.CB,中债国债收益率曲线,0,2.1,2.3919
20231027,1001.CB,中债国债收益率曲线,0,2.2,2.3991
20231027,1001.CB,中债国债收益率曲线,0,2.3,2.4056
20231027,1001.CB,中债国债收益率曲线,0,2.4,2.4115
20231027,1001.CB,中债国债收益率曲线,0,2.5,2.4171
20231027,1001.CB,中债国债收益率曲线,0,2.6,2.4227
20231027,1001.CB,中债国债收益率曲线,0,2.7,2.4286
20231027,1001.CB,中债国债收益率曲线,0,2.8,2.435
20231027,1001.CB,中债国债收益率曲线,0,2.9,2.4416
20231027,1001.CB,中债国债收益率曲线,0,3.0,2.448
20231027,1001.CB,中债国债收益率曲线,0,3.1,2.4541
20231027,1001.CB,中债国债收益率曲线,0,3.2,2.4601
20231027,1001.CB,中债国债收益率曲线,0,3.3,2.4658
20231027,1001.CB,中债国债收益率曲线,0,3.4,2.4714
20231027,1001.CB,中债国债收益率曲线,0,3.5,2.4768
20231027,1001.CB,中债国债收益率曲线,0,3.6,2.482
20231027,1001.CB,中债国债收益率曲线,0,3.7,2.4872
20231027,1001.CB,中债国债收益率曲线,0,3.8,2.4923
20231027,1001.CB,中债国债收益率曲线,0,3.9,2.4972
20231027,1001.CB,中债国债收益率曲线,0,4.0,2.5021
20231027,1001.CB,中债国债收益率曲线,0,4.1,2.507
20231027,1001.CB,中债国债收益率曲线,0,4.2,2.5118
