trade_date,ts_code,curve_name,curve_type,curve_term,yield
20231124,1001.CB,中债国债收益率曲线,0,0.0,1.5629
20231124,1001.CB,中债国债收益率曲线,0,0.08,1.5922
20231124,1001.CB,中债国债收益率曲线,0,0.1,1.7561
20231124,1001.CB,中债国债收益率曲线,0,0.17,2.344
20231124,1001.CB,中债国债收益率曲线,0,0.2,2.3574
20231124,1001.CB,中债国债收益率曲线,0,0.25,2.3607
20231124,1001.CB,中债国债收益率曲线,0,0.3,2.3702
20231124,1001.CB,中债国债收益率曲线,0,0.4,2.4038
20231124,1001.CB,中债国债收益率曲线,0,0.5,2.4196
20231124,1001.CB,中债国债收益率曲线,0,0.6,2.3982
20231124,1001.CB,中债国债收益率曲线,0,0.7,2.372
20231124,1001.CB,中债国债收益率曲线,0,0.75,2.3589
20231124,1001.CB,中债国债收益率曲线,0,0.8,2.3462
20231124,1001.CB,中债国债收益率曲线,0,0.9,2.3305
20231124,1001.CB,中债国债收益率曲线,0,1.0,2.3317
20231124,1001.CB,中债国债收益率曲线,0,1.1,2.3378
20231124,1001.CB,中债国债收益率曲线,0,1.2,2.3476
20231124,1001.CB,中债国债收益率曲线,0,1.3,2.3602
20231124,1001.CB,中债国债收益率曲线,0,1.4,2.3747
20231124,1001.CB,中债国债收益率曲线,0,1.5,2.3904
20231124,1001.CB,中债国债收益率曲线,0,1.6,2.4063
20231124,1001.CB,中债国债收益率曲线,0,1.7,2.4216
20231124,1001.CB,中债国债收益率曲线,0,1.8,2.4355
20231124,1001.CB,中债国债收益率曲线,0,1.9,2.4471
20231124,1001.CB,中债国债收益率曲线,0,2.0,2.4563
20231124,1001.CB,中债国债收益率曲线,0,2.1,2.4634
20231124,1001.CB,中债国债收益率曲线,0,2.2,2.4688
20231124,1001.CB,中债国债收益率曲线,0,2.3,2.4727
20231124,1001.CB,中债国债收益率曲线,0,2.4,2.4757
20231124,1001.CB,中债国债收益率曲线,0,2.5,2.4779
20231124,1001.CB,中债国债收益率曲线,0,2.6,2.4798
20231124,1001.CB,中债国债收益率曲线,0,2.7,2.4817
20231124,1001.CB,中债国债收益率曲线,0,2.8,2.484
20231124,1001.CB,中债国债收益率曲线,0,2.9,2.487
20231124,1001.CB,中债国债收益率曲线,0,3.0,2.4911
20231124,1001.CB,中债国债收益率曲线,0,3.1,2.4956
20231124,1001.CB,中债国债收益率曲线,0,3.2,2.5003
20231124,1001.CB,中债国债收益率曲线,0,3.3,2.5051
20231124,1001.CB,中债国债收益率曲线,0,3.4,2.51
20231124,1001.CB,中债国债收益率曲线,0,3.5,2.5151
20231124,1001.CB,中债国债收益率曲线,0,3.6,2.5202
20231124,1001.CB,中债国债收益率曲线,0,3.7,2.5255
20231124,1001.CB,中债国债收益率曲线,0,3.8,2.5308
20231124,1001.CB,中债国债收益率曲线,0,3.9,2.5362
20231124,1001.CB,中债国债收益率曲线,0,4.0,2.5417
20231124,1001.CB,中债国债收益率曲线,0,4.1,2.5471
20231124,1001.CB,中债国债收益率曲线,0,4.2,2.5526
20231124,1001.CB,中债国债收益率曲线,0,4.3,2.5581
20231124,1001.CB,中债国债收益率曲线,0,4.4,2.5636
20231124,1001.CB,中债国债收益率曲线,0,4.5,2.5691
20231124,1001.CB,中债国债收益率曲线,0,4.6,2.5745
20231124,1001.CB,中债国债收益率曲线,0,4.7,2.5799
20231124,1001.CB,中债国债收益率曲线,0,4.8,2.5852
20231124,1001.CB,中债国债收益率曲线,0,4.9,2.5905
20231124,1001.CB,中债国债收益率曲线,0,5.0,2.5961
20231124,1001.CB,中债国债收益率曲线,0,5.1,2.6023
20231124,1001.CB,中债国债收益率曲线,0,5.2,2.6091
20231124,1001.CB,中债国债收益率曲线,0,5.3,2.6162
20231124,1001.CB,中债国债收益率曲线,0,5.4,2.6237
20231124,1001.CB,中债国债收益率曲线,0,5.5,2.6313
20231124,1001.CB,中债国债收益率曲线,0,5.6,2.6391
20231124,1001.CB,中债国债收益率曲线,0,5.7,2.6468
20231124,1001.CB,中债国债收益率曲线,0,5.8,2.6544
20231124,1001.CB,中债国债收益率曲线,0,5.9,2.6619
20231124,1001.CB,中债国债收益率曲线,0,6.0,2.669
20231124,1001.CB,中债国债收益率曲线,0,6.1,2.6757
20231124,1001.CB,中债国债收益率曲线,0,6.2,2.6819
20231124,1001.CB,中债国债收益率曲线,0,6.3,2.6874
20231124,1001.CB,中债国债收益率曲线,0,6.4,2.6923
20231124,1001.CB,中债国债收益率曲线,0,6.5,2.6963
20231124,1001.CB,中债国债收益率曲线,0,6.6,2.6994
20231124,1001.CB,中债国债收益率曲线,0,6.7,2.7015
20231124,1001.CB,中债国债收益率曲线,0,6.8,2.7025
20231124,1001.CB,中债国债收益率曲线,0,6.9,2.7027
20231124,1001.CB,中债国债收益率曲线,0,7.0,2.703
20231124,1001.CB,中债国债收益率曲线,0,7.1,2.7032
20231124,1001.CB,中债国债收益率曲线,0,7.2,2.7034
20231124,1001.CB,中债国债收益率曲线,0,7.3,2.7036
20231124,1001.CB,中债国债收益率曲线,0,7.4,2.7037
20231124,1001.CB,中债国债收益率曲线,0,7.5,2.7039
20231124,1001.CB,中债国债收益率曲线,0,7.6,2.704
20231124,1001.CB,中债国债收益率曲线,0,7.7,2.7042
20231124,1001.CB,中债国债收益率曲线,0,7.8,2.7043
20231124,1001.CB,中债国债收益率曲线,0,7.9,2.7044
20231124,1001.CB,中债国债收益率曲线,0,8.0,2.7045
20231124,1001.CB,中债国债收益率曲线,0,8.1,2.7045
20231124,1001.CB,中债国债收益率曲线,0,8.2,2.7046
20231124,1001.CB,中债国债收益率曲线,0,8.3,2.7047
20231124,1001.CB,中债国债收益率曲线,0,8.4,2.7047
20231124,1001.CB,中债国债收益率曲线,0,8.5,2.7048
20231124,1001.CB,中债国债收益率曲线,0,8.6,2.7048
20231124,1001.CB,中债国债收益率曲线,0,8.7,2.7049
20231124,1001.CB,中债国债收益率曲线,0,8.8,2.7049
20231124,1001.CB,中债国债收益率曲线,0,8.9,2.7049
20231124,1001.CB,中债国债收益率曲线,0,9.0,2.7049
20231124,1001.CB,中债国债收益率曲线,0,9.1,2.705
20231124,1001.CB,中债国债收益率曲线,0,9.2,2.705
20231124,1001.CB,中债国债收益率曲线,0,9.3,2.705
20231124,1001.CB,中债国债收益率曲线,0,9.4,2.705
20231124,1001.CB,中债国债收益率曲线,0,9.5,2.705
20231124,1001.CB,中债国债收益率曲线,0,9.6,2.705
20231124,1001.CB,中债国债收益率曲线,0,9.7,2.705
20231124,1001.CB,中债国债收益率曲线,0,9.8,2.705
20231124,1001.CB,中债国债收益率曲线,0,9.9,2.7051
20231124,1001.CB,中债国债收益率曲线,0,10.0,2.7053
20231124,1001.CB,中债国债收益率曲线,0,10.1,2.7056
20231124,1001.CB,中债国债收益率曲线,0,10.2,2.7059
20231124,1001.CB,中债国债收益率曲线,0,10.3,2.7064
20231124,1001.CB,中债国债收益率曲线,0,10.4,2.7069
20231124,1001.CB,中债国债收益率曲线,0,10.5,2.7075
20231124,1001.CB,中债国债收益率曲线,0,10.6,2.7081
20231124,1001.CB,中债国债收益率曲线,0,10.7,2.7089
20231124,1001.CB,中债国债收益率曲线,0,10.8,2.7097
20231124,1001.CB,中债国债收益率曲线,0,10.9,2.7105
20231124,1001.CB,中债国债收益率曲线,0,11.0,2.7115
20231124,1001.CB,中债国债收益率曲线,0,11.1,2.7124
20231124,1001.CB,中债国债收益率曲线,0,11.2,2.7135
20231124,1001.CB,中债国债收益率曲线,0,11.3,2.7146
20231124,1001.CB,中债国债收益率曲线,0,11.4,2.7158
20231124,1001.CB,中债国债收益率曲线,0,11.5,2.717
20231124,1001.CB,中债国债收益率曲线,0,11.6,2.7182
20231124,1001.CB,中债国债收益率曲线,0,11.7,2.7195
20231124,1001.CB,中债国债收益率曲线,0,11.8,2.7208
20231124,1001.CB,中债国债收益率曲线,0,11.9,2.7222
20231124,1001.CB,中债国债收益率曲线,0,12.0,2.7236
20231124,1001.CB,中债国债收益率曲线,0,12.1,2.7251
20231124,1001.CB,中债国债收益率曲线,0,12.2,2.7266
20231124,1001.CB,中债国债收益率曲线,0,12.3,2.7281
20231124,1001.CB,中债国债收益率曲线,0,12.4,2.7296
20231124,1001.CB,中债国债收益率曲线,0,12.5,2.7311
20231124,1001.CB,中债国债收益率曲线,0,12.6,2.7327
20231124,1001.CB,中债国债收益率曲线,0,12.7,2.7343
20231124,1001.CB,中债国债收益率曲线,0,12.8,2.7359
20231124,1001.CB,中债国债收益率曲线,0,12.9,2.7375
20231124,1001.CB,中债国债收益率曲线,0,13.0,2.7391
20231124,1001.CB,中债国债收益率曲线,0,13.1,2.7408
20231124,1001.CB,中债国债收益率曲线,0,13.2,2.7424
20231124,1001.CB,中债国债收益率曲线,0,13.3,2.744
20231124,1001.CB,中债国债收益率曲线,0,13.4,2.7457
20231124,1001.CB,中债国债收益率曲线,0,13.5,2.7473
20231124,1001.CB,中债国债收益率曲线,0,13.6,2.7489
20231124,1001.CB,中债国债收益率曲线,0,13.7,2.7506
20231124,1001.CB,中债国债收益率曲线,0,13.8,2.7522
20231124,1001.CB,中债国债收益率曲线,0,13.9,2.7537
20231124,1001.CB,中债国债收益率曲线,0,14.0,2.7553
20231124,1001.CB,中债国债收益率曲线,0,14.1,2.7569
20231124,1001.CB,中债国债收益率曲线,0,14.2,2.7584
20231124,1001.CB,中债国债收益率曲线,0,14.3,2.7599
20231124,1001.CB,中债国债收益率曲线,0,14.4,2.7614
20231124,1001.CB,中债国债收益率曲线,0,14.5,2.7628
20231124,1001.CB,中债国债收益率曲线,0,14.6,2.7642
20231124,1001.CB,中债国债收益率曲线,0,14.7,2.7656
20231124,1001.CB,中债国债收益率曲线,0,14.8,2.7669
20231124,1001.CB,中债国债收益率曲线,0,14.9,2.7682
20231124,1001.CB,中债国债收益率曲线,0,15.0,2.7695
20231124,1001.CB,中债国债收益率曲线,0,15.1,2.7707
20231124,1001.CB,中债国债收益率曲线,0,15.2,2.772
20231124,1001.CB,中债国债收益率曲线,0,15.3,2.7732
20231124,1001.CB,中债国债收益率曲线,0,15.4,2.7745
20231124,1001.CB,中债国债收益率曲线,0,15.5,2.7758
20231124,1001.CB,中债国债收益率曲线,0,15.6,2.7771
20231124,1001.CB,中债国债收益率曲线,0,15.7,2.7784
20231124,1001.CB,中债国债收益率曲线,0,15.8,2.7797
20231124,1001.CB,中债国债收益率曲线,0,15.9,2.7811
20231124,1001.CB,中债国债收益率曲线,0,16.0,2.7824
20231124,1001.CB,中债国债收益率曲线,0,16.1,2.7838
20231124,1001.CB,中债国债收益率曲线,0,16.2,2.7851
20231124,1001.CB,中债国债收益率曲线,0,16.3,2.7865
20231124,1001.CB,中债国债收益率曲线,0,16.4,2.7879
20231124,1001.CB,中债国债收益率曲线,0,16.5,2.7893
20231124,1001.CB,中债国债收益率曲线,0,16.6,2.7907
20231124,1001.CB,中债国债收益率曲线,0,16.7,2.7921
20231124,1001.CB,中债国债收益率曲线,0,16.8,2.7935
20231124,1001.CB,中债国债收益率曲线,0,16.9,2.7949
20231124,1001.CB,中债国债收益率曲线,0,17.0,2.7963
20231124,1001.CB,中债国债收益率曲线,0,17.1,2.7977
20231124,1001.CB,中债国债收益率曲线,0,17.2,2.7992
20231124,1001.CB,中债国债收益率曲线,0,17.3,2.8006
20231124,1001.CB,中债国债收益率曲线,0,17.4,2.8021
20231124,1001.CB,中债国债收益率曲线,0,17.5,2.8035
20231124,1001.CB,中债国债收益率曲线,0,17.6,2.805
20231124,1001.CB,中债国债收益率曲线,0,17.7,2.8064
20231124,1001.CB,中债国债收益率曲线,0,17.8,2.8079
20231124,1001.CB,中债国债收益率曲线,0,17.9,2.8093
20231124,1001.CB,中债国债收益率曲线,0,18.0,2.8108
20231124,1001.CB,中债国债收益率曲线,0,18.1,2.8122
20231124,1001.CB,中债国债收益率曲线,0,18.2,2.8137
20231124,1001.CB,中债国债收益率曲线,0,18.3,2.8152
20231124,1001.CB,中债国债收益率曲线,0,18.4,2.8166
20231124,1001.CB,中债国债收益率曲线,0,18.5,2.8181
20231124,1001.CB,中债国债收益率曲线,0,18.6,2.8196
20231124,1001.CB,中债国债收益率曲线,0,18.7,2.821
20231124,1001.CB,中债国债收益率曲线,0,18.8,2.8225
20231124,1001.CB,中债国债收益率曲线,0,18.9,2.8239
20231124,1001.CB,中债国债收益率曲线,0,19.0,2.8254
20231124,1001.CB,中债国债收益率曲线,0,19.1,2.8268
20231124,1001.CB,中债国债收益率曲线,0,19.2,2.8283
20231124,1001.CB,中债国债收益率曲线,0,19.3,2.8297
20231124,1001.CB,中债国债收益率曲线,0,19.4,2.8312
20231124,1001.CB,中债国债收益率曲线,0,19.5,2.8326
20231124,1001.CB,中债国债收益率曲线,0,19.6,2.834
20231124,1001.CB,中债国债收益率曲线,0,19.7,2.8355
20231124,1001.CB,中债国债收益率曲线,0,19.8,2.8369
20231124,1001.CB,中债国债收益率曲线,0,19.9,2.8383
20231124,1001.CB,中债国债收益率曲线,0,20.0,2.8397
20231124,1001.CB,中债国债收益率曲线,0,20.1,2.8411
20231124,1001.CB,中债国债收益率曲线,0,20.2,2.8425
20231124,1001.CB,中债国债收益率曲线,0,20.3,2.8439
20231124,1001.CB,中债国债收益率曲线,0,20.4,2.8453
20231124,1001.CB,中债国债收益率曲线,0,20.5,2.8467
20231124,1001.CB,中债国债收益率曲线,0,20.6,2.848
20231124,1001.CB,中债国债收益率曲线,0,20.7,2.8494
20231124,1001.CB,中债国债收益率曲线,0,20.8,2.8508
20231124,1001.CB,中债国债收益率曲线,0,20.9,2.8522
20231124,1001.CB,中债国债收益率曲线,0,21.0,2.8535
20231124,1001.CB,中债国债收益率曲线,0,21.1,2.8549
20231124,1001.CB,中债国债收益率曲线,0,21.2,2.8562
20231124,1001.CB,中债国债收益率曲线,0,21.3,2.8576
20231124,1001.CB,中债国债收益率曲线,0,21.4,2.8589
20231124,1001.CB,中债国债收益率曲线,0,21.5,2.8603
20231124,1001.CB,中债国债收益率曲线,0,21.6,2.8616
20231124,1001.CB,中债国债收益率曲线,0,21.7,2.863
20231124,1001.CB,中债国债收益率曲线,0,21.8,2.8643
20231124,1001.CB,中债国债收益率曲线,0,21.9,2.8656
20231124,1001.CB,中债国债收益率曲线,0,22.0,2.8669
