trade_date,ts_code,curve_name,curve_type,curve_term,yield
20210806,1001.CB,中债国债收益率曲线,0,0.0,1.3755
20210806,1001.CB,中债国债收益率曲线,0,0.08,1.483
20210806,1001.CB,中债国债收益率曲线,0,0.1,1.4884
20210806,1001.CB,中债国债收益率曲线,0,0.17,1.5515
20210806,1001.CB,中债国债收益率曲线,0,0.2,1.6965
20210806,1001.CB,中债国债收益率曲线,0,0.25,1.8548
20210806,1001.CB,中债国债收益率曲线,0,0.3,1.9182
20210806,1001.CB,中债国债收益率曲线,0,0.4,1.9669
20210806,1001.CB,中债国债收益率曲线,0,0.5,1.9689
20210806,1001.CB,中债国债收益率曲线,0,0.6,1.961
20210806,1001.CB,中债国债收益率曲线,0,0.7,1.9527
20210806,1001.CB,中债国债收益率曲线,0,0.75,1.9512
20210806,1001.CB,中债国债收益率曲线,0,0.8,1.9682
20210806,1001.CB,中债国债收益率曲线,0,0.9,2.0628
20210806,1001.CB,中债国债收益率曲线,0,1.0,2.1514
20210806,1001.CB,中债国债收益率曲线,0,1.1,2.2142
20210806,1001.CB,中债国债收益率曲线,0,1.2,2.2607
20210806,1001.CB,中债国债收益率曲线,0,1.3,2.2949
20210806,1001.CB,中债国债收益率曲线,0,1.4,2.3206
20210806,1001.CB,中债国债收益率曲线,0,1.5,2.3418
20210806,1001.CB,中债国债收益率曲线,0,1.6,2.3624
20210806,1001.CB,中债国债收益率曲线,0,1.7,2.3863
20210806,1001.CB,中债国债收益率曲线,0,1.8,2.4171
20210806,1001.CB,中债国债收益率曲线,0,1.9,2.4456
20210806,1001.CB,中债国债收益率曲线,0,2.0,2.466
20210806,1001.CB,中债国债收益率曲线,0,2.1,2.48
20210806,1001.CB,中债国债收益率曲线,0,2.2,2.4893
20210806,1001.CB,中债国债收益率曲线,0,2.3,2.4955
20210806,1001.CB,中债国债收益率曲线,0,2.4,2.5003
20210806,1001.CB,中债国债收益率曲线,0,2.5,2.5055
20210806,1001.CB,中债国债收益率曲线,0,2.6,2.5127
20210806,1001.CB,中债国债收益率曲线,0,2.7,2.5234
20210806,1001.CB,中债国债收益率曲线,0,2.8,2.5344
20210806,1001.CB,中债国债收益率曲线,0,2.9,2.5445
20210806,1001.CB,中债国债收益率曲线,0,3.0,2.5536
20210806,1001.CB,中债国债收益率曲线,0,3.1,2.5619
20210806,1001.CB,中债国债收益率曲线,0,3.2,2.5695
20210806,1001.CB,中债国债收益率曲线,0,3.3,2.5764
20210806,1001.CB,中债国债收益率曲线,0,3.4,2.5827
20210806,1001.CB,中债国债收益率曲线,0,3.5,2.5885
20210806,1001.CB,中债国债收益率曲线,0,3.6,2.5938
20210806,1001.CB,中债国债收益率曲线,0,3.7,2.5988
20210806,1001.CB,中债国债收益率曲线,0,3.8,2.6034
20210806,1001.CB,中债国债收益率曲线,0,3.9,2.6078
