trade_date,ts_code,curve_name,curve_type,curve_term,yield
20210402,1001.CB,中债国债收益率曲线,0,0.0,1.4981
20210402,1001.CB,中债国债收益率曲线,0,0.08,1.7764
20210402,1001.CB,中债国债收益率曲线,0,0.1,1.8209
20210402,1001.CB,中债国债收益率曲线,0,0.17,1.9094
20210402,1001.CB,中债国债收益率曲线,0,0.2,1.9387
20210402,1001.CB,中债国债收益率曲线,0,0.25,1.9707
20210402,1001.CB,中债国债收益率曲线,0,0.3,2.0117
20210402,1001.CB,中债国债收益率曲线,0,0.4,2.0976
20210402,1001.CB,中债国债收益率曲线,0,0.5,2.1841
20210402,1001.CB,中债国债收益率曲线,0,0.6,2.2258
20210402,1001.CB,中债国债收益率曲线,0,0.7,2.2821
20210402,1001.CB,中债国债收益率曲线,0,0.75,2.336
20210402,1001.CB,中债国债收益率曲线,0,0.8,2.3974
20210402,1001.CB,中债国债收益率曲线,0,0.9,2.5114
20210402,1001.CB,中债国债收益率曲线,0,1.0,2.58
20210402,1001.CB,中债国债收益率曲线,0,1.1,2.6267
20210402,1001.CB,中债国债收益率曲线,0,1.2,2.6578
20210402,1001.CB,中债国债收益率曲线,0,1.3,2.6773
20210402,1001.CB,中债国债收益率曲线,0,1.4,2.6894
20210402,1001.CB,中债国债收益率曲线,0,1.5,2.6982
20210402,1001.CB,中债国债收益率曲线,0,1.6,2.7076
20210402,1001.CB,中债国债收益率曲线,0,1.7,2.7216
20210402,1001.CB,中债国债收益率曲线,0,1.8,2.7377
20210402,1001.CB,中债国债收益率曲线,0,1.9,2.7522
20210402,1001.CB,中债国债收益率曲线,0,2.0,2.7654
20210402,1001.CB,中债国债收益率曲线,0,2.1,2.7774
20210402,1001.CB,中债国债收益率曲线,0,2.2,2.7886
20210402,1001.CB,中债国债收益率曲线,0,2.3,2.799
20210402,1001.CB,中债国债收益率曲线,0,2.4,2.8089
20210402,1001.CB,中债国债收益率曲线,0,2.5,2.8185
20210402,1001.CB,中债国债收益率曲线,0,2.6,2.828
20210402,1001.CB,中债国债收益率曲线,0,2.7,2.8375
20210402,1001.CB,中债国债收益率曲线,0,2.8,2.8473
20210402,1001.CB,中债国债收益率曲线,0,2.9,2.8576
20210402,1001.CB,中债国债收益率曲线,0,3.0,2.8685
20210402,1001.CB,中债国债收益率曲线,0,3.1,2.8794
20210402,1001.CB,中债国债收益率曲线,0,3.2,2.8893
20210402,1001.CB,中债国债收益率曲线,0,3.3,2.8984
20210402,1001.CB,中债国债收益率曲线,0,3.4,2.9067
20210402,1001.CB,中债国债收益率曲线,0,3.5,2.9144
20210402,1001.CB,中债国债收益率曲线,0,3.6,2.9214
20210402,1001.CB,中债国债收益率曲线,0,3.7,2.9279
20210402,1001.CB,中债国债收益率曲线,0,3.8,2.934
20210402,1001.CB,中债国债收益率曲线,0,3.9,2.9397
20210402,1001.CB,中债国债收益率曲线,0,4.0,2.945
20210402,1001.CB,中债国债收益率曲线,0,4.1,2.9502
20210402,1001.CB,中债国债收益率曲线,0,4.2,2.9552
20210402,1001.CB,中债国债收益率曲线,0,4.3,2.9601
20210402,1001.CB,中债国债收益率曲线,0,4.4,2.965
20210402,1001.CB,中债国债收益率曲线,0,4.5,2.97
20210402,1001.CB,中债国债收益率曲线,0,4.6,2.9752
20210402,1001.CB,中债国债收益率曲线,0,4.7,2.9806
20210402,1001.CB,中债国债收益率曲线,0,4.8,2.9863
20210402,1001.CB,中债国债收益率曲线,0,4.9,2.9924
20210402,1001.CB,中债国债收益率曲线,0,5.0,2.9993
20210402,1001.CB,中债国债收益率曲线,0,5.1,3.0078
20210402,1001.CB,中债国债收益率曲线,0,5.2,3.0179
20210402,1001.CB,中债国债收益率曲线,0,5.3,3.0294
20210402,1001.CB,中债国债收益率曲线,0,5.4,3.0419
20210402,1001.CB,中债国债收益率曲线,0,5.5,3.0551
20210402,1001.CB,中债国债收益率曲线,0,5.6,3.0689
20210402,1001.CB,中债国债收益率曲线,0,5.7,3.0829
20210402,1001.CB,中债国债收益率曲线,0,5.8,3.097
20210402,1001.CB,中债国债收益率曲线,0,5.9,3.1108
20210402,1001.CB,中债国债收益率曲线,0,6.0,3.1241
20210402,1001.CB,中债国债收益率曲线,0,6.1,3.1365
20210402,1001.CB,中债国债收益率曲线,0,6.2,3.148
20210402,1001.CB,中债国债收益率曲线,0,6.3,3.1581
20210402,1001.CB,中债国债收益率曲线,0,6.4,3.1667
20210402,1001.CB,中债国债收益率曲线,0,6.5,3.1734
20210402,1001.CB,中债国债收益率曲线,0,6.6,3.1781
20210402,1001.CB,中债国债收益率曲线,0,6.7,3.1805
20210402,1001.CB,中债国债收益率曲线,0,6.8,3.1822
20210402,1001.CB,中债国债收益率曲线,0,6.9,3.1838
20210402,1001.CB,中债国债收益率曲线,0,7.0,3.1852
20210402,1001.CB,中债国债收益率曲线,0,7.1,3.1865
20210402,1001.CB,中债国债收益率曲线,0,7.2,3.1878
20210402,1001.CB,中债国债收益率曲线,0,7.3,3.1889
20210402,1001.CB,中债国债收益率曲线,0,7.4,3.1899
20210402,1001.CB,中债国债收益率曲线,0,7.5,3.1909
20210402,1001.CB,中债国债收益率曲线,0,7.6,3.1917
20210402,1001.CB,中债国债收益率曲线,0,7.7,3.1925
20210402,1001.CB,中债国债收益率曲线,0,7.8,3.1932
20210402,1001.CB,中债国债收益率曲线,0,7.9,3.1938
20210402,1001.CB,中债国债收益率曲线,0,8.0,3.1943
20210402,1001.CB,中债国债收益率曲线,0,8.1,3.1948
20210402,1001.CB,中债国债收益率曲线,0,8.2,3.1952
20210402,1001.CB,中债国债收益率曲线,0,8.3,3.1956
20210402,1001.CB,中债国债收益率曲线,0,8.4,3.1959
20210402,1001.CB,中债国债收益率曲线,0,8.5,3.1962
20210402,1001.CB,中债国债收益率曲线,0,8.6,3.1964
20210402,1001.CB,中债国债收益率曲线,0,8.7,3.1966
20210402,1001.CB,中债国债收益率曲线,0,8.8,3.1968
20210402,1001.CB,中债国债收益率曲线,0,8.9,3.1969
20210402,1001.CB,中债国债收益率曲线,0,9.0,3.197
20210402,1001.CB,中债国债收益率曲线,0,9.1,3.1971
20210402,1001.CB,中债国债收益率曲线,0,9.2,3.1972
20210402,1001.CB,中债国债收益率曲线,0,9.3,3.1973
20210402,1001.CB,中债国债收益率曲线,0,9.4,3.1974
20210402,1001.CB,中债国债收益率曲线,0,9.5,3.1975
20210402,1001.CB,中债国债收益率曲线,0,9.6,3.1976
20210402,1001.CB,中债国债收益率曲线,0,9.7,3.1978
20210402,1001.CB,中债国债收益率曲线,0,9.8,3.1985
20210402,1001.CB,中债国债收益率曲线,0,9.9,3.1996
20210402,1001.CB,中债国债收益率曲线,0,10.0,3.2013
20210402,1001.CB,中债国债收益率曲线,0,10.1,3.2033
20210402,1001.CB,中债国债收益率曲线,0,10.2,3.2058
20210402,1001.CB,中债国债收益率曲线,0,10.3,3.2087
20210402,1001.CB,中债国债收益率曲线,0,10.4,3.212
20210402,1001.CB,中债国债收益率曲线,0,10.5,3.2157
20210402,1001.CB,中债国债收益率曲线,0,10.6,3.2198
20210402,1001.CB,中债国债收益率曲线,0,10.7,3.2243
20210402,1001.CB,中债国债收益率曲线,0,10.8,3.2291
20210402,1001.CB,中债国债收益率曲线,0,10.9,3.2342
