trade_date,ts_code,curve_name,curve_type,curve_term,yield
20250530,1001.CB,中债国债收益率曲线,0,0.0,1.3004
20250530,1001.CB,中债国债收益率曲线,0,0.08,1.4276
20250530,1001.CB,中债国债收益率曲线,0,0.1,1.4343
20250530,1001.CB,中债国债收益率曲线,0,0.17,1.4409
20250530,1001.CB,中债国债收益率曲线,0,0.2,1.4432
20250530,1001.CB,中债国债收益率曲线,0,0.25,1.4462
20250530,1001.CB,中债国债收益率曲线,0,0.3,1.4479
20250530,1001.CB,中债国债收益率曲线,0,0.4,1.4492
20250530,1001.CB,中债国债收益率曲线,0,0.5,1.4504
20250530,1001.CB,中债国债收益率曲线,0,0.6,1.4528
20250530,1001.CB,中债国债收益率曲线,0,0.7,1.4547
20250530,1001.CB,中债国债收益率曲线,0,0.75,1.455
20250530,1001.CB,中债国债收益率曲线,0,0.8,1.455
20250530,1001.CB,中债国债收益率曲线,0,0.9,1.455
20250530,1001.CB,中债国债收益率曲线,0,1.0,1.4552
20250530,1001.CB,中债国债收益率曲线,0,1.1,1.4555
20250530,1001.CB,中债国债收益率曲线,0,1.2,1.456
20250530,1001.CB,中债国债收益率曲线,0,1.3,1.4566
20250530,1001.CB,中债国债收益率曲线,0,1.4,1.4573
20250530,1001.CB,中债国债收益率曲线,0,1.5,1.4581
20250530,1001.CB,中债国债收益率曲线,0,1.6,1.4588
20250530,1001.CB,中债国债收益率曲线,0,1.7,1.4595
20250530,1001.CB,中债国债收益率曲线,0,1.8,1.46
20250530,1001.CB,中债国债收益率曲线,0,1.9,1.4608
20250530,1001.CB,中债国债收益率曲线,0,2.0,1.4617
20250530,1001.CB,中债国债收益率曲线,0,2.1,1.463
20250530,1001.CB,中债国债收益率曲线,0,2.2,1.4644
20250530,1001.CB,中债国债收益率曲线,0,2.3,1.4659
20250530,1001.CB,中债国债收益率曲线,0,2.4,1.4676
20250530,1001.CB,中债国债收益率曲线,0,2.5,1.4693
20250530,1001.CB,中债国债收益率曲线,0,2.6,1.4711
20250530,1001.CB,中债国债收益率曲线,0,2.7,1.4728
20250530,1001.CB,中债国债收益率曲线,0,2.8,1.4745
20250530,1001.CB,中债国债收益率曲线,0,2.9,1.4762
20250530,1001.CB,中债国债收益率曲线,0,3.0,1.4777
20250530,1001.CB,中债国债收益率曲线,0,3.1,1.4795
20250530,1001.CB,中债国债收益率曲线,0,3.2,1.4819
20250530,1001.CB,中债国债收益率曲线,0,3.3,1.4848
20250530,1001.CB,中债国债收益率曲线,0,3.4,1.4881
20250530,1001.CB,中债国债收益率曲线,0,3.5,1.4918
20250530,1001.CB,中债国债收益率曲线,0,3.6,1.4959
20250530,1001.CB,中债国债收益率曲线,0,3.7,1.5002
20250530,1001.CB,中债国债收益率曲线,0,3.8,1.5049
20250530,1001.CB,中债国债收益率曲线,0,3.9,1.5097
20250530,1001.CB,中债国债收益率曲线,0,4.0,1.5147
20250530,1001.CB,中债国债收益率曲线,0,4.1,1.5199
20250530,1001.CB,中债国债收益率曲线,0,4.2,1.5251
20250530,1001.CB,中债国债收益率曲线,0,4.3,1.5303
20250530,1001.CB,中债国债收益率曲线,0,4.4,1.5355
20250530,1001.CB,中债国债收益率曲线,0,4.5,1.5407
20250530,1001.CB,中债国债收益率曲线,0,4.6,1.5458
20250530,1001.CB,中债国债收益率曲线,0,4.7,1.5507
20250530,1001.CB,中债国债收益率曲线,0,4.8,1.5554
20250530,1001.CB,中债国债收益率曲线,0,4.9,1.5598
20250530,1001.CB,中债国债收益率曲线,0,5.0,1.564
20250530,1001.CB,中债国债收益率曲线,0,5.1,1.568
20250530,1001.CB,中债国债收益率曲线,0,5.2,1.5717
20250530,1001.CB,中债国债收益率曲线,0,5.3,1.5753
20250530,1001.CB,中债国债收益率曲线,0,5.4,1.5787
20250530,1001.CB,中债国债收益率曲线,0,5.5,1.582
20250530,1001.CB,中债国债收益率曲线,0,5.6,1.5851
20250530,1001.CB,中债国债收益率曲线,0,5.7,1.5881
20250530,1001.CB,中债国债收益率曲线,0,5.8,1.591
20250530,1001.CB,中债国债收益率曲线,0,5.9,1.5939
20250530,1001.CB,中债国债收益率曲线,0,6.0,1.5967
20250530,1001.CB,中债国债收益率曲线,0,6.1,1.5994
20250530,1001.CB,中债国债收益率曲线,0,6.2,1.6022
20250530,1001.CB,中债国债收益率曲线,0,6.3,1.6049
20250530,1001.CB,中债国债收益率曲线,0,6.4,1.6077
20250530,1001.CB,中债国债收益率曲线,0,6.5,1.6105
20250530,1001.CB,中债国债收益率曲线,0,6.6,1.6134
20250530,1001.CB,中债国债收益率曲线,0,6.7,1.6163
20250530,1001.CB,中债国债收益率曲线,0,6.8,1.6194
20250530,1001.CB,中债国债收益率曲线,0,6.9,1.6225
20250530,1001.CB,中债国债收益率曲线,0,7.0,1.6254
20250530,1001.CB,中债国债收益率曲线,0,7.1,1.6281
20250530,1001.CB,中债国债收益率曲线,0,7.2,1.6306
20250530,1001.CB,中债国债收益率曲线,0,7.3,1.633
20250530,1001.CB,中债国债收益率曲线,0,7.4,1.6353
20250530,1001.CB,中债国债收益率曲线,0,7.5,1.6374
20250530,1001.CB,中债国债收益率曲线,0,7.6,1.6393
20250530,1001.CB,中债国债收益率曲线,0,7.7,1.6412
20250530,1001.CB,中债国债收益率曲线,0,7.8,1.6429
20250530,1001.CB,中债国债收益率曲线,0,7.9,1.6445
20250530,1001.CB,中债国债收益率曲线,0,8.0,1.6461
20250530,1001.CB,中债国债收益率曲线,0,8.1,1.6475
20250530,1001.CB,中债国债收益率曲线,0,8.2,1.6489
20250530,1001.CB,中债国债收益率曲线,0,8.3,1.6502
20250530,1001.CB,中债国债收益率曲线,0,8.4,1.6515
20250530,1001.CB,中债国债收益率曲线,0,8.5,1.6527
20250530,1001.CB,中债国债收益率曲线,0,8.6,1.6539
20250530,1001.CB,中债国债收益率曲线,0,8.7,1.655
20250530,1001.CB,中债国债收益率曲线,0,8.8,1.6561
20250530,1001.CB,中债国债收益率曲线,0,8.9,1.6572
20250530,1001.CB,中债国债收益率曲线,0,9.0,1.6583
20250530,1001.CB,中债国债收益率曲线,0,9.1,1.6594
20250530,1001.CB,中债国债收益率曲线,0,9.2,1.6606
20250530,1001.CB,中债国债收益率曲线,0,9.3,1.6617
20250530,1001.CB,中债国债收益率曲线,0,9.4,1.6629
20250530,1001.CB,中债国债收益率曲线,0,9.5,1.6641
20250530,1001.CB,中债国债收益率曲线,0,9.6,1.6654
20250530,1001.CB,中债国债收益率曲线,0,9.7,1.6667
20250530,1001.CB,中债国债收益率曲线,0,9.8,1.6682
20250530,1001.CB,中债国债收益率曲线,0,9.9,1.6696
20250530,1001.CB,中债国债收益率曲线,0,10.0,1.6712
20250530,1001.CB,中债国债收益率曲线,0,10.1,1.6729
20250530,1001.CB,中债国债收益率曲线,0,10.2,1.6748
20250530,1001.CB,中债国债收益率曲线,0,10.3,1.6768
20250530,1001.CB,中债国债收益率曲线,0,10.4,1.679
20250530,1001.CB,中债国债收益率曲线,0,10.5,1.6813
20250530,1001.CB,中债国债收益率曲线,0,10.6,1.6838
20250530,1001.CB,中债国债收益率曲线,0,10.7,1.6863
20250530,1001.CB,中债国债收益率曲线,0,10.8,1.6891
20250530,1001.CB,中债国债收益率曲线,0,10.9,1.6919
20250530,1001.CB,中债国债收益率曲线,0,11.0,1.6948
20250530,1001.CB,中债国债收益率曲线,0,11.1,1.6979
20250530,1001.CB,中债国债收益率曲线,0,11.2,1.7011
20250530,1001.CB,中债国债收益率曲线,0,11.3,1.7044
20250530,1001.CB,中债国债收益率曲线,0,11.4,1.7078
20250530,1001.CB,中债国债收益率曲线,0,11.5,1.7112
20250530,1001.CB,中债国债收益率曲线,0,11.6,1.7148
20250530,1001.CB,中债国债收益率曲线,0,11.7,1.7184
20250530,1001.CB,中债国债收益率曲线,0,11.8,1.7222
20250530,1001.CB,中债国债收益率曲线,0,11.9,1.726
20250530,1001.CB,中债国债收益率曲线,0,12.0,1.7298
20250530,1001.CB,中债国债收益率曲线,0,12.1,1.7338
20250530,1001.CB,中债国债收益率曲线,0,12.2,1.7378
20250530,1001.CB,中债国债收益率曲线,0,12.3,1.7418
20250530,1001.CB,中债国债收益率曲线,0,12.4,1.7459
20250530,1001.CB,中债国债收益率曲线,0,12.5,1.7501
