trade_date,ts_code,curve_name,curve_type,curve_term,yield
20211126,1001.CB,中债国债收益率曲线,0,0.0,1.5
20211126,1001.CB,中债国债收益率曲线,0,0.08,1.6632
20211126,1001.CB,中债国债收益率曲线,0,0.1,1.7396
20211126,1001.CB,中债国债收益率曲线,0,0.17,2.211
20211126,1001.CB,中债国债收益率曲线,0,0.2,2.2518
20211126,1001.CB,中债国债收益率曲线,0,0.25,2.2606
20211126,1001.CB,中债国债收益率曲线,0,0.3,2.2628
20211126,1001.CB,中债国债收益率曲线,0,0.4,2.2647
20211126,1001.CB,中债国债收益率曲线,0,0.5,2.265
20211126,1001.CB,中债国债收益率曲线,0,0.6,2.2582
20211126,1001.CB,中债国债收益率曲线,0,0.7,2.2464
20211126,1001.CB,中债国债收益率曲线,0,0.75,2.2426
20211126,1001.CB,中债国债收益率曲线,0,0.8,2.2409
20211126,1001.CB,中债国债收益率曲线,0,0.9,2.24
20211126,1001.CB,中债国债收益率曲线,0,1.0,2.2427
20211126,1001.CB,中债国债收益率曲线,0,1.1,2.2531
20211126,1001.CB,中债国债收益率曲线,0,1.2,2.2699
20211126,1001.CB,中债国债收益率曲线,0,1.3,2.2919
20211126,1001.CB,中债国债收益率曲线,0,1.4,2.3176
20211126,1001.CB,中债国债收益率曲线,0,1.5,2.3457
20211126,1001.CB,中债国债收益率曲线,0,1.6,2.3749
20211126,1001.CB,中债国债收益率曲线,0,1.7,2.4037
20211126,1001.CB,中债国债收益率曲线,0,1.8,2.4307
20211126,1001.CB,中债国债收益率曲线,0,1.9,2.4547
20211126,1001.CB,中债国债收益率曲线,0,2.0,2.4739
20211126,1001.CB,中债国债收益率曲线,0,2.1,2.4883
20211126,1001.CB,中债国债收益率曲线,0,2.2,2.4988
20211126,1001.CB,中债国债收益率曲线,0,2.3,2.5065
20211126,1001.CB,中债国债收益率曲线,0,2.4,2.5124
20211126,1001.CB,中债国债收益率曲线,0,2.5,2.5175
20211126,1001.CB,中债国债收益率曲线,0,2.6,2.5229
20211126,1001.CB,中债国债收益率曲线,0,2.7,2.5294
20211126,1001.CB,中债国债收益率曲线,0,2.8,2.538
20211126,1001.CB,中债国债收益率曲线,0,2.9,2.5467
20211126,1001.CB,中债国债收益率曲线,0,3.0,2.5549
20211126,1001.CB,中债国债收益率曲线,0,3.1,2.5626
20211126,1001.CB,中债国债收益率曲线,0,3.2,2.5698
20211126,1001.CB,中债国债收益率曲线,0,3.3,2.5765
20211126,1001.CB,中债国债收益率曲线,0,3.4,2.5829
20211126,1001.CB,中债国债收益率曲线,0,3.5,2.589
20211126,1001.CB,中债国债收益率曲线,0,3.6,2.5948
20211126,1001.CB,中债国债收益率曲线,0,3.7,2.6004
20211126,1001.CB,中债国债收益率曲线,0,3.8,2.6057
20211126,1001.CB,中债国债收益率曲线,0,3.9,2.611
20211126,1001.CB,中债国债收益率曲线,0,4.0,2.6162
20211126,1001.CB,中债国债收益率曲线,0,4.1,2.6214
20211126,1001.CB,中债国债收益率曲线,0,4.2,2.6265
20211126,1001.CB,中债国债收益率曲线,0,4.3,2.6318
20211126,1001.CB,中债国债收益率曲线,0,4.4,2.6371
20211126,1001.CB,中债国债收益率曲线,0,4.5,2.6427
20211126,1001.CB,中债国债收益率曲线,0,4.6,2.6484
20211126,1001.CB,中债国债收益率曲线,0,4.7,2.6544
20211126,1001.CB,中债国债收益率曲线,0,4.8,2.6611
20211126,1001.CB,中债国债收益率曲线,0,4.9,2.6691
20211126,1001.CB,中债国债收益率曲线,0,5.0,2.6781
20211126,1001.CB,中债国债收益率曲线,0,5.1,2.6881
20211126,1001.CB,中债国债收益率曲线,0,5.2,2.6988
20211126,1001.CB,中债国债收益率曲线,0,5.3,2.7102
20211126,1001.CB,中债国债收益率曲线,0,5.4,2.722
20211126,1001.CB,中债国债收益率曲线,0,5.5,2.7342
20211126,1001.CB,中债国债收益率曲线,0,5.6,2.7465
20211126,1001.CB,中债国债收益率曲线,0,5.7,2.7588
20211126,1001.CB,中债国债收益率曲线,0,5.8,2.771
20211126,1001.CB,中债国债收益率曲线,0,5.9,2.7829
20211126,1001.CB,中债国债收益率曲线,0,6.0,2.7944
20211126,1001.CB,中债国债收益率曲线,0,6.1,2.8053
20211126,1001.CB,中债国债收益率曲线,0,6.2,2.8154
20211126,1001.CB,中债国债收益率曲线,0,6.3,2.8246
20211126,1001.CB,中债国债收益率曲线,0,6.4,2.8328
20211126,1001.CB,中债国债收益率曲线,0,6.5,2.8397
20211126,1001.CB,中债国债收益率曲线,0,6.6,2.8453
20211126,1001.CB,中债国债收益率曲线,0,6.7,2.8494
20211126,1001.CB,中债国债收益率曲线,0,6.8,2.8519
20211126,1001.CB,中债国债收益率曲线,0,6.9,2.8525
20211126,1001.CB,中债国债收益率曲线,0,7.0,2.8524
20211126,1001.CB,中债国债收益率曲线,0,7.1,2.852
20211126,1001.CB,中债国债收益率曲线,0,7.2,2.8515
20211126,1001.CB,中债国债收益率曲线,0,7.3,2.8509
20211126,1001.CB,中债国债收益率曲线,0,7.4,2.8501
20211126,1001.CB,中债国债收益率曲线,0,7.5,2.8491
20211126,1001.CB,中债国债收益率曲线,0,7.6,2.8481
20211126,1001.CB,中债国债收益率曲线,0,7.7,2.8469
20211126,1001.CB,中债国债收益率曲线,0,7.8,2.8456
20211126,1001.CB,中债国债收益率曲线,0,7.9,2.8443
20211126,1001.CB,中债国债收益率曲线,0,8.0,2.8428
20211126,1001.CB,中债国债收益率曲线,0,8.1,2.8414
20211126,1001.CB,中债国债收益率曲线,0,8.2,2.8398
20211126,1001.CB,中债国债收益率曲线,0,8.3,2.8383
20211126,1001.CB,中债国债收益率曲线,0,8.4,2.8367
20211126,1001.CB,中债国债收益率曲线,0,8.5,2.8352
20211126,1001.CB,中债国债收益率曲线,0,8.6,2.8336
20211126,1001.CB,中债国债收益率曲线,0,8.7,2.832
20211126,1001.CB,中债国债收益率曲线,0,8.8,2.8305
20211126,1001.CB,中债国债收益率曲线,0,8.9,2.8291
20211126,1001.CB,中债国债收益率曲线,0,9.0,2.8277
20211126,1001.CB,中债国债收益率曲线,0,9.1,2.8264
20211126,1001.CB,中债国债收益率曲线,0,9.2,2.8251
20211126,1001.CB,中债国债收益率曲线,0,9.3,2.824
20211126,1001.CB,中债国债收益率曲线,0,9.4,2.823
20211126,1001.CB,中债国债收益率曲线,0,9.5,2.8221
20211126,1001.CB,中债国债收益率曲线,0,9.6,2.8213
20211126,1001.CB,中债国债收益率曲线,0,9.7,2.8207
20211126,1001.CB,中债国债收益率曲线,0,9.8,2.8203
20211126,1001.CB,中债国债收益率曲线,0,9.9,2.8201
20211126,1001.CB,中债国债收益率曲线,0,10.0,2.82
20211126,1001.CB,中债国债收益率曲线,0,10.1,2.8206
20211126,1001.CB,中债国债收益率曲线,0,10.2,2.822
20211126,1001.CB,中债国债收益率曲线,0,10.3,2.8241
20211126,1001.CB,中债国债收益率曲线,0,10.4,2.8269
20211126,1001.CB,中债国债收益率曲线,0,10.5,2.8304
20211126,1001.CB,中债国债收益率曲线,0,10.6,2.8346
20211126,1001.CB,中债国债收益率曲线,0,10.7,2.8394
20211126,1001.CB,中债国债收益率曲线,0,10.8,2.8448
20211126,1001.CB,中债国债收益率曲线,0,10.9,2.8508
20211126,1001.CB,中债国债收益率曲线,0,11.0,2.8572
20211126,1001.CB,中债国债收益率曲线,0,11.1,2.8642
20211126,1001.CB,中债国债收益率曲线,0,11.2,2.8717
20211126,1001.CB,中债国债收益率曲线,0,11.3,2.8796
20211126,1001.CB,中债国债收益率曲线,0,11.4,2.8879
20211126,1001.CB,中债国债收益率曲线,0,11.5,2.8966
20211126,1001.CB,中债国债收益率曲线,0,11.6,2.9056
20211126,1001.CB,中债国债收益率曲线,0,11.7,2.9149
