trade_date,ts_code,curve_name,curve_type,curve_term,yield
20210430,1001.CB,中债国债收益率曲线,0,0.0,1.6292
20210430,1001.CB,中债国债收益率曲线,0,0.08,1.6414
20210430,1001.CB,中债国债收益率曲线,0,0.1,1.6495
20210430,1001.CB,中债国债收益率曲线,0,0.17,1.7295
20210430,1001.CB,中债国债收益率曲线,0,0.2,1.8334
20210430,1001.CB,中债国债收益率曲线,0,0.25,1.9251
20210430,1001.CB,中债国债收益率曲线,0,0.3,1.9745
20210430,1001.CB,中债国债收益率曲线,0,0.4,2.0246
20210430,1001.CB,中债国债收益率曲线,0,0.5,2.0432
20210430,1001.CB,中债国债收益率曲线,0,0.6,2.083
20210430,1001.CB,中债国债收益率曲线,0,0.7,2.21
20210430,1001.CB,中债国债收益率曲线,0,0.75,2.2661
20210430,1001.CB,中债国债收益率曲线,0,0.8,2.2998
20210430,1001.CB,中债国债收益率曲线,0,0.9,2.3286
20210430,1001.CB,中债国债收益率曲线,0,1.0,2.3591
20210430,1001.CB,中债国债收益率曲线,0,1.1,2.398
20210430,1001.CB,中债国债收益率曲线,0,1.2,2.433
20210430,1001.CB,中债国债收益率曲线,0,1.3,2.4648
20210430,1001.CB,中债国债收益率曲线,0,1.4,2.4941
20210430,1001.CB,中债国债收益率曲线,0,1.5,2.5216
20210430,1001.CB,中债国债收益率曲线,0,1.6,2.548
20210430,1001.CB,中债国债收益率曲线,0,1.7,2.574
20210430,1001.CB,中债国债收益率曲线,0,1.8,2.6002
20210430,1001.CB,中债国债收益率曲线,0,1.9,2.6275
20210430,1001.CB,中债国债收益率曲线,0,2.0,2.6564
20210430,1001.CB,中债国债收益率曲线,0,2.1,2.6826
20210430,1001.CB,中债国债收益率曲线,0,2.2,2.7019
20210430,1001.CB,中债国债收益率曲线,0,2.3,2.7158
20210430,1001.CB,中债国债收益率曲线,0,2.4,2.7255
20210430,1001.CB,中债国债收益率曲线,0,2.5,2.7323
20210430,1001.CB,中债国债收益率曲线,0,2.6,2.7374
20210430,1001.CB,中债国债收益率曲线,0,2.7,2.7422
20210430,1001.CB,中债国债收益率曲线,0,2.8,2.748
20210430,1001.CB,中债国债收益率曲线,0,2.9,2.7559
20210430,1001.CB,中债国债收益率曲线,0,3.0,2.7666
20210430,1001.CB,中债国债收益率曲线,0,3.1,2.7773
20210430,1001.CB,中债国债收益率曲线,0,3.2,2.7879
20210430,1001.CB,中债国债收益率曲线,0,3.3,2.7982
20210430,1001.CB,中债国债收益率曲线,0,3.4,2.8083
20210430,1001.CB,中债国债收益率曲线,0,3.5,2.8182
20210430,1001.CB,中债国债收益率曲线,0,3.6,2.828
20210430,1001.CB,中债国债收益率曲线,0,3.7,2.8377
20210430,1001.CB,中债国债收益率曲线,0,3.8,2.8472
20210430,1001.CB,中债国债收益率曲线,0,3.9,2.8567
20210430,1001.CB,中债国债收益率曲线,0,4.0,2.8661
20210430,1001.CB,中债国债收益率曲线,0,4.1,2.8754
20210430,1001.CB,中债国债收益率曲线,0,4.2,2.8848
20210430,1001.CB,中债国债收益率曲线,0,4.3,2.8941
20210430,1001.CB,中债国债收益率曲线,0,4.4,2.9034
20210430,1001.CB,中债国债收益率曲线,0,4.5,2.9128
20210430,1001.CB,中债国债收益率曲线,0,4.6,2.9223
20210430,1001.CB,中债国债收益率曲线,0,4.7,2.9318
20210430,1001.CB,中债国债收益率曲线,0,4.8,2.9414
20210430,1001.CB,中债国债收益率曲线,0,4.9,2.9512
20210430,1001.CB,中债国债收益率曲线,0,5.0,2.9615
20210430,1001.CB,中债国债收益率曲线,0,5.1,2.9725
20210430,1001.CB,中债国债收益率曲线,0,5.2,2.9839
20210430,1001.CB,中债国债收益率曲线,0,5.3,2.9956
20210430,1001.CB,中债国债收益率曲线,0,5.4,3.0076
20210430,1001.CB,中债国债收益率曲线,0,5.5,3.0196
20210430,1001.CB,中债国债收益率曲线,0,5.6,3.0316
20210430,1001.CB,中债国债收益率曲线,0,5.7,3.0433
20210430,1001.CB,中债国债收益率曲线,0,5.8,3.0548
20210430,1001.CB,中债国债收益率曲线,0,5.9,3.0659
20210430,1001.CB,中债国债收益率曲线,0,6.0,3.0764
20210430,1001.CB,中债国债收益率曲线,0,6.1,3.0861
20210430,1001.CB,中债国债收益率曲线,0,6.2,3.0951
20210430,1001.CB,中债国债收益率曲线,0,6.3,3.1031
20210430,1001.CB,中债国债收益率曲线,0,6.4,3.1101
20210430,1001.CB,中债国债收益率曲线,0,6.5,3.1158
20210430,1001.CB,中债国债收益率曲线,0,6.6,3.1202
20210430,1001.CB,中债国债收益率曲线,0,6.7,3.1238
20210430,1001.CB,中债国债收益率曲线,0,6.8,3.1272
20210430,1001.CB,中债国债收益率曲线,0,6.9,3.1302
20210430,1001.CB,中债国债收益率曲线,0,7.0,3.1331
20210430,1001.CB,中债国债收益率曲线,0,7.1,3.1357
20210430,1001.CB,中债国债收益率曲线,0,7.2,3.138
20210430,1001.CB,中债国债收益率曲线,0,7.3,3.1402
20210430,1001.CB,中债国债收益率曲线,0,7.4,3.1422
20210430,1001.CB,中债国债收益率曲线,0,7.5,3.1439
20210430,1001.CB,中债国债收益率曲线,0,7.6,3.1455
20210430,1001.CB,中债国债收益率曲线,0,7.7,3.1469
20210430,1001.CB,中债国债收益率曲线,0,7.8,3.1482
20210430,1001.CB,中债国债收益率曲线,0,7.9,3.1493
20210430,1001.CB,中债国债收益率曲线,0,8.0,3.1503
20210430,1001.CB,中债国债收益率曲线,0,8.1,3.1511
20210430,1001.CB,中债国债收益率曲线,0,8.2,3.1519
20210430,1001.CB,中债国债收益率曲线,0,8.3,3.1526
20210430,1001.CB,中债国债收益率曲线,0,8.4,3.1531
20210430,1001.CB,中债国债收益率曲线,0,8.5,3.1536
20210430,1001.CB,中债国债收益率曲线,0,8.6,3.1541
20210430,1001.CB,中债国债收益率曲线,0,8.7,3.1545
20210430,1001.CB,中债国债收益率曲线,0,8.8,3.1548
20210430,1001.CB,中债国债收益率曲线,0,8.9,3.1552
20210430,1001.CB,中债国债收益率曲线,0,9.0,3.1555
20210430,1001.CB,中债国债收益率曲线,0,9.1,3.1558
20210430,1001.CB,中债国债收益率曲线,0,9.2,3.1561
20210430,1001.CB,中债国债收益率曲线,0,9.3,3.1565
20210430,1001.CB,中债国债收益率曲线,0,9.4,3.1568
20210430,1001.CB,中债国债收益率曲线,0,9.5,3.1573
20210430,1001.CB,中债国债收益率曲线,0,9.6,3.1578
20210430,1001.CB,中债国债收益率曲线,0,9.7,3.1587
20210430,1001.CB,中债国债收益率曲线,0,9.8,3.16
20210430,1001.CB,中债国债收益率曲线,0,9.9,3.1618
20210430,1001.CB,中债国债收益率曲线,0,10.0,3.164
20210430,1001.CB,中债国债收益率曲线,0,10.1,3.1665
20210430,1001.CB,中债国债收益率曲线,0,10.2,3.1695
20210430,1001.CB,中债国债收益率曲线,0,10.3,3.1728
20210430,1001.CB,中债国债收益率曲线,0,10.4,3.1765
20210430,1001.CB,中债国债收益率曲线,0,10.5,3.1805
20210430,1001.CB,中债国债收益率曲线,0,10.6,3.1849
20210430,1001.CB,中债国债收益率曲线,0,10.7,3.1895
20210430,1001.CB,中债国债收益率曲线,0,10.8,3.1945
20210430,1001.CB,中债国债收益率曲线,0,10.9,3.1998
20210430,1001.CB,中债国债收益率曲线,0,11.0,3.2054
20210430,1001.CB,中债国债收益率曲线,0,11.1,3.2112
20210430,1001.CB,中债国债收益率曲线,0,11.2,3.2173
20210430,1001.CB,中债国债收益率曲线,0,11.3,3.2236
20210430,1001.CB,中债国债收益率曲线,0,11.4,3.2302
20210430,1001.CB,中债国债收益率曲线,0,11.5,3.237
20210430,1001.CB,中债国债收益率曲线,0,11.6,3.244
20210430,1001.CB,中债国债收益率曲线,0,11.7,3.2512
20210430,1001.CB,中债国债收益率曲线,0,11.8,3.2586
20210430,1001.CB,中债国债收益率曲线,0,11.9,3.2662
20210430,1001.CB,中债国债收益率曲线,0,12.0,3.2739
20210430,1001.CB,中债国债收益率曲线,0,12.1,3.2817
20210430,1001.CB,中债国债收益率曲线,0,12.2,3.2897
20210430,1001.CB,中债国债收益率曲线,0,12.3,3.2979
