trade_date,ts_code,curve_name,curve_type,curve_term,yield
20210416,1001.CB,中债国债收益率曲线,0,0.0,1.7176
20210416,1001.CB,中债国债收益率曲线,0,0.08,1.723
20210416,1001.CB,中债国债收益率曲线,0,0.1,1.7318
20210416,1001.CB,中债国债收益率曲线,0,0.17,1.8305
20210416,1001.CB,中债国债收益率曲线,0,0.2,1.9447
20210416,1001.CB,中债国债收益率曲线,0,0.25,2.0701
20210416,1001.CB,中债国债收益率曲线,0,0.3,2.1066
20210416,1001.CB,中债国债收益率曲线,0,0.4,2.1481
20210416,1001.CB,中债国债收益率曲线,0,0.5,2.1631
20210416,1001.CB,中债国债收益率曲线,0,0.6,2.1712
20210416,1001.CB,中债国债收益率曲线,0,0.7,2.337
20210416,1001.CB,中债国债收益率曲线,0,0.75,2.4341
20210416,1001.CB,中债国债收益率曲线,0,0.8,2.4811
20210416,1001.CB,中债国债收益率曲线,0,0.9,2.5172
20210416,1001.CB,中债国债收益率曲线,0,1.0,2.5295
20210416,1001.CB,中债国债收益率曲线,0,1.1,2.5485
20210416,1001.CB,中债国债收益率曲线,0,1.2,2.5687
20210416,1001.CB,中债国债收益率曲线,0,1.3,2.5899
20210416,1001.CB,中债国债收益率曲线,0,1.4,2.6118
20210416,1001.CB,中债国债收益率曲线,0,1.5,2.6344
20210416,1001.CB,中债国债收益率曲线,0,1.6,2.6572
20210416,1001.CB,中债国债收益率曲线,0,1.7,2.6803
20210416,1001.CB,中债国债收益率曲线,0,1.8,2.7032
20210416,1001.CB,中债国债收益率曲线,0,1.9,2.7259
20210416,1001.CB,中债国债收益率曲线,0,2.0,2.7481
20210416,1001.CB,中债国债收益率曲线,0,2.1,2.7673
20210416,1001.CB,中债国债收益率曲线,0,2.2,2.7817
20210416,1001.CB,中债国债收益率曲线,0,2.3,2.7923
20210416,1001.CB,中债国债收益率曲线,0,2.4,2.7998
20210416,1001.CB,中债国债收益率曲线,0,2.5,2.8051
20210416,1001.CB,中债国债收益率曲线,0,2.6,2.8091
20210416,1001.CB,中债国债收益率曲线,0,2.7,2.8127
20210416,1001.CB,中债国债收益率曲线,0,2.8,2.8167
20210416,1001.CB,中债国债收益率曲线,0,2.9,2.8219
20210416,1001.CB,中债国债收益率曲线,0,3.0,2.8293
20210416,1001.CB,中债国债收益率曲线,0,3.1,2.8373
20210416,1001.CB,中债国债收益率曲线,0,3.2,2.8452
20210416,1001.CB,中债国债收益率曲线,0,3.3,2.8529
20210416,1001.CB,中债国债收益率曲线,0,3.4,2.8606
20210416,1001.CB,中债国债收益率曲线,0,3.5,2.8681
20210416,1001.CB,中债国债收益率曲线,0,3.6,2.8756
20210416,1001.CB,中债国债收益率曲线,0,3.7,2.883
20210416,1001.CB,中债国债收益率曲线,0,3.8,2.8903
20210416,1001.CB,中债国债收益率曲线,0,3.9,2.8976
20210416,1001.CB,中债国债收益率曲线,0,4.0,2.9048
20210416,1001.CB,中债国债收益率曲线,0,4.1,2.912
20210416,1001.CB,中债国债收益率曲线,0,4.2,2.9192
20210416,1001.CB,中债国债收益率曲线,0,4.3,2.9264
20210416,1001.CB,中债国债收益率曲线,0,4.4,2.9335
20210416,1001.CB,中债国债收益率曲线,0,4.5,2.9407
20210416,1001.CB,中债国债收益率曲线,0,4.6,2.948
20210416,1001.CB,中债国债收益率曲线,0,4.7,2.9552
20210416,1001.CB,中债国债收益率曲线,0,4.8,2.9625
20210416,1001.CB,中债国债收益率曲线,0,4.9,2.9699
20210416,1001.CB,中债国债收益率曲线,0,5.0,2.9777
20210416,1001.CB,中债国债收益率曲线,0,5.1,2.9864
20210416,1001.CB,中债国债收益率曲线,0,5.2,2.9957
20210416,1001.CB,中债国债收益率曲线,0,5.3,3.0055
20210416,1001.CB,中债国债收益率曲线,0,5.4,3.0158
20210416,1001.CB,中债国债收益率曲线,0,5.5,3.0263
20210416,1001.CB,中债国债收益率曲线,0,5.6,3.0369
20210416,1001.CB,中债国债收益率曲线,0,5.7,3.0476
20210416,1001.CB,中债国债收益率曲线,0,5.8,3.0581
20210416,1001.CB,中债国债收益率曲线,0,5.9,3.0683
20210416,1001.CB,中债国债收益率曲线,0,6.0,3.0782
20210416,1001.CB,中债国债收益率曲线,0,6.1,3.0875
20210416,1001.CB,中债国债收益率曲线,0,6.2,3.0961
20210416,1001.CB,中债国债收益率曲线,0,6.3,3.1039
20210416,1001.CB,中债国债收益率曲线,0,6.4,3.1108
20210416,1001.CB,中债国债收益率曲线,0,6.5,3.1167
20210416,1001.CB,中债国债收益率曲线,0,6.6,3.1213
20210416,1001.CB,中债国债收益率曲线,0,6.7,3.1248
20210416,1001.CB,中债国债收益率曲线,0,6.8,3.128
20210416,1001.CB,中债国债收益率曲线,0,6.9,3.131
20210416,1001.CB,中债国债收益率曲线,0,7.0,3.1337
20210416,1001.CB,中债国债收益率曲线,0,7.1,3.1362
20210416,1001.CB,中债国债收益率曲线,0,7.2,3.1385
20210416,1001.CB,中债国债收益率曲线,0,7.3,3.1406
20210416,1001.CB,中债国债收益率曲线,0,7.4,3.1424
20210416,1001.CB,中债国债收益率曲线,0,7.5,3.1442
20210416,1001.CB,中债国债收益率曲线,0,7.6,3.1457
20210416,1001.CB,中债国债收益率曲线,0,7.7,3.1471
20210416,1001.CB,中债国债收益率曲线,0,7.8,3.1483
20210416,1001.CB,中债国债收益率曲线,0,7.9,3.1494
20210416,1001.CB,中债国债收益率曲线,0,8.0,3.1503
20210416,1001.CB,中债国债收益率曲线,0,8.1,3.1512
20210416,1001.CB,中债国债收益率曲线,0,8.2,3.1519
20210416,1001.CB,中债国债收益率曲线,0,8.3,3.1526
20210416,1001.CB,中债国债收益率曲线,0,8.4,3.1531
20210416,1001.CB,中债国债收益率曲线,0,8.5,3.1536
20210416,1001.CB,中债国债收益率曲线,0,8.6,3.154
20210416,1001.CB,中债国债收益率曲线,0,8.7,3.1544
20210416,1001.CB,中债国债收益率曲线,0,8.8,3.1548
20210416,1001.CB,中债国债收益率曲线,0,8.9,3.1551
20210416,1001.CB,中债国债收益率曲线,0,9.0,3.1554
20210416,1001.CB,中债国债收益率曲线,0,9.1,3.1557
20210416,1001.CB,中债国债收益率曲线,0,9.2,3.156
20210416,1001.CB,中债国债收益率曲线,0,9.3,3.1563
20210416,1001.CB,中债国债收益率曲线,0,9.4,3.1567
20210416,1001.CB,中债国债收益率曲线,0,9.5,3.1571
20210416,1001.CB,中债国债收益率曲线,0,9.6,3.1575
20210416,1001.CB,中债国债收益率曲线,0,9.7,3.1583
20210416,1001.CB,中债国债收益率曲线,0,9.8,3.1595
20210416,1001.CB,中债国债收益率曲线,0,9.9,3.1611
20210416,1001.CB,中债国债收益率曲线,0,10.0,3.1631
20210416,1001.CB,中债国债收益率曲线,0,10.1,3.1655
20210416,1001.CB,中债国债收益率曲线,0,10.2,3.1683
20210416,1001.CB,中债国债收益率曲线,0,10.3,3.1715
20210416,1001.CB,中债国债收益率曲线,0,10.4,3.175
20210416,1001.CB,中债国债收益率曲线,0,10.5,3.1789
20210416,1001.CB,中债国债收益率曲线,0,10.6,3.1831
20210416,1001.CB,中债国债收益率曲线,0,10.7,3.1877
20210416,1001.CB,中债国债收益率曲线,0,10.8,3.1926
20210416,1001.CB,中债国债收益率曲线,0,10.9,3.1977
20210416,1001.CB,中债国债收益率曲线,0,11.0,3.2032
20210416,1001.CB,中债国债收益率曲线,0,11.1,3.2089
20210416,1001.CB,中债国债收益率曲线,0,11.2,3.2149
20210416,1001.CB,中债国债收益率曲线,0,11.3,3.2212
20210416,1001.CB,中债国债收益率曲线,0,11.4,3.2277
20210416,1001.CB,中债国债收益率曲线,0,11.5,3.2344
20210416,1001.CB,中债国债收益率曲线,0,11.6,3.2413
20210416,1001.CB,中债国债收益率曲线,0,11.7,3.2484
20210416,1001.CB,中债国债收益率曲线,0,11.8,3.2557
20210416,1001.CB,中债国债收益率曲线,0,11.9,3.2632
20210416,1001.CB,中债国债收益率曲线,0,12.0,3.2709
20210416,1001.CB,中债国债收益率曲线,0,12.1,3.2787
20210416,1001.CB,中债国债收益率曲线,0,12.2,3.2866
20210416,1001.CB,中债国债收益率曲线,0,12.3,3.2947
20210416,1001.CB,中债国债收益率曲线,0,12.4,3.3028
20210416,1001.CB,中债国债收益率曲线,0,12.5,3.3111
20210416,1001.CB,中债国债收益率曲线,0,12.6,3.3195
20210416,1001.CB,中债国债收益率曲线,0,12.7,3.3279
20210416,1001.CB,中债国债收益率曲线,0,12.8,3.3364
20210416,1001.CB,中债国债收益率曲线,0,12.9,3.345
20210416,1001.CB,中债国债收益率曲线,0,13.0,3.3536
20210416,1001.CB,中债国债收益率曲线,0,13.1,3.3622
20210416,1001.CB,中债国债收益率曲线,0,13.2,3.3708
20210416,1001.CB,中债国债收益率曲线,0,13.3,3.3794
20210416,1001.CB,中债国债收益率曲线,0,13.4,3.388
20210416,1001.CB,中债国债收益率曲线,0,13.5,3.3966
20210416,1001.CB,中债国债收益率曲线,0,13.6,3.4052
20210416,1001.CB,中债国债收益率曲线,0,13.7,3.4136
20210416,1001.CB,中债国债收益率曲线,0,13.8,3.4221
20210416,1001.CB,中债国债收益率曲线,0,13.9,3.4304
20210416,1001.CB,中债国债收益率曲线,0,14.0,3.4387
20210416,1001.CB,中债国债收益率曲线,0,14.1,3.4469
20210416,1001.CB,中债国债收益率曲线,0,14.2,3.4549
20210416,1001.CB,中债国债收益率曲线,0,14.3,3.4629
20210416,1001.CB,中债国债收益率曲线,0,14.4,3.4707
20210416,1001.CB,中债国债收益率曲线,0,14.5,3.4783
20210416,1001.CB,中债国债收益率曲线,0,14.6,3.4858
20210416,1001.CB,中债国债收益率曲线,0,14.7,3.4931
20210416,1001.CB,中债国债收益率曲线,0,14.8,3.5002
20210416,1001.CB,中债国债收益率曲线,0,14.9,3.5071
20210416,1001.CB,中债国债收益率曲线,0,15.0,3.5138
20210416,1001.CB,中债国债收益率曲线,0,15.1,3.5203
20210416,1001.CB,中债国债收益率曲线,0,15.2,3.5264
20210416,1001.CB,中债国债收益率曲线,0,15.3,3.5324
20210416,1001.CB,中债国债收益率曲线,0,15.4,3.5381
20210416,1001.CB,中债国债收益率曲线,0,15.5,3.5435
20210416,1001.CB,中债国债收益率曲线,0,15.6,3.5487
