trade_date,ts_code,curve_name,curve_type,curve_term,yield
20240430,1001.CB,中债国债收益率曲线,0,0.0,1.4274
20240430,1001.CB,中债国债收益率曲线,0,0.08,1.4925
20240430,1001.CB,中债国债收益率曲线,0,0.1,1.5071
20240430,1001.CB,中债国债收益率曲线,0,0.17,1.5476
20240430,1001.CB,中债国债收益率曲线,0,0.2,1.541
20240430,1001.CB,中债国债收益率曲线,0,0.25,1.5342
20240430,1001.CB,中债国债收益率曲线,0,0.3,1.5499
20240430,1001.CB,中债国债收益率曲线,0,0.4,1.6265
20240430,1001.CB,中债国债收益率曲线,0,0.5,1.6596
20240430,1001.CB,中债国债收益率曲线,0,0.6,1.6508
20240430,1001.CB,中债国债收益率曲线,0,0.7,1.6411
20240430,1001.CB,中债国债收益率曲线,0,0.75,1.6402
20240430,1001.CB,中债国债收益率曲线,0,0.8,1.6455
20240430,1001.CB,中债国债收益率曲线,0,0.9,1.6687
20240430,1001.CB,中债国债收益率曲线,0,1.0,1.6928
20240430,1001.CB,中债国债收益率曲线,0,1.1,1.7132
20240430,1001.CB,中债国债收益率曲线,0,1.2,1.7341
20240430,1001.CB,中债国债收益率曲线,0,1.3,1.7555
20240430,1001.CB,中债国债收益率曲线,0,1.4,1.777
20240430,1001.CB,中债国债收益率曲线,0,1.5,1.7988
20240430,1001.CB,中债国债收益率曲线,0,1.6,1.8206
20240430,1001.CB,中债国债收益率曲线,0,1.7,1.8424
20240430,1001.CB,中债国债收益率曲线,0,1.8,1.8641
20240430,1001.CB,中债国债收益率曲线,0,1.9,1.8854
20240430,1001.CB,中债国债收益率曲线,0,2.0,1.9032
20240430,1001.CB,中债国债收益率曲线,0,2.1,1.9168
20240430,1001.CB,中债国债收益率曲线,0,2.2,1.9272
20240430,1001.CB,中债国债收益率曲线,0,2.3,1.935
20240430,1001.CB,中债国债收益率曲线,0,2.4,1.9412
20240430,1001.CB,中债国债收益率曲线,0,2.5,1.9466
20240430,1001.CB,中债国债收益率曲线,0,2.6,1.9518
20240430,1001.CB,中债国债收益率曲线,0,2.7,1.9579
20240430,1001.CB,中债国债收益率曲线,0,2.8,1.9655
20240430,1001.CB,中债国债收益率曲线,0,2.9,1.9746
20240430,1001.CB,中债国债收益率曲线,0,3.0,1.9836
20240430,1001.CB,中债国债收益率曲线,0,3.1,1.9925
20240430,1001.CB,中债国债收益率曲线,0,3.2,2.0012
20240430,1001.CB,中债国债收益率曲线,0,3.3,2.0098
20240430,1001.CB,中债国债收益率曲线,0,3.4,2.0183
20240430,1001.CB,中债国债收益率曲线,0,3.5,2.0267
20240430,1001.CB,中债国债收益率曲线,0,3.6,2.035
20240430,1001.CB,中债国债收益率曲线,0,3.7,2.0432
20240430,1001.CB,中债国债收益率曲线,0,3.8,2.0514
20240430,1001.CB,中债国债收益率曲线,0,3.9,2.0595
20240430,1001.CB,中债国债收益率曲线,0,4.0,2.0675
20240430,1001.CB,中债国债收益率曲线,0,4.1,2.0755
20240430,1001.CB,中债国债收益率曲线,0,4.2,2.0835
20240430,1001.CB,中债国债收益率曲线,0,4.3,2.0915
20240430,1001.CB,中债国债收益率曲线,0,4.4,2.0996
20240430,1001.CB,中债国债收益率曲线,0,4.5,2.1076
20240430,1001.CB,中债国债收益率曲线,0,4.6,2.1156
20240430,1001.CB,中债国债收益率曲线,0,4.7,2.1237
20240430,1001.CB,中债国债收益率曲线,0,4.8,2.1319
20240430,1001.CB,中债国债收益率曲线,0,4.9,2.1401
20240430,1001.CB,中债国债收益率曲线,0,5.0,2.1484
20240430,1001.CB,中债国债收益率曲线,0,5.1,2.1569
20240430,1001.CB,中债国债收益率曲线,0,5.2,2.1655
20240430,1001.CB,中债国债收益率曲线,0,5.3,2.1742
20240430,1001.CB,中债国债收益率曲线,0,5.4,2.1829
20240430,1001.CB,中债国债收益率曲线,0,5.5,2.1915
20240430,1001.CB,中债国债收益率曲线,0,5.6,2.2001
20240430,1001.CB,中债国债收益率曲线,0,5.7,2.2085
20240430,1001.CB,中债国债收益率曲线,0,5.8,2.2168
20240430,1001.CB,中债国债收益率曲线,0,5.9,2.2248
20240430,1001.CB,中债国债收益率曲线,0,6.0,2.2325
20240430,1001.CB,中债国债收益率曲线,0,6.1,2.2399
20240430,1001.CB,中债国债收益率曲线,0,6.2,2.2469
20240430,1001.CB,中债国债收益率曲线,0,6.3,2.2534
20240430,1001.CB,中债国债收益率曲线,0,6.4,2.2594
20240430,1001.CB,中债国债收益率曲线,0,6.5,2.2648
20240430,1001.CB,中债国债收益率曲线,0,6.6,2.2697
20240430,1001.CB,中债国债收益率曲线,0,6.7,2.2738
20240430,1001.CB,中债国债收益率曲线,0,6.8,2.2773
20240430,1001.CB,中债国债收益率曲线,0,6.9,2.28
20240430,1001.CB,中债国债收益率曲线,0,7.0,2.2822
20240430,1001.CB,中债国债收益率曲线,0,7.1,2.2842
20240430,1001.CB,中债国债收益率曲线,0,7.2,2.286
20240430,1001.CB,中债国债收益率曲线,0,7.3,2.2877
20240430,1001.CB,中债国债收益率曲线,0,7.4,2.2893
20240430,1001.CB,中债国债收益率曲线,0,7.5,2.2907
20240430,1001.CB,中债国债收益率曲线,0,7.6,2.2921
20240430,1001.CB,中债国债收益率曲线,0,7.7,2.2932
20240430,1001.CB,中债国债收益率曲线,0,7.8,2.2943
20240430,1001.CB,中债国债收益率曲线,0,7.9,2.2953
20240430,1001.CB,中债国债收益率曲线,0,8.0,2.2961
20240430,1001.CB,中债国债收益率曲线,0,8.1,2.2969
20240430,1001.CB,中债国债收益率曲线,0,8.2,2.2975
20240430,1001.CB,中债国债收益率曲线,0,8.3,2.2981
20240430,1001.CB,中债国债收益率曲线,0,8.4,2.2987
20240430,1001.CB,中债国债收益率曲线,0,8.5,2.2991
20240430,1001.CB,中债国债收益率曲线,0,8.6,2.2995
20240430,1001.CB,中债国债收益率曲线,0,8.7,2.2998
20240430,1001.CB,中债国债收益率曲线,0,8.8,2.3001
20240430,1001.CB,中债国债收益率曲线,0,8.9,2.3004
20240430,1001.CB,中债国债收益率曲线,0,9.0,2.3006
20240430,1001.CB,中债国债收益率曲线,0,9.1,2.3008
20240430,1001.CB,中债国债收益率曲线,0,9.2,2.301
20240430,1001.CB,中债国债收益率曲线,0,9.3,2.3012
20240430,1001.CB,中债国债收益率曲线,0,9.4,2.3014
20240430,1001.CB,中债国债收益率曲线,0,9.5,2.3015
20240430,1001.CB,中债国债收益率曲线,0,9.6,2.3017
20240430,1001.CB,中债国债收益率曲线,0,9.7,2.3019
20240430,1001.CB,中债国债收益率曲线,0,9.8,2.3021
20240430,1001.CB,中债国债收益率曲线,0,9.9,2.3024
20240430,1001.CB,中债国债收益率曲线,0,10.0,2.3028
20240430,1001.CB,中债国债收益率曲线,0,10.1,2.3033
20240430,1001.CB,中债国债收益率曲线,0,10.2,2.3039
20240430,1001.CB,中债国债收益率曲线,0,10.3,2.3046
20240430,1001.CB,中债国债收益率曲线,0,10.4,2.3054
20240430,1001.CB,中债国债收益率曲线,0,10.5,2.3063
20240430,1001.CB,中债国债收益率曲线,0,10.6,2.3073
20240430,1001.CB,中债国债收益率曲线,0,10.7,2.3084
20240430,1001.CB,中债国债收益率曲线,0,10.8,2.3096
20240430,1001.CB,中债国债收益率曲线,0,10.9,2.3108
20240430,1001.CB,中债国债收益率曲线,0,11.0,2.3122
20240430,1001.CB,中债国债收益率曲线,0,11.1,2.3136
20240430,1001.CB,中债国债收益率曲线,0,11.2,2.3151
20240430,1001.CB,中债国债收益率曲线,0,11.3,2.3166
20240430,1001.CB,中债国债收益率曲线,0,11.4,2.3182
20240430,1001.CB,中债国债收益率曲线,0,11.5,2.3199
20240430,1001.CB,中债国债收益率曲线,0,11.6,2.3216
20240430,1001.CB,中债国债收益率曲线,0,11.7,2.3234
20240430,1001.CB,中债国债收益率曲线,0,11.8,2.3253
20240430,1001.CB,中债国债收益率曲线,0,11.9,2.3272
20240430,1001.CB,中债国债收益率曲线,0,12.0,2.3291
20240430,1001.CB,中债国债收益率曲线,0,12.1,2.3311
20240430,1001.CB,中债国债收益率曲线,0,12.2,2.3331
20240430,1001.CB,中债国债收益率曲线,0,12.3,2.3351
20240430,1001.CB,中债国债收益率曲线,0,12.4,2.3372
20240430,1001.CB,中债国债收益率曲线,0,12.5,2.3393
20240430,1001.CB,中债国债收益率曲线,0,12.6,2.3415
20240430,1001.CB,中债国债收益率曲线,0,12.7,2.3436
20240430,1001.CB,中债国债收益率曲线,0,12.8,2.3458
20240430,1001.CB,中债国债收益率曲线,0,12.9,2.348
20240430,1001.CB,中债国债收益率曲线,0,13.0,2.3502
20240430,1001.CB,中债国债收益率曲线,0,13.1,2.3525
20240430,1001.CB,中债国债收益率曲线,0,13.2,2.3547
20240430,1001.CB,中债国债收益率曲线,0,13.3,2.3569
20240430,1001.CB,中债国债收益率曲线,0,13.4,2.3591
20240430,1001.CB,中债国债收益率曲线,0,13.5,2.3614
20240430,1001.CB,中债国债收益率曲线,0,13.6,2.3636
20240430,1001.CB,中债国债收益率曲线,0,13.7,2.3658
20240430,1001.CB,中债国债收益率曲线,0,13.8,2.368
20240430,1001.CB,中债国债收益率曲线,0,13.9,2.3702
20240430,1001.CB,中债国债收益率曲线,0,14.0,2.3723
20240430,1001.CB,中债国债收益率曲线,0,14.1,2.3744
20240430,1001.CB,中债国债收益率曲线,0,14.2,2.3765
20240430,1001.CB,中债国债收益率曲线,0,14.3,2.3786
20240430,1001.CB,中债国债收益率曲线,0,14.4,2.3806
20240430,1001.CB,中债国债收益率曲线,0,14.5,2.3826
20240430,1001.CB,中债国债收益率曲线,0,14.6,2.3846
20240430,1001.CB,中债国债收益率曲线,0,14.7,2.3865
20240430,1001.CB,中债国债收益率曲线,0,14.8,2.3884
20240430,1001.CB,中债国债收益率曲线,0,14.9,2.3902
20240430,1001.CB,中债国债收益率曲线,0,15.0,2.392
20240430,1001.CB,中债国债收益率曲线,0,15.1,2.3937
20240430,1001.CB,中债国债收益率曲线,0,15.2,2.3954
20240430,1001.CB,中债国债收益率曲线,0,15.3,2.397
20240430,1001.CB,中债国债收益率曲线,0,15.4,2.3986
20240430,1001.CB,中债国债收益率曲线,0,15.5,2.4002
20240430,1001.CB,中债国债收益率曲线,0,15.6,2.4017
20240430,1001.CB,中债国债收益率曲线,0,15.7,2.4033
20240430,1001.CB,中债国债收益率曲线,0,15.8,2.4047
20240430,1001.CB,中债国债收益率曲线,0,15.9,2.4062
20240430,1001.CB,中债国债收益率曲线,0,16.0,2.4076
20240430,1001.CB,中债国债收益率曲线,0,16.1,2.4091
20240430,1001.CB,中债国债收益率曲线,0,16.2,2.4104
20240430,1001.CB,中债国债收益率曲线,0,16.3,2.4118
20240430,1001.CB,中债国债收益率曲线,0,16.4,2.4131
20240430,1001.CB,中债国债收益率曲线,0,16.5,2.4145
20240430,1001.CB,中债国债收益率曲线,0,16.6,2.4158
20240430,1001.CB,中债国债收益率曲线,0,16.7,2.417
20240430,1001.CB,中债国债收益率曲线,0,16.8,2.4183
20240430,1001.CB,中债国债收益率曲线,0,16.9,2.4195
20240430,1001.CB,中债国债收益率曲线,0,17.0,2.4208
20240430,1001.CB,中债国债收益率曲线,0,17.1,2.422
20240430,1001.CB,中债国债收益率曲线,0,17.2,2.4232
20240430,1001.CB,中债国债收益率曲线,0,17.3,2.4244
20240430,1001.CB,中债国债收益率曲线,0,17.4,2.4255
20240430,1001.CB,中债国债收益率曲线,0,17.5,2.4267
20240430,1001.CB,中债国债收益率曲线,0,17.6,2.4279
20240430,1001.CB,中债国债收益率曲线,0,17.7,2.429
20240430,1001.CB,中债国债收益率曲线,0,17.8,2.4302
20240430,1001.CB,中债国债收益率曲线,0,17.9,2.4313
20240430,1001.CB,中债国债收益率曲线,0,18.0,2.4324
20240430,1001.CB,中债国债收益率曲线,0,18.1,2.4335
20240430,1001.CB,中债国债收益率曲线,0,18.2,2.4347
20240430,1001.CB,中债国债收益率曲线,0,18.3,2.4358
20240430,1001.CB,中债国债收益率曲线,0,18.4,2.4369
20240430,1001.CB,中债国债收益率曲线,0,18.5,2.438
20240430,1001.CB,中债国债收益率曲线,0,18.6,2.4392
20240430,1001.CB,中债国债收益率曲线,0,18.7,2.4403
20240430,1001.CB,中债国债收益率曲线,0,18.8,2.4414
20240430,1001.CB,中债国债收益率曲线,0,18.9,2.4426
20240430,1001.CB,中债国债收益率曲线,0,19.0,2.4437
20240430,1001.CB,中债国债收益率曲线,0,19.1,2.4449
20240430,1001.CB,中债国债收益率曲线,0,19.2,2.446
20240430,1001.CB,中债国债收益率曲线,0,19.3,2.4472
20240430,1001.CB,中债国债收益率曲线,0,19.4,2.4484
20240430,1001.CB,中债国债收益率曲线,0,19.5,2.4495
20240430,1001.CB,中债国债收益率曲线,0,19.6,2.4508
20240430,1001.CB,中债国债收益率曲线,0,19.7,2.452
