trade_date,ts_code,curve_name,curve_type,curve_term,yield
20220617,1001.CB,中债国债收益率曲线,0,0.0,1.181
20220617,1001.CB,中债国债收益率曲线,0,0.08,1.5226
20220617,1001.CB,中债国债收益率曲线,0,0.1,1.5435
20220617,1001.CB,中债国债收益率曲线,0,0.17,1.5698
20220617,1001.CB,中债国债收益率曲线,0,0.2,1.584
20220617,1001.CB,中债国债收益率曲线,0,0.25,1.6118
20220617,1001.CB,中债国债收益率曲线,0,0.3,1.6416
20220617,1001.CB,中债国债收益率曲线,0,0.4,1.7093
20220617,1001.CB,中债国债收益率曲线,0,0.5,1.7891
20220617,1001.CB,中债国债收益率曲线,0,0.6,1.8538
20220617,1001.CB,中债国债收益率曲线,0,0.7,1.9106
20220617,1001.CB,中债国债收益率曲线,0,0.75,1.94
20220617,1001.CB,中债国债收益率曲线,0,0.8,1.9646
20220617,1001.CB,中债国债收益率曲线,0,0.9,1.99
20220617,1001.CB,中债国债收益率曲线,0,1.0,2.0102
20220617,1001.CB,中债国债收益率曲线,0,1.1,2.0393
20220617,1001.CB,中债国债收益率曲线,0,1.2,2.07
20220617,1001.CB,中债国债收益率曲线,0,1.3,2.1016
20220617,1001.CB,中债国债收益率曲线,0,1.4,2.1333
20220617,1001.CB,中债国债收益率曲线,0,1.5,2.1645
20220617,1001.CB,中债国债收益率曲线,0,1.6,2.1945
20220617,1001.CB,中债国债收益率曲线,0,1.7,2.2225
20220617,1001.CB,中债国债收益率曲线,0,1.8,2.2475
20220617,1001.CB,中债国债收益率曲线,0,1.9,2.2678
20220617,1001.CB,中债国债收益率曲线,0,2.0,2.2838
20220617,1001.CB,中债国债收益率曲线,0,2.1,2.296
20220617,1001.CB,中债国债收益率曲线,0,2.2,2.3052
20220617,1001.CB,中债国债收益率曲线,0,2.3,2.3119
20220617,1001.CB,中债国债收益率曲线,0,2.4,2.3168
20220617,1001.CB,中债国债收益率曲线,0,2.5,2.3206
20220617,1001.CB,中债国债收益率曲线,0,2.6,2.324
20220617,1001.CB,中债国债收益率曲线,0,2.7,2.3274
20220617,1001.CB,中债国债收益率曲线,0,2.8,2.3317
20220617,1001.CB,中债国债收益率曲线,0,2.9,2.3374
20220617,1001.CB,中债国债收益率曲线,0,3.0,2.3449
20220617,1001.CB,中债国债收益率曲线,0,3.1,2.3535
20220617,1001.CB,中债国债收益率曲线,0,3.2,2.3629
20220617,1001.CB,中债国债收益率曲线,0,3.3,2.3732
20220617,1001.CB,中债国债收益率曲线,0,3.4,2.3842
20220617,1001.CB,中债国债收益率曲线,0,3.5,2.3958
20220617,1001.CB,中债国债收益率曲线,0,3.6,2.408
20220617,1001.CB,中债国债收益率曲线,0,3.7,2.4207
20220617,1001.CB,中债国债收益率曲线,0,3.8,2.4338
20220617,1001.CB,中债国债收益率曲线,0,3.9,2.4472
20220617,1001.CB,中债国债收益率曲线,0,4.0,2.4609
20220617,1001.CB,中债国债收益率曲线,0,4.1,2.4747
20220617,1001.CB,中债国债收益率曲线,0,4.2,2.4886
20220617,1001.CB,中债国债收益率曲线,0,4.3,2.5025
20220617,1001.CB,中债国债收益率曲线,0,4.4,2.5163
20220617,1001.CB,中债国债收益率曲线,0,4.5,2.53
20220617,1001.CB,中债国债收益率曲线,0,4.6,2.5434
20220617,1001.CB,中债国债收益率曲线,0,4.7,2.5564
20220617,1001.CB,中债国债收益率曲线,0,4.8,2.5691
20220617,1001.CB,中债国债收益率曲线,0,4.9,2.5816
20220617,1001.CB,中债国债收益率曲线,0,5.0,2.5944
20220617,1001.CB,中债国债收益率曲线,0,5.1,2.6076
20220617,1001.CB,中债国债收益率曲线,0,5.2,2.621
20220617,1001.CB,中债国债收益率曲线,0,5.3,2.6346
20220617,1001.CB,中债国债收益率曲线,0,5.4,2.6482
20220617,1001.CB,中债国债收益率曲线,0,5.5,2.6617
20220617,1001.CB,中债国债收益率曲线,0,5.6,2.6751
20220617,1001.CB,中债国债收益率曲线,0,5.7,2.6882
20220617,1001.CB,中债国债收益率曲线,0,5.8,2.7009
20220617,1001.CB,中债国债收益率曲线,0,5.9,2.7133
20220617,1001.CB,中债国债收益率曲线,0,6.0,2.725
20220617,1001.CB,中债国债收益率曲线,0,6.1,2.7361
20220617,1001.CB,中债国债收益率曲线,0,6.2,2.7464
20220617,1001.CB,中债国债收益率曲线,0,6.3,2.7559
20220617,1001.CB,中债国债收益率曲线,0,6.4,2.7644
20220617,1001.CB,中债国债收益率曲线,0,6.5,2.7719
20220617,1001.CB,中债国债收益率曲线,0,6.6,2.7782
20220617,1001.CB,中债国债收益率曲线,0,6.7,2.7833
20220617,1001.CB,中债国债收益率曲线,0,6.8,2.787
20220617,1001.CB,中债国债收益率曲线,0,6.9,2.7893
20220617,1001.CB,中债国债收益率曲线,0,7.0,2.79
20220617,1001.CB,中债国债收益率曲线,0,7.1,2.7899
20220617,1001.CB,中债国债收益率曲线,0,7.2,2.7898
20220617,1001.CB,中债国债收益率曲线,0,7.3,2.7895
20220617,1001.CB,中债国债收益率曲线,0,7.4,2.7892
20220617,1001.CB,中债国债收益率曲线,0,7.5,2.7888
20220617,1001.CB,中债国债收益率曲线,0,7.6,2.7883
20220617,1001.CB,中债国债收益率曲线,0,7.7,2.7878
20220617,1001.CB,中债国债收益率曲线,0,7.8,2.7872
20220617,1001.CB,中债国债收益率曲线,0,7.9,2.7866
20220617,1001.CB,中债国债收益率曲线,0,8.0,2.7859
20220617,1001.CB,中债国债收益率曲线,0,8.1,2.7852
20220617,1001.CB,中债国债收益率曲线,0,8.2,2.7844
20220617,1001.CB,中债国债收益率曲线,0,8.3,2.7837
20220617,1001.CB,中债国债收益率曲线,0,8.4,2.7829
20220617,1001.CB,中债国债收益率曲线,0,8.5,2.7821
20220617,1001.CB,中债国债收益率曲线,0,8.6,2.7814
20220617,1001.CB,中债国债收益率曲线,0,8.7,2.7806
20220617,1001.CB,中债国债收益率曲线,0,8.8,2.7799
20220617,1001.CB,中债国债收益率曲线,0,8.9,2.7792
20220617,1001.CB,中债国债收益率曲线,0,9.0,2.7785
20220617,1001.CB,中债国债收益率曲线,0,9.1,2.7778
20220617,1001.CB,中债国债收益率曲线,0,9.2,2.7772
20220617,1001.CB,中债国债收益率曲线,0,9.3,2.7767
20220617,1001.CB,中债国债收益率曲线,0,9.4,2.7762
20220617,1001.CB,中债国债收益率曲线,0,9.5,2.7758
20220617,1001.CB,中债国债收益率曲线,0,9.6,2.7755
20220617,1001.CB,中债国债收益率曲线,0,9.7,2.7752
20220617,1001.CB,中债国债收益率曲线,0,9.8,2.7751
20220617,1001.CB,中债国债收益率曲线,0,9.9,2.775
20220617,1001.CB,中债国债收益率曲线,0,10.0,2.7752
20220617,1001.CB,中债国债收益率曲线,0,10.1,2.776
20220617,1001.CB,中债国债收益率曲线,0,10.2,2.7774
20220617,1001.CB,中债国债收益率曲线,0,10.3,2.7792
20220617,1001.CB,中债国债收益率曲线,0,10.4,2.7816
20220617,1001.CB,中债国债收益率曲线,0,10.5,2.7845
20220617,1001.CB,中债国债收益率曲线,0,10.6,2.7878
20220617,1001.CB,中债国债收益率曲线,0,10.7,2.7915
20220617,1001.CB,中债国债收益率曲线,0,10.8,2.7957
20220617,1001.CB,中债国债收益率曲线,0,10.9,2.8002
20220617,1001.CB,中债国债收益率曲线,0,11.0,2.8052
20220617,1001.CB,中债国债收益率曲线,0,11.1,2.8105
20220617,1001.CB,中债国债收益率曲线,0,11.2,2.8161
20220617,1001.CB,中债国债收益率曲线,0,11.3,2.8221
20220617,1001.CB,中债国债收益率曲线,0,11.4,2.8284
20220617,1001.CB,中债国债收益率曲线,0,11.5,2.8349
20220617,1001.CB,中债国债收益率曲线,0,11.6,2.8417
20220617,1001.CB,中债国债收益率曲线,0,11.7,2.8487
20220617,1001.CB,中债国债收益率曲线,0,11.8,2.8559
20220617,1001.CB,中债国债收益率曲线,0,11.9,2.8633
20220617,1001.CB,中债国债收益率曲线,0,12.0,2.8709
20220617,1001.CB,中债国债收益率曲线,0,12.1,2.8787
20220617,1001.CB,中债国债收益率曲线,0,12.2,2.8866
20220617,1001.CB,中债国债收益率曲线,0,12.3,2.8946
20220617,1001.CB,中债国债收益率曲线,0,12.4,2.9026
20220617,1001.CB,中债国债收益率曲线,0,12.5,2.9108
20220617,1001.CB,中债国债收益率曲线,0,12.6,2.919
20220617,1001.CB,中债国债收益率曲线,0,12.7,2.9272
20220617,1001.CB,中债国债收益率曲线,0,12.8,2.9354
20220617,1001.CB,中债国债收益率曲线,0,12.9,2.9437
20220617,1001.CB,中债国债收益率曲线,0,13.0,2.9519
