trade_date,ts_code,curve_name,curve_type,curve_term,yield
20231222,1001.CB,中债国债收益率曲线,0,0.0,1.1279
20231222,1001.CB,中债国债收益率曲线,0,0.08,2.1495
20231222,1001.CB,中债国债收益率曲线,0,0.1,2.15
20231222,1001.CB,中债国债收益率曲线,0,0.17,2.15
20231222,1001.CB,中债国债收益率曲线,0,0.2,2.1794
20231222,1001.CB,中债国债收益率曲线,0,0.25,2.2206
20231222,1001.CB,中债国债收益率曲线,0,0.3,2.2313
20231222,1001.CB,中债国债收益率曲线,0,0.4,2.2387
20231222,1001.CB,中债国债收益率曲线,0,0.5,2.2415
20231222,1001.CB,中债国债收益率曲线,0,0.6,2.2437
20231222,1001.CB,中债国债收益率曲线,0,0.7,2.2452
20231222,1001.CB,中债国债收益率曲线,0,0.75,2.246
20231222,1001.CB,中债国债收益率曲线,0,0.8,2.2468
20231222,1001.CB,中债国债收益率曲线,0,0.9,2.2491
20231222,1001.CB,中债国债收益率曲线,0,1.0,2.2526
20231222,1001.CB,中债国债收益率曲线,0,1.1,2.2565
20231222,1001.CB,中债国债收益率曲线,0,1.2,2.2617
20231222,1001.CB,中债国债收益率曲线,0,1.3,2.2679
20231222,1001.CB,中债国债收益率曲线,0,1.4,2.275
20231222,1001.CB,中债国债收益率曲线,0,1.5,2.2826
20231222,1001.CB,中债国债收益率曲线,0,1.6,2.2905
20231222,1001.CB,中债国债收益率曲线,0,1.7,2.2986
20231222,1001.CB,中债国债收益率曲线,0,1.8,2.3066
20231222,1001.CB,中债国债收益率曲线,0,1.9,2.3142
20231222,1001.CB,中债国债收益率曲线,0,2.0,2.3213
20231222,1001.CB,中债国债收益率曲线,0,2.1,2.3277
20231222,1001.CB,中债国债收益率曲线,0,2.2,2.3335
20231222,1001.CB,中债国债收益率曲线,0,2.3,2.3388
20231222,1001.CB,中债国债收益率曲线,0,2.4,2.3438
20231222,1001.CB,中债国债收益率曲线,0,2.5,2.3485
20231222,1001.CB,中债国债收益率曲线,0,2.6,2.3531
20231222,1001.CB,中债国债收益率曲线,0,2.7,2.3578
20231222,1001.CB,中债国债收益率曲线,0,2.8,2.3625
20231222,1001.CB,中债国债收益率曲线,0,2.9,2.3676
20231222,1001.CB,中债国债收益率曲线,0,3.0,2.3726
20231222,1001.CB,中债国债收益率曲线,0,3.1,2.3775
20231222,1001.CB,中债国债收益率曲线,0,3.2,2.3822
20231222,1001.CB,中债国债收益率曲线,0,3.3,2.3868
20231222,1001.CB,中债国债收益率曲线,0,3.4,2.3912
20231222,1001.CB,中债国债收益率曲线,0,3.5,2.3954
20231222,1001.CB,中债国债收益率曲线,0,3.6,2.3996
20231222,1001.CB,中债国债收益率曲线,0,3.7,2.4037
20231222,1001.CB,中债国债收益率曲线,0,3.8,2.4077
20231222,1001.CB,中债国债收益率曲线,0,3.9,2.4116
20231222,1001.CB,中债国债收益率曲线,0,4.0,2.4155
20231222,1001.CB,中债国债收益率曲线,0,4.1,2.4193
20231222,1001.CB,中债国债收益率曲线,0,4.2,2.4232
20231222,1001.CB,中债国债收益率曲线,0,4.3,2.427
20231222,1001.CB,中债国债收益率曲线,0,4.4,2.4309
20231222,1001.CB,中债国债收益率曲线,0,4.5,2.4348
20231222,1001.CB,中债国债收益率曲线,0,4.6,2.4388
20231222,1001.CB,中债国债收益率曲线,0,4.7,2.4428
20231222,1001.CB,中债国债收益率曲线,0,4.8,2.4469
20231222,1001.CB,中债国债收益率曲线,0,4.9,2.4513
20231222,1001.CB,中债国债收益率曲线,0,5.0,2.4562
20231222,1001.CB,中债国债收益率曲线,0,5.1,2.4617
20231222,1001.CB,中债国债收益率曲线,0,5.2,2.4675
20231222,1001.CB,中债国债收益率曲线,0,5.3,2.4737
20231222,1001.CB,中债国债收益率曲线,0,5.4,2.4802
20231222,1001.CB,中债国债收益率曲线,0,5.5,2.4869
20231222,1001.CB,中债国债收益率曲线,0,5.6,2.4938
20231222,1001.CB,中债国债收益率曲线,0,5.7,2.5007
20231222,1001.CB,中债国债收益率曲线,0,5.8,2.5077
20231222,1001.CB,中债国债收益率曲线,0,5.9,2.5147
20231222,1001.CB,中债国债收益率曲线,0,6.0,2.5215
20231222,1001.CB,中债国债收益率曲线,0,6.1,2.5282
20231222,1001.CB,中债国债收益率曲线,0,6.2,2.5346
20231222,1001.CB,中债国债收益率曲线,0,6.3,2.5408
20231222,1001.CB,中债国债收益率曲线,0,6.4,2.5466
20231222,1001.CB,中债国债收益率曲线,0,6.5,2.5519
20231222,1001.CB,中债国债收益率曲线,0,6.6,2.5568
20231222,1001.CB,中债国债收益率曲线,0,6.7,2.561
20231222,1001.CB,中债国债收益率曲线,0,6.8,2.5647
20231222,1001.CB,中债国债收益率曲线,0,6.9,2.5676
20231222,1001.CB,中债国债收益率曲线,0,7.0,2.5698
20231222,1001.CB,中债国债收益率曲线,0,7.1,2.5716
20231222,1001.CB,中债国债收益率曲线,0,7.2,2.5732
20231222,1001.CB,中债国债收益率曲线,0,7.3,2.5747
20231222,1001.CB,中债国债收益率曲线,0,7.4,2.576
20231222,1001.CB,中债国债收益率曲线,0,7.5,2.5773
20231222,1001.CB,中债国债收益率曲线,0,7.6,2.5784
20231222,1001.CB,中债国债收益率曲线,0,7.7,2.5794
20231222,1001.CB,中债国债收益率曲线,0,7.8,2.5804
20231222,1001.CB,中债国债收益率曲线,0,7.9,2.5812
20231222,1001.CB,中债国债收益率曲线,0,8.0,2.582
20231222,1001.CB,中债国债收益率曲线,0,8.1,2.5827
20231222,1001.CB,中债国债收益率曲线,0,8.2,2.5833
20231222,1001.CB,中债国债收益率曲线,0,8.3,2.5838
20231222,1001.CB,中债国债收益率曲线,0,8.4,2.5843
20231222,1001.CB,中债国债收益率曲线,0,8.5,2.5847
20231222,1001.CB,中债国债收益率曲线,0,8.6,2.5851
20231222,1001.CB,中债国债收益率曲线,0,8.7,2.5854
20231222,1001.CB,中债国债收益率曲线,0,8.8,2.5856
20231222,1001.CB,中债国债收益率曲线,0,8.9,2.5859
20231222,1001.CB,中债国债收益率曲线,0,9.0,2.5861
20231222,1001.CB,中债国债收益率曲线,0,9.1,2.5863
20231222,1001.CB,中债国债收益率曲线,0,9.2,2.5864
