trade_date,ts_code,curve_name,curve_type,curve_term,yield
20210514,1001.CB,中债国债收益率曲线,0,0.0,1.5577
20210514,1001.CB,中债国债收益率曲线,0,0.08,1.6428
20210514,1001.CB,中债国债收益率曲线,0,0.1,1.6696
20210514,1001.CB,中债国债收益率曲线,0,0.17,1.8407
20210514,1001.CB,中债国债收益率曲线,0,0.2,1.8723
20210514,1001.CB,中债国债收益率曲线,0,0.25,1.8842
20210514,1001.CB,中债国债收益率曲线,0,0.3,1.9081
20210514,1001.CB,中债国债收益率曲线,0,0.4,1.9817
20210514,1001.CB,中债国债收益率曲线,0,0.5,2.0632
20210514,1001.CB,中债国债收益率曲线,0,0.6,2.1245
20210514,1001.CB,中债国债收益率曲线,0,0.7,2.1752
20210514,1001.CB,中债国债收益率曲线,0,0.75,2.2018
20210514,1001.CB,中债国债收益率曲线,0,0.8,2.2278
20210514,1001.CB,中债国债收益率曲线,0,0.9,2.2794
20210514,1001.CB,中债国债收益率曲线,0,1.0,2.33
20210514,1001.CB,中债国债收益率曲线,0,1.1,2.3737
20210514,1001.CB,中债国债收益率曲线,0,1.2,2.4109
20210514,1001.CB,中债国债收益率曲线,0,1.3,2.4429
20210514,1001.CB,中债国债收益率曲线,0,1.4,2.4707
20210514,1001.CB,中债国债收益率曲线,0,1.5,2.4957
20210514,1001.CB,中债国债收益率曲线,0,1.6,2.5189
20210514,1001.CB,中债国债收益率曲线,0,1.7,2.5416
20210514,1001.CB,中债国债收益率曲线,0,1.8,2.5649
20210514,1001.CB,中债国债收益率曲线,0,1.9,2.59
20210514,1001.CB,中债国债收益率曲线,0,2.0,2.6181
20210514,1001.CB,中债国债收益率曲线,0,2.1,2.6445
20210514,1001.CB,中债国债收益率曲线,0,2.2,2.6647
20210514,1001.CB,中债国债收益率曲线,0,2.3,2.6798
20210514,1001.CB,中债国债收益率曲线,0,2.4,2.6911
20210514,1001.CB,中债国债收益率曲线,0,2.5,2.6998
20210514,1001.CB,中债国债收益率曲线,0,2.6,2.7073
20210514,1001.CB,中债国债收益率曲线,0,2.7,2.7148
20210514,1001.CB,中债国债收益率曲线,0,2.8,2.7236
20210514,1001.CB,中债国债收益率曲线,0,2.9,2.7348
20210514,1001.CB,中债国债收益率曲线,0,3.0,2.7475
20210514,1001.CB,中债国债收益率曲线,0,3.1,2.7595
20210514,1001.CB,中债国债收益率曲线,0,3.2,2.7709
20210514,1001.CB,中债国债收益率曲线,0,3.3,2.7817
20210514,1001.CB,中债国债收益率曲线,0,3.4,2.7921
20210514,1001.CB,中债国债收益率曲线,0,3.5,2.8021
20210514,1001.CB,中债国债收益率曲线,0,3.6,2.8117
20210514,1001.CB,中债国债收益率曲线,0,3.7,2.821
20210514,1001.CB,中债国债收益率曲线,0,3.8,2.83
20210514,1001.CB,中债国债收益率曲线,0,3.9,2.8388
20210514,1001.CB,中债国债收益率曲线,0,4.0,2.8474
20210514,1001.CB,中债国债收益率曲线,0,4.1,2.856
20210514,1001.CB,中债国债收益率曲线,0,4.2,2.8645
20210514,1001.CB,中债国债收益率曲线,0,4.3,2.873
20210514,1001.CB,中债国债收益率曲线,0,4.4,2.8816
20210514,1001.CB,中债国债收益率曲线,0,4.5,2.8903
20210514,1001.CB,中债国债收益率曲线,0,4.6,2.8992
20210514,1001.CB,中债国债收益率曲线,0,4.7,2.9083
20210514,1001.CB,中债国债收益率曲线,0,4.8,2.9176
20210514,1001.CB,中债国债收益率曲线,0,4.9,2.9272
20210514,1001.CB,中债国债收益率曲线,0,5.0,2.9367
20210514,1001.CB,中债国债收益率曲线,0,5.1,2.9462
20210514,1001.CB,中债国债收益率曲线,0,5.2,2.9555
20210514,1001.CB,中债国债收益率曲线,0,5.3,2.9647
20210514,1001.CB,中债国债收益率曲线,0,5.4,2.9738
20210514,1001.CB,中债国债收益率曲线,0,5.5,2.9827
20210514,1001.CB,中债国债收益率曲线,0,5.6,2.9915
20210514,1001.CB,中债国债收益率曲线,0,5.7,3.0001
20210514,1001.CB,中债国债收益率曲线,0,5.8,3.0086
20210514,1001.CB,中债国债收益率曲线,0,5.9,3.0168
20210514,1001.CB,中债国债收益率曲线,0,6.0,3.0248
20210514,1001.CB,中债国债收益率曲线,0,6.1,3.0326
20210514,1001.CB,中债国债收益率曲线,0,6.2,3.0401
20210514,1001.CB,中债国债收益率曲线,0,6.3,3.0474
20210514,1001.CB,中债国债收益率曲线,0,6.4,3.0544
20210514,1001.CB,中债国债收益率曲线,0,6.5,3.0612
20210514,1001.CB,中债国债收益率曲线,0,6.6,3.0676
20210514,1001.CB,中债国债收益率曲线,0,6.7,3.0737
20210514,1001.CB,中债国债收益率曲线,0,6.8,3.0795
20210514,1001.CB,中债国债收益率曲线,0,6.9,3.085
20210514,1001.CB,中债国债收益率曲线,0,7.0,3.0901
20210514,1001.CB,中债国债收益率曲线,0,7.1,3.0948
20210514,1001.CB,中债国债收益率曲线,0,7.2,3.0991
20210514,1001.CB,中债国债收益率曲线,0,7.3,3.103
20210514,1001.CB,中债国债收益率曲线,0,7.4,3.1064
20210514,1001.CB,中债国债收益率曲线,0,7.5,3.1095
20210514,1001.CB,中债国债收益率曲线,0,7.6,3.1122
20210514,1001.CB,中债国债收益率曲线,0,7.7,3.1147
20210514,1001.CB,中债国债收益率曲线,0,7.8,3.1168
20210514,1001.CB,中债国债收益率曲线,0,7.9,3.1186
20210514,1001.CB,中债国债收益率曲线,0,8.0,3.1203
20210514,1001.CB,中债国债收益率曲线,0,8.1,3.1217
20210514,1001.CB,中债国债收益率曲线,0,8.2,3.1229
20210514,1001.CB,中债国债收益率曲线,0,8.3,3.1239
20210514,1001.CB,中债国债收益率曲线,0,8.4,3.1248
20210514,1001.CB,中债国债收益率曲线,0,8.5,3.1256
20210514,1001.CB,中债国债收益率曲线,0,8.6,3.1263
20210514,1001.CB,中债国债收益率曲线,0,8.7,3.1269
20210514,1001.CB,中债国债收益率曲线,0,8.8,3.1274
20210514,1001.CB,中债国债收益率曲线,0,8.9,3.128
20210514,1001.CB,中债国债收益率曲线,0,9.0,3.1286
20210514,1001.CB,中债国债收益率曲线,0,9.1,3.1292
20210514,1001.CB,中债国债收益率曲线,0,9.2,3.1298
20210514,1001.CB,中债国债收益率曲线,0,9.3,3.1305
20210514,1001.CB,中债国债收益率曲线,0,9.4,3.1314
20210514,1001.CB,中债国债收益率曲线,0,9.5,3.1324
20210514,1001.CB,中债国债收益率曲线,0,9.6,3.1336
20210514,1001.CB,中债国债收益率曲线,0,9.7,3.1352
20210514,1001.CB,中债国债收益率曲线,0,9.8,3.1371
20210514,1001.CB,中债国债收益率曲线,0,9.9,3.1395
20210514,1001.CB,中债国债收益率曲线,0,10.0,3.1422
20210514,1001.CB,中债国债收益率曲线,0,10.1,3.1452
20210514,1001.CB,中债国债收益率曲线,0,10.2,3.1486
20210514,1001.CB,中债国债收益率曲线,0,10.3,3.1523
20210514,1001.CB,中债国债收益率曲线,0,10.4,3.1563
20210514,1001.CB,中债国债收益率曲线,0,10.5,3.1606
20210514,1001.CB,中债国债收益率曲线,0,10.6,3.1652
20210514,1001.CB,中债国债收益率曲线,0,10.7,3.1701
20210514,1001.CB,中债国债收益率曲线,0,10.8,3.1752
20210514,1001.CB,中债国债收益率曲线,0,10.9,3.1806
20210514,1001.CB,中债国债收益率曲线,0,11.0,3.1862
20210514,1001.CB,中债国债收益率曲线,0,11.1,3.1921
20210514,1001.CB,中债国债收益率曲线,0,11.2,3.1982
20210514,1001.CB,中债国债收益率曲线,0,11.3,3.2045
20210514,1001.CB,中债国债收益率曲线,0,11.4,3.2111
20210514,1001.CB,中债国债收益率曲线,0,11.5,3.2178
20210514,1001.CB,中债国债收益率曲线,0,11.6,3.2247
20210514,1001.CB,中债国债收益率曲线,0,11.7,3.2317
20210514,1001.CB,中债国债收益率曲线,0,11.8,3.239
20210514,1001.CB,中债国债收益率曲线,0,11.9,3.2463
20210514,1001.CB,中债国债收益率曲线,0,12.0,3.2539
20210514,1001.CB,中债国债收益率曲线,0,12.1,3.2615
20210514,1001.CB,中债国债收益率曲线,0,12.2,3.2692
20210514,1001.CB,中债国债收益率曲线,0,12.3,3.2771
20210514,1001.CB,中债国债收益率曲线,0,12.4,3.2851
20210514,1001.CB,中债国债收益率曲线,0,12.5,3.2931
20210514,1001.CB,中债国债收益率曲线,0,12.6,3.3012
20210514,1001.CB,中债国债收益率曲线,0,12.7,3.3094
