trade_date,ts_code,curve_name,curve_type,curve_term,yield
20230120,1001.CB,中债国债收益率曲线,0,0.0,1.423
20230120,1001.CB,中债国债收益率曲线,0,0.08,1.6746
20230120,1001.CB,中债国债收益率曲线,0,0.1,1.6776
20230120,1001.CB,中债国债收益率曲线,0,0.17,1.6902
20230120,1001.CB,中债国债收益率曲线,0,0.2,1.7771
20230120,1001.CB,中债国债收益率曲线,0,0.25,1.9173
20230120,1001.CB,中债国债收益率曲线,0,0.3,1.9943
20230120,1001.CB,中债国债收益率曲线,0,0.4,2.0677
20230120,1001.CB,中债国债收益率曲线,0,0.5,2.0799
20230120,1001.CB,中债国债收益率曲线,0,0.6,2.08
20230120,1001.CB,中债国债收益率曲线,0,0.7,2.08
20230120,1001.CB,中债国债收益率曲线,0,0.75,2.08
20230120,1001.CB,中债国债收益率曲线,0,0.8,2.0843
20230120,1001.CB,中债国债收益率曲线,0,0.9,2.122
20230120,1001.CB,中债国债收益率曲线,0,1.0,2.1648
20230120,1001.CB,中债国债收益率曲线,0,1.1,2.1981
20230120,1001.CB,中债国债收益率曲线,0,1.2,2.2283
20230120,1001.CB,中债国债收益率曲线,0,1.3,2.2559
20230120,1001.CB,中债国债收益率曲线,0,1.4,2.2816
20230120,1001.CB,中债国债收益率曲线,0,1.5,2.3059
20230120,1001.CB,中债国债收益率曲线,0,1.6,2.3296
20230120,1001.CB,中债国债收益率曲线,0,1.7,2.3531
20230120,1001.CB,中债国债收益率曲线,0,1.8,2.3772
20230120,1001.CB,中债国债收益率曲线,0,1.9,2.4024
20230120,1001.CB,中债国债收益率曲线,0,2.0,2.4273
20230120,1001.CB,中债国债收益率曲线,0,2.1,2.447
20230120,1001.CB,中债国债收益率曲线,0,2.2,2.4621
20230120,1001.CB,中债国债收益率曲线,0,2.3,2.4736
20230120,1001.CB,中债国债收益率曲线,0,2.4,2.4827
20230120,1001.CB,中债国债收益率曲线,0,2.5,2.4903
20230120,1001.CB,中债国债收益率曲线,0,2.6,2.4975
20230120,1001.CB,中债国债收益率曲线,0,2.7,2.5053
20230120,1001.CB,中债国债收益率曲线,0,2.8,2.5147
20230120,1001.CB,中债国债收益率曲线,0,2.9,2.5263
20230120,1001.CB,中债国债收益率曲线,0,3.0,2.5379
20230120,1001.CB,中债国债收益率曲线,0,3.1,2.5491
20230120,1001.CB,中债国债收益率曲线,0,3.2,2.5599
20230120,1001.CB,中债国债收益率曲线,0,3.3,2.5704
20230120,1001.CB,中债国债收益率曲线,0,3.4,2.5806
20230120,1001.CB,中债国债收益率曲线,0,3.5,2.5906
20230120,1001.CB,中债国债收益率曲线,0,3.6,2.6003
20230120,1001.CB,中债国债收益率曲线,0,3.7,2.6098
20230120,1001.CB,中债国债收益率曲线,0,3.8,2.6192
20230120,1001.CB,中债国债收益率曲线,0,3.9,2.6284
20230120,1001.CB,中债国债收益率曲线,0,4.0,2.6375
20230120,1001.CB,中债国债收益率曲线,0,4.1,2.6465
20230120,1001.CB,中债国债收益率曲线,0,4.2,2.6554
20230120,1001.CB,中债国债收益率曲线,0,4.3,2.6644
20230120,1001.CB,中债国债收益率曲线,0,4.4,2.6733
20230120,1001.CB,中债国债收益率曲线,0,4.5,2.6823
20230120,1001.CB,中债国债收益率曲线,0,4.6,2.6913
20230120,1001.CB,中债国债收益率曲线,0,4.7,2.7005
20230120,1001.CB,中债国债收益率曲线,0,4.8,2.7098
20230120,1001.CB,中债国债收益率曲线,0,4.9,2.7192
20230120,1001.CB,中债国债收益率曲线,0,5.0,2.7288
20230120,1001.CB,中债国债收益率曲线,0,5.1,2.7383
20230120,1001.CB,中债国债收益率曲线,0,5.2,2.7475
20230120,1001.CB,中债国债收益率曲线,0,5.3,2.7564
20230120,1001.CB,中债国债收益率曲线,0,5.4,2.7651
20230120,1001.CB,中债国债收益率曲线,0,5.5,2.7734
20230120,1001.CB,中债国债收益率曲线,0,5.6,2.7816
20230120,1001.CB,中债国债收益率曲线,0,5.7,2.7894
20230120,1001.CB,中债国债收益率曲线,0,5.8,2.7971
20230120,1001.CB,中债国债收益率曲线,0,5.9,2.8045
20230120,1001.CB,中债国债收益率曲线,0,6.0,2.8118
20230120,1001.CB,中债国债收益率曲线,0,6.1,2.8188
20230120,1001.CB,中债国债收益率曲线,0,6.2,2.8257
20230120,1001.CB,中债国债收益率曲线,0,6.3,2.8324
20230120,1001.CB,中债国债收益率曲线,0,6.4,2.839
20230120,1001.CB,中债国债收益率曲线,0,6.5,2.8454
20230120,1001.CB,中债国债收益率曲线,0,6.6,2.8517
20230120,1001.CB,中债国债收益率曲线,0,6.7,2.8579
20230120,1001.CB,中债国债收益率曲线,0,6.8,2.8639
20230120,1001.CB,中债国债收益率曲线,0,6.9,2.8699
20230120,1001.CB,中债国债收益率曲线,0,7.0,2.8756
