trade_date,ts_code,curve_name,curve_type,curve_term,yield
20210528,1001.CB,中债国债收益率曲线,0,0.0,1.6566
20210528,1001.CB,中债国债收益率曲线,0,0.08,1.7787
20210528,1001.CB,中债国债收益率曲线,0,0.1,1.8034
20210528,1001.CB,中债国债收益率曲线,0,0.17,1.8743
20210528,1001.CB,中债国债收益率曲线,0,0.2,1.883
20210528,1001.CB,中债国债收益率曲线,0,0.25,1.8953
20210528,1001.CB,中债国债收益率曲线,0,0.3,1.9253
20210528,1001.CB,中债国债收益率曲线,0,0.4,2.0165
20210528,1001.CB,中债国债收益率曲线,0,0.5,2.1065
20210528,1001.CB,中债国债收益率曲线,0,0.6,2.1565
20210528,1001.CB,中债国债收益率曲线,0,0.7,2.2075
20210528,1001.CB,中债国债收益率曲线,0,0.75,2.2408
20210528,1001.CB,中债国债收益率曲线,0,0.8,2.2768
20210528,1001.CB,中债国债收益率曲线,0,0.9,2.349
20210528,1001.CB,中债国债收益率曲线,0,1.0,2.41
20210528,1001.CB,中债国债收益率曲线,0,1.1,2.4574
20210528,1001.CB,中债国债收益率曲线,0,1.2,2.4934
20210528,1001.CB,中债国债收益率曲线,0,1.3,2.5204
20210528,1001.CB,中债国债收益率曲线,0,1.4,2.5403
20210528,1001.CB,中债国债收益率曲线,0,1.5,2.5555
20210528,1001.CB,中债国债收益率曲线,0,1.6,2.568
20210528,1001.CB,中债国债收益率曲线,0,1.7,2.5802
20210528,1001.CB,中债国债收益率曲线,0,1.8,2.5941
20210528,1001.CB,中债国债收益率曲线,0,1.9,2.6119
20210528,1001.CB,中债国债收益率曲线,0,2.0,2.6356
20210528,1001.CB,中债国债收益率曲线,0,2.1,2.6577
20210528,1001.CB,中债国债收益率曲线,0,2.2,2.6753
20210528,1001.CB,中债国债收益率曲线,0,2.3,2.6893
20210528,1001.CB,中债国债收益率曲线,0,2.4,2.7007
20210528,1001.CB,中债国债收益率曲线,0,2.5,2.7105
20210528,1001.CB,中债国债收益率曲线,0,2.6,2.7196
20210528,1001.CB,中债国债收益率曲线,0,2.7,2.729
20210528,1001.CB,中债国债收益率曲线,0,2.8,2.7397
20210528,1001.CB,中债国债收益率曲线,0,2.9,2.7523
20210528,1001.CB,中债国债收益率曲线,0,3.0,2.7648
20210528,1001.CB,中债国债收益率曲线,0,3.1,2.7764
20210528,1001.CB,中债国债收益率曲线,0,3.2,2.7872
20210528,1001.CB,中债国债收益率曲线,0,3.3,2.7973
20210528,1001.CB,中债国债收益率曲线,0,3.4,2.8067
20210528,1001.CB,中债国债收益率曲线,0,3.5,2.8156
20210528,1001.CB,中债国债收益率曲线,0,3.6,2.824
20210528,1001.CB,中债国债收益率曲线,0,3.7,2.8319
20210528,1001.CB,中债国债收益率曲线,0,3.8,2.8395
20210528,1001.CB,中债国债收益率曲线,0,3.9,2.8469
20210528,1001.CB,中债国债收益率曲线,0,4.0,2.8541
20210528,1001.CB,中债国债收益率曲线,0,4.1,2.8611
20210528,1001.CB,中债国债收益率曲线,0,4.2,2.8682
20210528,1001.CB,中债国债收益率曲线,0,4.3,2.8752
20210528,1001.CB,中债国债收益率曲线,0,4.4,2.8824
20210528,1001.CB,中债国债收益率曲线,0,4.5,2.8898
20210528,1001.CB,中债国债收益率曲线,0,4.6,2.8975
20210528,1001.CB,中债国债收益率曲线,0,4.7,2.9055
20210528,1001.CB,中债国债收益率曲线,0,4.8,2.9139
20210528,1001.CB,中债国债收益率曲线,0,4.9,2.9225
20210528,1001.CB,中债国债收益率曲线,0,5.0,2.9311
20210528,1001.CB,中债国债收益率曲线,0,5.1,2.9397
20210528,1001.CB,中债国债收益率曲线,0,5.2,2.9482
20210528,1001.CB,中债国债收益率曲线,0,5.3,2.9566
20210528,1001.CB,中债国债收益率曲线,0,5.4,2.9649
20210528,1001.CB,中债国债收益率曲线,0,5.5,2.9731
20210528,1001.CB,中债国债收益率曲线,0,5.6,2.9811
20210528,1001.CB,中债国债收益率曲线,0,5.7,2.9889
20210528,1001.CB,中债国债收益率曲线,0,5.8,2.9965
20210528,1001.CB,中债国债收益率曲线,0,5.9,3.0038
20210528,1001.CB,中债国债收益率曲线,0,6.0,3.0108
20210528,1001.CB,中债国债收益率曲线,0,6.1,3.0175
20210528,1001.CB,中债国债收益率曲线,0,6.2,3.0238
20210528,1001.CB,中债国债收益率曲线,0,6.3,3.0298
20210528,1001.CB,中债国债收益率曲线,0,6.4,3.0353
20210528,1001.CB,中债国债收益率曲线,0,6.5,3.0404
20210528,1001.CB,中债国债收益率曲线,0,6.6,3.0451
20210528,1001.CB,中债国债收益率曲线,0,6.7,3.0492
20210528,1001.CB,中债国债收益率曲线,0,6.8,3.0529
20210528,1001.CB,中债国债收益率曲线,0,6.9,3.056
20210528,1001.CB,中债国债收益率曲线,0,7.0,3.0585
20210528,1001.CB,中债国债收益率曲线,0,7.1,3.0608
20210528,1001.CB,中债国债收益率曲线,0,7.2,3.0629
20210528,1001.CB,中债国债收益率曲线,0,7.3,3.0649
20210528,1001.CB,中债国债收益率曲线,0,7.4,3.0667
20210528,1001.CB,中债国债收益率曲线,0,7.5,3.0683
20210528,1001.CB,中债国债收益率曲线,0,7.6,3.0698
20210528,1001.CB,中债国债收益率曲线,0,7.7,3.0712
20210528,1001.CB,中债国债收益率曲线,0,7.8,3.0724
20210528,1001.CB,中债国债收益率曲线,0,7.9,3.0736
20210528,1001.CB,中债国债收益率曲线,0,8.0,3.0746
20210528,1001.CB,中债国债收益率曲线,0,8.1,3.0755
20210528,1001.CB,中债国债收益率曲线,0,8.2,3.0763
20210528,1001.CB,中债国债收益率曲线,0,8.3,3.0771
20210528,1001.CB,中债国债收益率曲线,0,8.4,3.0777
20210528,1001.CB,中债国债收益率曲线,0,8.5,3.0783
20210528,1001.CB,中债国债收益率曲线,0,8.6,3.0788
20210528,1001.CB,中债国债收益率曲线,0,8.7,3.0792
20210528,1001.CB,中债国债收益率曲线,0,8.8,3.0796
20210528,1001.CB,中债国债收益率曲线,0,8.9,3.0799
20210528,1001.CB,中债国债收益率曲线,0,9.0,3.0802
20210528,1001.CB,中债国债收益率曲线,0,9.1,3.0805
20210528,1001.CB,中债国债收益率曲线,0,9.2,3.0807
20210528,1001.CB,中债国债收益率曲线,0,9.3,3.0809
20210528,1001.CB,中债国债收益率曲线,0,9.4,3.0811
20210528,1001.CB,中债国债收益率曲线,0,9.5,3.0813
20210528,1001.CB,中债国债收益率曲线,0,9.6,3.0815
20210528,1001.CB,中债国债收益率曲线,0,9.7,3.0817
20210528,1001.CB,中债国债收益率曲线,0,9.8,3.082
20210528,1001.CB,中债国债收益率曲线,0,9.9,3.0822
20210528,1001.CB,中债国债收益率曲线,0,10.0,3.0825
20210528,1001.CB,中债国债收益率曲线,0,10.1,3.0831
20210528,1001.CB,中债国债收益率曲线,0,10.2,3.0842
20210528,1001.CB,中债国债收益率曲线,0,10.3,3.0858
20210528,1001.CB,中债国债收益率曲线,0,10.4,3.0879
20210528,1001.CB,中债国债收益率曲线,0,10.5,3.0905
20210528,1001.CB,中债国债收益率曲线,0,10.6,3.0935
20210528,1001.CB,中债国债收益率曲线,0,10.7,3.097
20210528,1001.CB,中债国债收益率曲线,0,10.8,3.1009
20210528,1001.CB,中债国债收益率曲线,0,10.9,3.1052
20210528,1001.CB,中债国债收益率曲线,0,11.0,3.1099
20210528,1001.CB,中债国债收益率曲线,0,11.1,3.115
20210528,1001.CB,中债国债收益率曲线,0,11.2,3.1205
20210528,1001.CB,中债国债收益率曲线,0,11.3,3.1263
20210528,1001.CB,中债国债收益率曲线,0,11.4,3.1324
20210528,1001.CB,中债国债收益率曲线,0,11.5,3.1388
20210528,1001.CB,中债国债收益率曲线,0,11.6,3.1456
20210528,1001.CB,中债国债收益率曲线,0,11.7,3.1526
20210528,1001.CB,中债国债收益率曲线,0,11.8,3.1599
20210528,1001.CB,中债国债收益率曲线,0,11.9,3.1674
20210528,1001.CB,中债国债收益率曲线,0,12.0,3.1752
20210528,1001.CB,中债国债收益率曲线,0,12.1,3.1831
20210528,1001.CB,中债国债收益率曲线,0,12.2,3.1913
20210528,1001.CB,中债国债收益率曲线,0,12.3,3.1997
20210528,1001.CB,中债国债收益率曲线,0,12.4,3.2082
20210528,1001.CB,中债国债收益率曲线,0,12.5,3.2168
20210528,1001.CB,中债国债收益率曲线,0,12.6,3.2256
