trade_date,ts_code,curve_name,curve_type,curve_term,yield
20240726,1001.CB,中债国债收益率曲线,0,0.0,1.2995
20240726,1001.CB,中债国债收益率曲线,0,0.08,1.3799
20240726,1001.CB,中债国债收益率曲线,0,0.1,1.38
20240726,1001.CB,中债国债收益率曲线,0,0.17,1.3801
20240726,1001.CB,中债国债收益率曲线,0,0.2,1.3856
20240726,1001.CB,中债国债收益率曲线,0,0.25,1.3979
20240726,1001.CB,中债国债收益率曲线,0,0.3,1.4209
20240726,1001.CB,中债国债收益率曲线,0,0.4,1.4844
20240726,1001.CB,中债国债收益率曲线,0,0.5,1.5034
20240726,1001.CB,中债国债收益率曲线,0,0.6,1.4845
20240726,1001.CB,中债国债收益率曲线,0,0.7,1.4635
20240726,1001.CB,中债国债收益率曲线,0,0.75,1.46
20240726,1001.CB,中债国债收益率曲线,0,0.8,1.4613
20240726,1001.CB,中债国债收益率曲线,0,0.9,1.4686
20240726,1001.CB,中债国债收益率曲线,0,1.0,1.4769
20240726,1001.CB,中债国债收益率曲线,0,1.1,1.4833
20240726,1001.CB,中债国债收益率曲线,0,1.2,1.4889
20240726,1001.CB,中债国债收益率曲线,0,1.3,1.4939
20240726,1001.CB,中债国债收益率曲线,0,1.4,1.4986
20240726,1001.CB,中债国债收益率曲线,0,1.5,1.503
20240726,1001.CB,中债国债收益率曲线,0,1.6,1.5072
20240726,1001.CB,中债国债收益率曲线,0,1.7,1.5115
20240726,1001.CB,中债国债收益率曲线,0,1.8,1.5159
20240726,1001.CB,中债国债收益率曲线,0,1.9,1.5207
20240726,1001.CB,中债国债收益率曲线,0,2.0,1.5296
20240726,1001.CB,中债国债收益率曲线,0,2.1,1.5442
20240726,1001.CB,中债国债收益率曲线,0,2.2,1.5633
20240726,1001.CB,中债国债收益率曲线,0,2.3,1.5858
20240726,1001.CB,中债国债收益率曲线,0,2.4,1.6106
20240726,1001.CB,中债国债收益率曲线,0,2.5,1.6365
20240726,1001.CB,中债国债收益率曲线,0,2.6,1.6623
20240726,1001.CB,中债国债收益率曲线,0,2.7,1.687
20240726,1001.CB,中债国债收益率曲线,0,2.8,1.7094
20240726,1001.CB,中债国债收益率曲线,0,2.9,1.7292
20240726,1001.CB,中债国债收益率曲线,0,3.0,1.7468
20240726,1001.CB,中债国债收益率曲线,0,3.1,1.7624
20240726,1001.CB,中债国债收益率曲线,0,3.2,1.7763
20240726,1001.CB,中债国债收益率曲线,0,3.3,1.7885
20240726,1001.CB,中债国债收益率曲线,0,3.4,1.7993
20240726,1001.CB,中债国债收益率曲线,0,3.5,1.8087
20240726,1001.CB,中债国债收益率曲线,0,3.6,1.817
20240726,1001.CB,中债国债收益率曲线,0,3.7,1.8243
20240726,1001.CB,中债国债收益率曲线,0,3.8,1.8307
20240726,1001.CB,中债国债收益率曲线,0,3.9,1.8364
20240726,1001.CB,中债国债收益率曲线,0,4.0,1.8415
20240726,1001.CB,中债国债收益率曲线,0,4.1,1.8463
20240726,1001.CB,中债国债收益率曲线,0,4.2,1.8508
20240726,1001.CB,中债国债收益率曲线,0,4.3,1.8553
20240726,1001.CB,中债国债收益率曲线,0,4.4,1.8599
