trade_date,ts_code,curve_name,curve_type,curve_term,yield
20210219,1001.CB,中债国债收益率曲线,0,0.0,1.7753
20210219,1001.CB,中债国债收益率曲线,0,0.08,1.8675
20210219,1001.CB,中债国债收益率曲线,0,0.1,1.8955
20210219,1001.CB,中债国债收益率曲线,0,0.17,2.0235
20210219,1001.CB,中债国债收益率曲线,0,0.2,2.0214
20210219,1001.CB,中债国债收益率曲线,0,0.25,2.0274
20210219,1001.CB,中债国债收益率曲线,0,0.3,2.0769
20210219,1001.CB,中债国债收益率曲线,0,0.4,2.2371
20210219,1001.CB,中债国债收益率曲线,0,0.5,2.3302
20210219,1001.CB,中债国债收益率曲线,0,0.6,2.3266
20210219,1001.CB,中债国债收益率曲线,0,0.7,2.321
20210219,1001.CB,中债国债收益率曲线,0,0.75,2.3201
20210219,1001.CB,中债国债收益率曲线,0,0.8,2.377
20210219,1001.CB,中债国债收益率曲线,0,0.9,2.5896
20210219,1001.CB,中债国债收益率曲线,0,1.0,2.6512
20210219,1001.CB,中债国债收益率曲线,0,1.1,2.6916
20210219,1001.CB,中债国债收益率曲线,0,1.2,2.7211
20210219,1001.CB,中债国债收益率曲线,0,1.3,2.7418
20210219,1001.CB,中债国债收益率曲线,0,1.4,2.7555
20210219,1001.CB,中债国债收益率曲线,0,1.5,2.7642
20210219,1001.CB,中债国债收益率曲线,0,1.6,2.7698
20210219,1001.CB,中债国债收益率曲线,0,1.7,2.7743
20210219,1001.CB,中债国债收益率曲线,0,1.8,2.7796
20210219,1001.CB,中债国债收益率曲线,0,1.9,2.7867
20210219,1001.CB,中债国债收益率曲线,0,2.0,2.7949
20210219,1001.CB,中债国债收益率曲线,0,2.1,2.8039
20210219,1001.CB,中债国债收益率曲线,0,2.2,2.8135
20210219,1001.CB,中债国债收益率曲线,0,2.3,2.8236
20210219,1001.CB,中债国债收益率曲线,0,2.4,2.8339
20210219,1001.CB,中债国债收益率曲线,0,2.5,2.8442
20210219,1001.CB,中债国债收益率曲线,0,2.6,2.8544
20210219,1001.CB,中债国债收益率曲线,0,2.7,2.8641
20210219,1001.CB,中债国债收益率曲线,0,2.8,2.8735
