trade_date,ts_code,curve_name,curve_type,curve_term,yield
20241129,1001.CB,中债国债收益率曲线,0,0.0,1.1024
20241129,1001.CB,中债国债收益率曲线,0,0.08,1.2301
20241129,1001.CB,中债国债收益率曲线,0,0.1,1.2581
20241129,1001.CB,中债国债收益率曲线,0,0.17,1.3558
20241129,1001.CB,中债国债收益率曲线,0,0.2,1.3669
20241129,1001.CB,中债国债收益率曲线,0,0.25,1.37
20241129,1001.CB,中债国债收益率曲线,0,0.3,1.37
20241129,1001.CB,中债国债收益率曲线,0,0.4,1.37
20241129,1001.CB,中债国债收益率曲线,0,0.5,1.37
20241129,1001.CB,中债国债收益率曲线,0,0.6,1.3669
20241129,1001.CB,中债国债收益率曲线,0,0.7,1.3622
20241129,1001.CB,中债国债收益率曲线,0,0.75,1.3613
20241129,1001.CB,中债国债收益率曲线,0,0.8,1.3634
20241129,1001.CB,中债国债收益率曲线,0,0.9,1.37
20241129,1001.CB,中债国债收益率曲线,0,1.0,1.3698
20241129,1001.CB,中债国债收益率曲线,0,1.1,1.3694
20241129,1001.CB,中债国债收益率曲线,0,1.2,1.3688
20241129,1001.CB,中债国债收益率曲线,0,1.3,1.368
20241129,1001.CB,中债国债收益率曲线,0,1.4,1.3672
20241129,1001.CB,中债国债收益率曲线,0,1.5,1.3664
20241129,1001.CB,中债国债收益率曲线,0,1.6,1.3657
20241129,1001.CB,中债国债收益率曲线,0,1.7,1.3652
20241129,1001.CB,中债国债收益率曲线,0,1.8,1.365
20241129,1001.CB,中债国债收益率曲线,0,1.9,1.3654
20241129,1001.CB,中债国债收益率曲线,0,2.0,1.3671
20241129,1001.CB,中债国债收益率曲线,0,2.1,1.37
20241129,1001.CB,中债国债收益率曲线,0,2.2,1.3737
20241129,1001.CB,中债国债收益率曲线,0,2.3,1.3782
20241129,1001.CB,中债国债收益率曲线,0,2.4,1.3832
20241129,1001.CB,中债国债收益率曲线,0,2.5,1.3886
20241129,1001.CB,中债国债收益率曲线,0,2.6,1.3942
20241129,1001.CB,中债国债收益率曲线,0,2.7,1.3997
20241129,1001.CB,中债国债收益率曲线,0,2.8,1.4049
20241129,1001.CB,中债国债收益率曲线,0,2.9,1.4098
20241129,1001.CB,中债国债收益率曲线,0,3.0,1.4142
20241129,1001.CB,中债国债收益率曲线,0,3.1,1.4198
20241129,1001.CB,中债国债收益率曲线,0,3.2,1.4269
20241129,1001.CB,中债国债收益率曲线,0,3.3,1.4353
20241129,1001.CB,中债国债收益率曲线,0,3.4,1.4449
20241129,1001.CB,中债国债收益率曲线,0,3.5,1.4557
20241129,1001.CB,中债国债收益率曲线,0,3.6,1.4674
