trade_date,ts_code,curve_name,curve_type,curve_term,yield
20210305,1001.CB,中债国债收益率曲线,0,0.0,1.3557
20210305,1001.CB,中债国债收益率曲线,0,0.08,1.7791
20210305,1001.CB,中债国债收益率曲线,0,0.1,1.8497
20210305,1001.CB,中债国债收益率曲线,0,0.17,1.9951
20210305,1001.CB,中债国债收益率曲线,0,0.2,2.0356
20210305,1001.CB,中债国债收益率曲线,0,0.25,2.0591
20210305,1001.CB,中债国债收益率曲线,0,0.3,2.0895
20210305,1001.CB,中债国债收益率曲线,0,0.4,2.1408
20210305,1001.CB,中债国债收益率曲线,0,0.5,2.1904
20210305,1001.CB,中债国债收益率曲线,0,0.6,2.243
20210305,1001.CB,中债国债收益率曲线,0,0.7,2.2951
20210305,1001.CB,中债国债收益率曲线,0,0.75,2.3429
20210305,1001.CB,中债国债收益率曲线,0,0.8,2.4323
20210305,1001.CB,中债国债收益率曲线,0,0.9,2.5736
20210305,1001.CB,中债国债收益率曲线,0,1.0,2.639
20210305,1001.CB,中债国债收益率曲线,0,1.1,2.6872
20210305,1001.CB,中债国债收益率曲线,0,1.2,2.7214
20210305,1001.CB,中债国债收益率曲线,0,1.3,2.7446
20210305,1001.CB,中债国债收益率曲线,0,1.4,2.7598
20210305,1001.CB,中债国债收益率曲线,0,1.5,2.7698
20210305,1001.CB,中债国债收益率曲线,0,1.6,2.7779
20210305,1001.CB,中债国债收益率曲线,0,1.7,2.7869
20210305,1001.CB,中债国债收益率曲线,0,1.8,2.7995
20210305,1001.CB,中债国债收益率曲线,0,1.9,2.8121
20210305,1001.CB,中债国债收益率曲线,0,2.0,2.8235
20210305,1001.CB,中债国债收益率曲线,0,2.1,2.8339
20210305,1001.CB,中债国债收益率曲线,0,2.2,2.8435
20210305,1001.CB,中债国债收益率曲线,0,2.3,2.8528
20210305,1001.CB,中债国债收益率曲线,0,2.4,2.8618
20210305,1001.CB,中债国债收益率曲线,0,2.5,2.8709
20210305,1001.CB,中债国债收益率曲线,0,2.6,2.8804
20210305,1001.CB,中债国债收益率曲线,0,2.7,2.8904
20210305,1001.CB,中债国债收益率曲线,0,2.8,2.9004
20210305,1001.CB,中债国债收益率曲线,0,2.9,2.9101
20210305,1001.CB,中债国债收益率曲线,0,3.0,2.9194
20210305,1001.CB,中债国债收益率曲线,0,3.1,2.9285
20210305,1001.CB,中债国债收益率曲线,0,3.2,2.9374
20210305,1001.CB,中债国债收益率曲线,0,3.3,2.9461
20210305,1001.CB,中债国债收益率曲线,0,3.4,2.9546
20210305,1001.CB,中债国债收益率曲线,0,3.5,2.9629
20210305,1001.CB,中债国债收益率曲线,0,3.6,2.9712
20210305,1001.CB,中债国债收益率曲线,0,3.7,2.9793
20210305,1001.CB,中债国债收益率曲线,0,3.8,2.9873
20210305,1001.CB,中债国债收益率曲线,0,3.9,2.9953
20210305,1001.CB,中债国债收益率曲线,0,4.0,3.0033
20210305,1001.CB,中债国债收益率曲线,0,4.1,3.0113
20210305,1001.CB,中债国债收益率曲线,0,4.2,3.0193
20210305,1001.CB,中债国债收益率曲线,0,4.3,3.0274
20210305,1001.CB,中债国债收益率曲线,0,4.4,3.0355
20210305,1001.CB,中债国债收益率曲线,0,4.5,3.0438
20210305,1001.CB,中债国债收益率曲线,0,4.6,3.0522
20210305,1001.CB,中债国债收益率曲线,0,4.7,3.0608
20210305,1001.CB,中债国债收益率曲线,0,4.8,3.0695
20210305,1001.CB,中债国债收益率曲线,0,4.9,3.0784
20210305,1001.CB,中债国债收益率曲线,0,5.0,3.0874
20210305,1001.CB,中债国债收益率曲线,0,5.1,3.0964
20210305,1001.CB,中债国债收益率曲线,0,5.2,3.1055
20210305,1001.CB,中债国债收益率曲线,0,5.3,3.1145
20210305,1001.CB,中债国债收益率曲线,0,5.4,3.1234
20210305,1001.CB,中债国债收益率曲线,0,5.5,3.1322
20210305,1001.CB,中债国债收益率曲线,0,5.6,3.1408
20210305,1001.CB,中债国债收益率曲线,0,5.7,3.1492
20210305,1001.CB,中债国债收益率曲线,0,5.8,3.1573
20210305,1001.CB,中债国债收益率曲线,0,5.9,3.1651
20210305,1001.CB,中债国债收益率曲线,0,6.0,3.1725
20210305,1001.CB,中债国债收益率曲线,0,6.1,3.1796
20210305,1001.CB,中债国债收益率曲线,0,6.2,3.1862
20210305,1001.CB,中债国债收益率曲线,0,6.3,3.1923
20210305,1001.CB,中债国债收益率曲线,0,6.4,3.1979
20210305,1001.CB,中债国债收益率曲线,0,6.5,3.2029
20210305,1001.CB,中债国债收益率曲线,0,6.6,3.2073
20210305,1001.CB,中债国债收益率曲线,0,6.7,3.211
20210305,1001.CB,中债国债收益率曲线,0,6.8,3.214
20210305,1001.CB,中债国债收益率曲线,0,6.9,3.2168
20210305,1001.CB,中债国债收益率曲线,0,7.0,3.2194
20210305,1001.CB,中债国债收益率曲线,0,7.1,3.2218
20210305,1001.CB,中债国债收益率曲线,0,7.2,3.2239
20210305,1001.CB,中债国债收益率曲线,0,7.3,3.2259
20210305,1001.CB,中债国债收益率曲线,0,7.4,3.2277
20210305,1001.CB,中债国债收益率曲线,0,7.5,3.2294
20210305,1001.CB,中债国债收益率曲线,0,7.6,3.2308
20210305,1001.CB,中债国债收益率曲线,0,7.7,3.2322
20210305,1001.CB,中债国债收益率曲线,0,7.8,3.2334
20210305,1001.CB,中债国债收益率曲线,0,7.9,3.2344
20210305,1001.CB,中债国债收益率曲线,0,8.0,3.2354
20210305,1001.CB,中债国债收益率曲线,0,8.1,3.2362
20210305,1001.CB,中债国债收益率曲线,0,8.2,3.2369
20210305,1001.CB,中债国债收益率曲线,0,8.3,3.2376
20210305,1001.CB,中债国债收益率曲线,0,8.4,3.2382
20210305,1001.CB,中债国债收益率曲线,0,8.5,3.2386
20210305,1001.CB,中债国债收益率曲线,0,8.6,3.2391
20210305,1001.CB,中债国债收益率曲线,0,8.7,3.2395
20210305,1001.CB,中债国债收益率曲线,0,8.8,3.2398
20210305,1001.CB,中债国债收益率曲线,0,8.9,3.2401
20210305,1001.CB,中债国债收益率曲线,0,9.0,3.2404
20210305,1001.CB,中债国债收益率曲线,0,9.1,3.2406
20210305,1001.CB,中债国债收益率曲线,0,9.2,3.2409
20210305,1001.CB,中债国债收益率曲线,0,9.3,3.2412
20210305,1001.CB,中债国债收益率曲线,0,9.4,3.2414
20210305,1001.CB,中债国债收益率曲线,0,9.5,3.2418
20210305,1001.CB,中债国债收益率曲线,0,9.6,3.2421
20210305,1001.CB,中债国债收益率曲线,0,9.7,3.2425
20210305,1001.CB,中债国债收益率曲线,0,9.8,3.2431
20210305,1001.CB,中债国债收益率曲线,0,9.9,3.2442
20210305,1001.CB,中债国债收益率曲线,0,10.0,3.2457
20210305,1001.CB,中债国债收益率曲线,0,10.1,3.2477
20210305,1001.CB,中债国债收益率曲线,0,10.2,3.2502
20210305,1001.CB,中债国债收益率曲线,0,10.3,3.253
20210305,1001.CB,中债国债收益率曲线,0,10.4,3.2563
20210305,1001.CB,中债国债收益率曲线,0,10.5,3.2599
20210305,1001.CB,中债国债收益率曲线,0,10.6,3.2639
20210305,1001.CB,中债国债收益率曲线,0,10.7,3.2683
20210305,1001.CB,中债国债收益率曲线,0,10.8,3.2731
20210305,1001.CB,中债国债收益率曲线,0,10.9,3.2781
20210305,1001.CB,中债国债收益率曲线,0,11.0,3.2835
20210305,1001.CB,中债国债收益率曲线,0,11.1,3.2892
20210305,1001.CB,中债国债收益率曲线,0,11.2,3.2953
20210305,1001.CB,中债国债收益率曲线,0,11.3,3.3015
20210305,1001.CB,中债国债收益率曲线,0,11.4,3.3081
20210305,1001.CB,中债国债收益率曲线,0,11.5,3.3149
20210305,1001.CB,中债国债收益率曲线,0,11.6,3.3219
20210305,1001.CB,中债国债收益率曲线,0,11.7,3.3292
20210305,1001.CB,中债国债收益率曲线,0,11.8,3.3367
20210305,1001.CB,中债国债收益率曲线,0,11.9,3.3444
20210305,1001.CB,中债国债收益率曲线,0,12.0,3.3522
20210305,1001.CB,中债国债收益率曲线,0,12.1,3.3603
20210305,1001.CB,中债国债收益率曲线,0,12.2,3.3684
20210305,1001.CB,中债国债收益率曲线,0,12.3,3.3768
20210305,1001.CB,中债国债收益率曲线,0,12.4,3.3852
20210305,1001.CB,中债国债收益率曲线,0,12.5,3.3938
20210305,1001.CB,中债国债收益率曲线,0,12.6,3.4025
20210305,1001.CB,中债国债收益率曲线,0,12.7,3.4113
20210305,1001.CB,中债国债收益率曲线,0,12.8,3.4201
20210305,1001.CB,中债国债收益率曲线,0,12.9,3.429
20210305,1001.CB,中债国债收益率曲线,0,13.0,3.438
20210305,1001.CB,中债国债收益率曲线,0,13.1,3.4469
20210305,1001.CB,中债国债收益率曲线,0,13.2,3.4559
20210305,1001.CB,中债国债收益率曲线,0,13.3,3.4649
20210305,1001.CB,中债国债收益率曲线,0,13.4,3.4739
20210305,1001.CB,中债国债收益率曲线,0,13.5,3.4829
20210305,1001.CB,中债国债收益率曲线,0,13.6,3.4919
20210305,1001.CB,中债国债收益率曲线,0,13.7,3.5007
20210305,1001.CB,中债国债收益率曲线,0,13.8,3.5096
20210305,1001.CB,中债国债收益率曲线,0,13.9,3.5183
20210305,1001.CB,中债国债收益率曲线,0,14.0,3.527
