trade_date,ts_code,curve_name,curve_type,curve_term,yield
20210611,1001.CB,中债国债收益率曲线,0,0.0,1.5028
20210611,1001.CB,中债国债收益率曲线,0,0.08,1.7819
20210611,1001.CB,中债国债收益率曲线,0,0.1,1.81
20210611,1001.CB,中债国债收益率曲线,0,0.17,1.8456
20210611,1001.CB,中债国债收益率曲线,0,0.2,1.8645
20210611,1001.CB,中债国债收益率曲线,0,0.25,1.9119
20210611,1001.CB,中债国债收益率曲线,0,0.3,1.9576
20210611,1001.CB,中债国债收益率曲线,0,0.4,2.0548
20210611,1001.CB,中债国债收益率曲线,0,0.5,2.1559
20210611,1001.CB,中债国债收益率曲线,0,0.6,2.2565
20210611,1001.CB,中债国债收益率曲线,0,0.7,2.3339
20210611,1001.CB,中债国债收益率曲线,0,0.75,2.3583
20210611,1001.CB,中债国债收益率曲线,0,0.8,2.3796
20210611,1001.CB,中债国债收益率曲线,0,0.9,2.4256
20210611,1001.CB,中债国债收益率曲线,0,1.0,2.4459
20210611,1001.CB,中债国债收益率曲线,0,1.1,2.473
20210611,1001.CB,中债国债收益率曲线,0,1.2,2.5016
20210611,1001.CB,中债国债收益率曲线,0,1.3,2.5314
20210611,1001.CB,中债国债收益率曲线,0,1.4,2.5622
20210611,1001.CB,中债国债收益率曲线,0,1.5,2.5937
20210611,1001.CB,中债国债收益率曲线,0,1.6,2.6255
20210611,1001.CB,中债国债收益率曲线,0,1.7,2.6574
20210611,1001.CB,中债国债收益率曲线,0,1.8,2.6891
20210611,1001.CB,中债国债收益率曲线,0,1.9,2.7203
20210611,1001.CB,中债国债收益率曲线,0,2.0,2.7493
20210611,1001.CB,中债国债收益率曲线,0,2.1,2.7711
20210611,1001.CB,中债国债收益率曲线,0,2.2,2.7864
20210611,1001.CB,中债国债收益率曲线,0,2.3,2.7969
20210611,1001.CB,中债国债收益率曲线,0,2.4,2.8039
20210611,1001.CB,中债国债收益率曲线,0,2.5,2.8089
20210611,1001.CB,中债国债收益率曲线,0,2.6,2.8135
20210611,1001.CB,中债国债收益率曲线,0,2.7,2.8192
20210611,1001.CB,中债国债收益率曲线,0,2.8,2.8274
20210611,1001.CB,中债国债收益率曲线,0,2.9,2.8381
20210611,1001.CB,中债国债收益率曲线,0,3.0,2.8485
20210611,1001.CB,中债国债收益率曲线,0,3.1,2.8583
20210611,1001.CB,中债国债收益率曲线,0,3.2,2.8676
20210611,1001.CB,中债国债收益率曲线,0,3.3,2.8765
20210611,1001.CB,中债国债收益率曲线,0,3.4,2.8851
20210611,1001.CB,中债国债收益率曲线,0,3.5,2.8933
20210611,1001.CB,中债国债收益率曲线,0,3.6,2.9013
20210611,1001.CB,中债国债收益率曲线,0,3.7,2.909
20210611,1001.CB,中债国债收益率曲线,0,3.8,2.9166
20210611,1001.CB,中债国债收益率曲线,0,3.9,2.924
20210611,1001.CB,中债国债收益率曲线,0,4.0,2.9313
20210611,1001.CB,中债国债收益率曲线,0,4.1,2.9385
20210611,1001.CB,中债国债收益率曲线,0,4.2,2.9458
20210611,1001.CB,中债国债收益率曲线,0,4.3,2.9531
20210611,1001.CB,中债国债收益率曲线,0,4.4,2.9605
20210611,1001.CB,中债国债收益率曲线,0,4.5,2.968
20210611,1001.CB,中债国债收益率曲线,0,4.6,2.9757
20210611,1001.CB,中债国债收益率曲线,0,4.7,2.9836
20210611,1001.CB,中债国债收益率曲线,0,4.8,2.9918
20210611,1001.CB,中债国债收益率曲线,0,4.9,3.0001
20210611,1001.CB,中债国债收益率曲线,0,5.0,3.0085
20210611,1001.CB,中债国债收益率曲线,0,5.1,3.017
20210611,1001.CB,中债国债收益率曲线,0,5.2,3.0255
20210611,1001.CB,中债国债收益率曲线,0,5.3,3.0339
20210611,1001.CB,中债国债收益率曲线,0,5.4,3.0422
20210611,1001.CB,中债国债收益率曲线,0,5.5,3.0503
20210611,1001.CB,中债国债收益率曲线,0,5.6,3.0583
20210611,1001.CB,中债国债收益率曲线,0,5.7,3.066
20210611,1001.CB,中债国债收益率曲线,0,5.8,3.0734
20210611,1001.CB,中债国债收益率曲线,0,5.9,3.0805
20210611,1001.CB,中债国债收益率曲线,0,6.0,3.0872
20210611,1001.CB,中债国债收益率曲线,0,6.1,3.0935
20210611,1001.CB,中债国债收益率曲线,0,6.2,3.0993
20210611,1001.CB,中债国债收益率曲线,0,6.3,3.1046
20210611,1001.CB,中债国债收益率曲线,0,6.4,3.1092
20210611,1001.CB,中债国债收益率曲线,0,6.5,3.1133
20210611,1001.CB,中债国债收益率曲线,0,6.6,3.1167
20210611,1001.CB,中债国债收益率曲线,0,6.7,3.1194
20210611,1001.CB,中债国债收益率曲线,0,6.8,3.1213
20210611,1001.CB,中债国债收益率曲线,0,6.9,3.1224
20210611,1001.CB,中债国债收益率曲线,0,7.0,3.1229
20210611,1001.CB,中债国债收益率曲线,0,7.1,3.1233
20210611,1001.CB,中债国债收益率曲线,0,7.2,3.1238
20210611,1001.CB,中债国债收益率曲线,0,7.3,3.1241
20210611,1001.CB,中债国债收益率曲线,0,7.4,3.1245
20210611,1001.CB,中债国债收益率曲线,0,7.5,3.1248
20210611,1001.CB,中债国债收益率曲线,0,7.6,3.1251
20210611,1001.CB,中债国债收益率曲线,0,7.7,3.1254
20210611,1001.CB,中债国债收益率曲线,0,7.8,3.1257
