sell_date,buy_date,etf_code,etf_name,theme,style,shares,sell_price,cost,proceeds,pnl,pnl_pct,holding_days,exit_type
2021-05-06,2021-04-06,510880.SH,红利ETF,红利,stable_value,55193.34046908046,2.798,151551.17130350217,154384.6373424974,2833.4660389952187,0.01869643114351661,30,take_profit
2021-05-17,2021-05-06,159995.SZ,芯片ETF,芯片,growth,166242.57240933954,1.19,201213.85866908543,197769.3125687639,-3444.546100321517,-0.01711883129276094,11,stop_loss_or_rebalance
2021-05-31,2021-04-06,510880.SH,红利ETF,红利,stable_value,74320.11779436532,2.815,204069.92596253645,209148.36825166104,5078.442289124592,0.024885794735167898,55,take_profit
2021-06-15,2021-05-17,512010.SH,医药ETF,医药,growth,11530.290460992246,3.219,38188.24475386023,37104.87019243586,-1083.3745614243671,-0.028369320674652247,29,stop_loss_or_rebalance
2021-06-15,2021-04-19,515210.SH,钢铁ETF,钢铁,cyclical_value,32293.532646608415,1.554,50716.05650905177,50169.09448790963,-546.9620211421425,-0.010784790040694924,57,stop_loss_or_rebalance
2021-06-15,2021-05-06,515210.SH,钢铁ETF,钢铁,cyclical_value,28984.145355074947,1.554,48070.129712613874,45027.84947322193,-3042.280239391941,-0.06328837175144192,40,stop_loss_or_rebalance
2021-06-15,2021-05-31,515210.SH,钢铁ETF,钢铁,cyclical_value,35766.90731327656,1.554,55777.336683948575,55565.09943264233,-212.2372513062437,-0.0038050804130151427,15,stop_loss_or_rebalance
2021-06-28,2021-05-17,512010.SH,医药ETF,医药,growth,64977.92731104757,0.836,215206.45990207655,54305.25076786616,-160901.2091342104,-0.7476597552295773,42,stop_loss_or_rebalance
2021-06-28,2021-05-31,512010.SH,医药ETF,医药,growth,13036.720904921305,0.836,42981.92281225141,10895.429066911258,-32086.49374534015,-0.746511362125343,28,stop_loss_or_rebalance
2021-06-28,2021-04-06,510880.SH,红利ETF,红利,stable_value,93875.85456455489,2.859,257766.52754593708,268310.55087960244,10544.023333665362,0.04090532403120607,83,take_profit
2021-07-12,2021-06-28,515030.SH,新能源车ETF,新能源车,growth,69116.03290521704,2.462,142352.60472536745,170112.62391074057,27760.019185373123,0.19500886013943267,14,take_profit
2021-07-12,2021-06-15,515220.SH,煤炭ETF,煤炭,cyclical_value,30066.325013343918,1.589,50225.826001116024,47761.05782906962,-2464.7681720464025,-0.049073720997473196,27,stop_loss_or_rebalance
2021-07-12,2021-06-28,515220.SH,煤炭ETF,煤炭,cyclical_value,17916.29617980016,1.589,29660.36561862253,28460.453931313546,-1199.9116873089843,-0.040455053816181176,14,stop_loss_or_rebalance
2021-08-09,2021-04-06,510880.SH,红利ETF,红利,stable_value,31543.291907882754,2.801,86612.31218802431,88326.2548057894,1713.9426177650894,0.019788671777337362,125,take_profit
2021-08-09,2021-06-15,510880.SH,红利ETF,红利,stable_value,69028.33161051417,2.801,196168.32295250244,193290.35233399787,-2877.970618504565,-0.01467092431228766,55,stop_loss_or_rebalance
2021-08-09,2021-07-12,510880.SH,红利ETF,红利,stable_value,107707.53099981573,2.801,304472.7970502609,301598.2876921847,-2874.509358076204,-0.009440939834114948,28,stop_loss_or_rebalance
2021-09-22,2021-06-28,515220.SH,煤炭ETF,煤炭,cyclical_value,8159.11806766851,2.573,13507.39140411198,20987.112764874644,7479.721360762664,0.5537502495474924,86,take_profit
2021-10-08,2021-06-28,515220.SH,煤炭ETF,煤炭,cyclical_value,18303.537354241264,2.226,30301.442027565674,40731.451048295894,10430.00902073022,0.3442083387068472,102,take_profit
2021-10-18,2021-08-23,510880.SH,红利ETF,红利,stable_value,45142.80188894188,3.097,130682.4616471978,139765.315272818,9082.853625620206,0.0695032333423677,56,take_profit
2021-10-18,2021-10-08,512000.SH,券商ETF,证券,cyclical_value,39849.41546357407,1.082,44644.73472279873,43104.13241132767,-1540.6023114710551,-0.03450804044500943,10,stop_loss_or_rebalance
2021-11-01,2021-08-23,510880.SH,红利ETF,红利,stable_value,158912.85336269904,2.849,460031.76577094046,452606.8964145605,-7424.869356379961,-0.016139905782238874,70,stop_loss_or_rebalance
2021-11-01,2021-10-18,515790.SH,光伏ETF,光伏,growth,148291.0135825991,1.864,262850.50757118606,276331.52498316934,13481.01741198328,0.051287773938699,14,take_profit
2021-11-15,2021-11-01,512800.SH,银行ETF,银行,stable_value,512268.98189367465,1.166,608245.7004922442,597126.4411981582,-11119.25929408602,-0.018280867887906758,14,stop_loss_or_rebalance
2021-11-29,2021-11-15,515030.SH,新能源车ETF,新能源车,growth,16886.694832907822,2.688,42888.18077620719,45377.81828014298,2489.637503935788,0.058049501258326835,14,take_profit
2021-11-29,2021-11-15,159928.SZ,消费ETF,消费,stable_value,24856.97549904989,1.182,29041.657267105136,29372.130756365008,330.4734892598717,0.01137929169194459,14,take_profit
2021-12-13,2021-11-15,159928.SZ,消费ETF,消费,stable_value,236378.52129299205,1.241,276172.9399040757,293257.7412011258,17084.801297050086,0.06186269119264263,28,take_profit
2021-12-27,2021-12-13,512660.SH,军工ETF,军工,growth,170416.78772554034,1.383,243257.7115111714,235615.711499195,-7642.000011976401,-0.03141524256107889,14,stop_loss_or_rebalance
2022-01-10,2021-11-15,159928.SZ,消费ETF,消费,stable_value,252680.9882512298,1.185,295219.9336957196,299337.14298638405,4117.209290664468,0.01394624420892946,56,take_profit
2022-01-10,2021-12-27,159928.SZ,消费ETF,消费,stable_value,247743.8403572798,1.185,307294.5227516399,293488.37788812956,-13806.14486351033,-0.044928053841912,14,stop_loss_or_rebalance
2022-01-10,2021-12-13,512660.SH,军工ETF,军工,growth,32053.453973746247,1.323,45754.00090418206,42393.997591384104,-3360.003312797955,-0.07343627325257232,28,stop_loss_or_rebalance
2022-01-24,2022-01-10,512200.SH,地产ETF,地产,cyclical_value,50574.49827265922,0.837,42849.45101695344,42318.1557976995,-531.2952192539378,-0.012399113795967425,14,stop_loss_or_rebalance
2022-02-14,2022-01-24,159819.SZ,人工智能ETF,人工智能,growth,42934.08982697356,0.918,43548.22763467656,39401.67041282338,-4146.557221853174,-0.09521758856958293,21,stop_loss_or_rebalance
2022-02-14,2022-01-10,512800.SH,银行ETF,银行,stable_value,187404.79569823673,1.201,219329.39005022706,225005.6376856923,5676.247635465232,0.025880013773645908,35,take_profit
2022-03-14,2022-01-10,512800.SH,银行ETF,银行,stable_value,325169.90559850924,1.097,380562.92418712087,356604.3730256322,-23958.551161488693,-0.06295555777711125,63,stop_loss_or_rebalance
2022-05-09,2022-03-28,510880.SH,红利ETF,红利,stable_value,127286.96136183747,2.784,375227.20953587507,354260.5903612261,-20966.61917464895,-0.05587712895496816,42,stop_loss_or_rebalance
2022-06-20,2022-06-06,159928.SZ,消费ETF,消费,stable_value,128658.36987593237,1.095,131656.9976367937,140838.65073964171,9181.65310284801,0.06973919554339014,14,take_profit
2022-07-04,2022-06-06,159928.SZ,消费ETF,消费,stable_value,427391.95900173066,1.163,437353.14065098803,496907.73126451706,59554.59061352903,0.13617048805202056,28,take_profit
2022-07-18,2022-06-06,515220.SH,煤炭ETF,煤炭,cyclical_value,16449.956230244334,2.448,40643.58130627011,40257.41200378263,-386.16930248748395,-0.009501360118280457,42,stop_loss_or_rebalance
2022-07-18,2022-06-20,515220.SH,煤炭ETF,煤炭,cyclical_value,19614.464428393436,2.448,46284.40274305609,48001.80405803091,1717.4013149748207,0.03710540080875252,28,take_profit
2022-07-18,2022-07-04,515220.SH,煤炭ETF,煤炭,cyclical_value,17933.62688240439,2.448,44470.79827979293,43888.348152543505,-582.4501272494235,-0.013097361634591635,14,stop_loss_or_rebalance
2022-07-18,2022-07-04,510880.SH,红利ETF,红利,stable_value,104918.01032140563,2.917,312224.7200303936,305954.0223567079,-6270.697673685732,-0.020083924402511465,14,stop_loss_or_rebalance
2022-07-18,2022-06-20,515030.SH,新能源车ETF,新能源车,growth,54432.50603761222,2.354,125395.66882304232,128095.67897677541,2700.010153733092,0.021531925138047085,28,take_profit
2022-08-15,2022-06-20,515030.SH,新能源车ETF,新能源车,growth,13690.158692593315,2.26,31537.893999683103,30930.47671766731,-607.4172820157946,-0.019259918941382008,56,stop_loss_or_rebalance
2022-08-15,2022-07-04,515030.SH,新能源车ETF,新能源车,growth,115862.49886591415,2.26,281050.84971776675,261770.69266273483,-19280.157055031916,-0.06860024466886752,42,stop_loss_or_rebalance
2022-08-15,2022-07-18,512400.SH,有色金属ETF,有色,cyclical_value,68642.45543306513,1.314,87133.40812734302,90169.12758311587,3035.719455772851,0.03483990263913736,28,take_profit
2022-08-29,2022-08-15,515790.SH,光伏ETF,光伏,growth,116763.1512135814,1.745,209769.53156546608,203690.57335803923,-6078.958207426855,-0.02897922382750661,14,stop_loss_or_rebalance
2022-09-13,2022-07-18,159928.SZ,消费ETF,消费,stable_value,434986.5271163201,1.05,479063.8424049749,456598.8327160945,-22465.00968888041,-0.046893561359384946,57,stop_loss_or_rebalance
2022-09-13,2022-08-29,159928.SZ,消费ETF,消费,stable_value,114615.93657727982,1.05,122561.19353197246,120310.62938612196,-2250.564145850498,-0.018362779285952324,15,stop_loss_or_rebalance
2022-09-13,2022-08-15,515790.SH,光伏ETF,光伏,growth,48101.66205892978,1.668,86416.50223335525,80209.50224260057,-6206.9999907546735,-0.0718265589365509,29,stop_loss_or_rebalance
2022-09-13,2022-08-29,515220.SH,煤炭ETF,煤炭,cyclical_value,30304.16001182543,2.722,83937.39273846644,82463.17717512316,-1474.2155633432849,-0.017563275618253604,15,stop_loss_or_rebalance
2022-10-31,2022-09-13,510880.SH,红利ETF,红利,stable_value,120111.8224959447,2.747,370656.13589170936,329848.1922434411,-40807.943648268236,-0.11009650103348258,48,stop_loss_or_rebalance
2022-12-12,2022-11-28,512800.SH,银行ETF,银行,stable_value,118133.56790134248,1.068,121477.74019492084,126128.80052347819,4651.060328557345,0.038287346480880724,14,take_profit
2022-12-26,2022-11-28,512010.SH,医药ETF,医药,growth,85603.4678438016,0.463,39132.52104005872,39622.515289996634,489.99424993791763,0.012521407691478045,28,take_profit
2022-12-26,2022-12-12,512010.SH,医药ETF,医药,growth,158143.1906153132,0.463,74824.16967979143,73198.33116571355,-1625.8385140778846,-0.021728787917535585,14,stop_loss_or_rebalance
2022-12-26,2022-12-12,512200.SH,地产ETF,地产,cyclical_value,104943.08866222094,0.726,80515.49640862463,76165.82576406177,-4349.670644562866,-0.05402277621798205,14,stop_loss_or_rebalance
2023-01-09,2022-11-28,512800.SH,银行ETF,银行,stable_value,266006.0613596818,1.102,273536.26734707615,293050.7380144838,19514.470667407673,0.07134143803551564,42,take_profit
2023-03-13,2022-12-12,512010.SH,医药ETF,医药,growth,85223.90256955821,0.477,40322.999187175665,40639.60598522156,316.60679804589745,0.007851767091436769,91,take_profit
2023-03-13,2023-01-09,512010.SH,医药ETF,医药,growth,152862.57300825627,0.477,75689.67373117857,72893.57269074077,-2796.101040437803,-0.03694164477929326,63,stop_loss_or_rebalance
2023-03-13,2023-01-30,512010.SH,医药ETF,医药,growth,555906.6975391025,0.477,293050.718451988,265087.9444777341,-27962.773974253912,-0.09541957147201192,42,stop_loss_or_rebalance
2023-03-13,2022-11-28,512800.SH,银行ETF,银行,stable_value,148633.70465399773,1.053,152841.28701882495,156464.33761335938,3623.050594534434,0.02370465903030635,105,take_profit
2023-03-13,2022-12-26,512800.SH,银行ETF,银行,stable_value,112446.08589221147,1.053,117878.85106444215,118370.20672596531,491.3556615231646,0.00416831057552936,77,take_profit
2023-03-13,2022-12-26,512000.SH,券商ETF,证券,cyclical_value,47814.33853289518,0.863,39458.66333842541,41251.39502164237,1792.73168321696,0.045433157931408494,77,take_profit
