ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,volume,amount,ma20,ma60,ma120,ret_20,ret_60,ret_120,daily_ret,vol_20,max_drawdown_60,premium_20,avg_amount_20,avg_volume_20,trend_pass,etf_code,etf_name,theme,technical_score,fundamental_score,valuation_percentile,valuation_filter_pass,liquidity_pass,trend_filter_pass,final_score,market_filter_pass,market_exposure,intraday_filter_pass,selected,target_weight,signal_date,execution_date
512800.SH,2021-01-08,1.143,1.145,1.157,1.137,1.146,0.003,0.2625,5943667.48,680656922.0,,,,,,,0.002624671916010346,,,,,,False,512800.SH,银行ETF,银行,0.0,0.55,,True,False,False,0.165,False,0.0,True,False,0.0,2021-01-08,2021-01-11
510880.SH,2021-01-08,2.711,2.712,2.726,2.699,2.724,0.013,0.4795,743486.8,201713302.0,,,,,,,0.004795278495020483,,,,,,False,510880.SH,红利ETF,红利,0.0,0.55,,True,False,False,0.165,False,0.0,True,False,0.0,2021-01-08,2021-01-11
512000.SH,2021-01-08,1.186,1.186,1.195,1.173,1.179,-0.007,-0.5902,10770641.98,1272192993.0,,,,,,,-0.005902192242832949,,,,,,False,512000.SH,券商ETF,证券,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-08,2021-01-11
159928.SZ,2021-01-08,5.799,5.793,5.836,5.6,5.647,-0.152,-2.6211,514088.2,293123483.0,,,,,,,-0.02621141576133823,,,,,,False,159928.SZ,消费ETF,消费,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-08,2021-01-11
512010.SH,2021-01-08,3.183,3.175,3.219,3.13,3.162,-0.021,-0.6598,427527.34,135365767.0,,,,,,,-0.006597549481621057,,,,,,False,512010.SH,医药ETF,医药,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-08,2021-01-11
512480.SH,2021-01-08,2.142,2.145,2.161,2.115,2.144,0.002,0.0934,2212230.79,473846495.0,,,,,,,0.0009337068160597539,,,,,,False,512480.SH,半导体ETF,半导体,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-08,2021-01-11
159995.SZ,2021-01-08,1.308,1.306,1.31,1.287,1.304,-0.004,-0.3058,8466012.79,1097869201.0,,,,,,,-0.003058103975535187,,,,,,False,159995.SZ,芯片ETF,芯片,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-08,2021-01-11
159819.SZ,2021-01-08,0.949,0.947,0.979,0.947,0.971,0.022,2.3182,1122607.32,108818064.0,,,,,,,0.023182297154899834,,,,,,False,159819.SZ,人工智能ETF,人工智能,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-08,2021-01-11
512660.SH,2021-01-08,1.438,1.44,1.44,1.374,1.398,-0.04,-2.7816,14858774.82,2077039834.0,,,,,,,-0.02781641168289295,,,,,,False,512660.SH,军工ETF,军工,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-08,2021-01-11
515030.SH,2021-01-08,1.816,1.843,1.849,1.746,1.802,-0.014,-0.7709,5480018.94,977259120.0,,,,,,,-0.00770925110132159,,,,,,False,515030.SH,新能源车ETF,新能源车,0.0,0.5,,True,False,False,0.15,False,0.0,True,False,0.0,2021-01-08,2021-01-11
