trade_date,equity,cash,holding_value
2021-01-04,1000000.0,1000000.0,0.0
2021-01-05,1000000.0,1000000.0,0.0
2021-01-06,1000000.0,1000000.0,0.0
2021-01-07,1000000.0,1000000.0,0.0
2021-01-08,1000000.0,1000000.0,0.0
2021-01-11,1000000.0,1000000.0,0.0
2021-01-12,1000000.0,1000000.0,0.0
2021-01-13,1000000.0,1000000.0,0.0
2021-01-14,1000000.0,1000000.0,0.0
2021-01-15,1000000.0,1000000.0,0.0
2021-01-18,1000000.0,1000000.0,0.0
2021-01-19,1000000.0,1000000.0,0.0
2021-01-20,1000000.0,1000000.0,0.0
2021-01-21,1000000.0,1000000.0,0.0
2021-01-22,1000000.0,1000000.0,0.0
2021-01-25,1000000.0,1000000.0,0.0
2021-01-26,1000000.0,1000000.0,0.0
2021-01-27,1000000.0,1000000.0,0.0
2021-01-28,1000000.0,1000000.0,0.0
2021-01-29,1000000.0,1000000.0,0.0
2021-02-01,1000000.0,1000000.0,0.0
2021-02-02,1000000.0,1000000.0,0.0
2021-02-03,1000000.0,1000000.0,0.0
2021-02-04,1000000.0,1000000.0,0.0
2021-02-05,1000000.0,1000000.0,0.0
2021-02-08,1000000.0,1000000.0,0.0
2021-02-09,1000000.0,1000000.0,0.0
2021-02-10,1000000.0,1000000.0,0.0
2021-02-18,1000000.0,1000000.0,0.0
2021-02-19,1000000.0,1000000.0,0.0
2021-02-22,1000000.0,1000000.0,0.0
2021-02-23,1000000.0,1000000.0,0.0
2021-02-24,1000000.0,1000000.0,0.0
2021-02-25,1000000.0,1000000.0,0.0
2021-02-26,1000000.0,1000000.0,0.0
2021-03-01,1000000.0,1000000.0,0.0
2021-03-02,1000000.0,1000000.0,0.0
2021-03-03,1000000.0,1000000.0,0.0
2021-03-04,1000000.0,1000000.0,0.0
2021-03-05,1000000.0,1000000.0,0.0
2021-03-08,1000000.0,1000000.0,0.0
2021-03-09,1000000.0,1000000.0,0.0
2021-03-10,1000000.0,1000000.0,0.0
2021-03-11,1000000.0,1000000.0,0.0
2021-03-12,1000000.0,1000000.0,0.0
2021-03-15,1000000.0,1000000.0,0.0
2021-03-16,1000000.0,1000000.0,0.0
2021-03-17,1000000.0,1000000.0,0.0
2021-03-18,1000000.0,1000000.0,0.0
2021-03-19,1000000.0,1000000.0,0.0
2021-03-22,1000000.0,1000000.0,0.0
2021-03-23,1000000.0,1000000.0,0.0
2021-03-24,1000000.0,1000000.0,0.0
2021-03-25,1000000.0,1000000.0,0.0
2021-03-26,1000000.0,1000000.0,0.0
2021-03-29,1000000.0,1000000.0,0.0
2021-03-30,1000000.0,1000000.0,0.0
2021-03-31,1000000.0,1000000.0,0.0
2021-04-01,1000000.0,1000000.0,0.0
2021-04-02,1000000.0,1000000.0,0.0
2021-04-06,999790.063,300000.06299999997,699790.0
2021-04-07,1004888.7150947177,300000.06299999997,704888.6520947177
2021-04-08,1005143.6476994535,300000.06299999997,705143.5846994536
2021-04-09,1006163.3781183971,300000.06299999997,706163.3151183971
2021-04-12,1007947.9063515483,300000.06299999997,707947.8433515483
2021-04-13,999790.063,300000.06299999997,699790.0
2021-04-14,1001319.6586284152,300000.06299999997,701319.5956284152
2021-04-15,1002339.3890473588,300000.06299999997,702339.3260473588
2021-04-16,1011262.0302131147,300000.06299999997,711261.9672131147
2021-04-19,1014306.0112160686,249284.0064909482,765022.0047251205
2021-04-20,1012815.540433174,249284.0064909482,763531.5339422259
2021-04-21,1009100.2315541003,249284.0064909482,759816.2250631521
2021-04-22,1012237.6725019722,249284.0064909482,762953.6660110239
2021-04-23,1011867.2283923978,249284.0064909482,762583.2219014495
2021-04-26,1009214.1904342249,249284.0064909482,759930.1839432768
2021-04-27,1005577.1312461924,249284.0064909482,756293.1247552442
2021-04-28,1006697.1579195128,249284.0064909482,757413.1514285647
2021-04-29,1010388.5572035275,249284.0064909482,761104.5507125794
2021-04-30,1002446.5216111946,249284.0064909482,753162.5151202464
2021-05-06,1016007.0196123528,154384.65545174628,861622.3641606065
2021-05-07,1015699.041769397,154384.65545174628,861314.3863176507
2021-05-10,1025352.2432086617,154384.65545174628,870967.5877569154
2021-05-11,1016483.468013791,154384.65545174628,862098.8125620447
2021-05-12,1023432.4284245471,154384.65545174628,869047.7729728008
2021-05-13,1007421.112604823,154384.65545174628,853036.4571530767
2021-05-14,1012906.6741498752,154384.65545174628,858522.0186981289
2021-05-17,1013443.5656347858,98759.26336457339,914684.3022702124
