trade_date,etf_code,theme,valuation_percentile,valuation_score,roe_score,net_profit_growth_score,revenue_growth_score,fundamental_score,fundamental_source,valuation_filter_pass
2021-01-08,512000.SH,证券,,0.5,,,,0.5,manual_config_fallback,True
2021-01-08,512800.SH,银行,,0.55,,,,0.55,manual_config_fallback,True
2021-01-08,512200.SH,地产,,0.45,,,,0.45,manual_config_fallback,True
2021-01-08,159928.SZ,消费,,0.5,,,,0.5,manual_config_fallback,True
2021-01-08,512010.SH,医药,,0.5,,,,0.5,manual_config_fallback,True
2021-01-08,512480.SH,半导体,,0.5,,,,0.5,manual_config_fallback,True
2021-01-08,159995.SZ,芯片,,0.5,,,,0.5,manual_config_fallback,True
2021-01-08,159819.SZ,人工智能,,0.5,,,,0.5,manual_config_fallback,True
2021-01-08,512660.SH,军工,,0.5,,,,0.5,manual_config_fallback,True
2021-01-08,515030.SH,新能源车,,0.5,,,,0.5,manual_config_fallback,True
2021-01-08,515790.SH,光伏,,0.5,,,,0.5,manual_config_fallback,True
2021-01-08,512400.SH,有色,,0.5,,,,0.5,manual_config_fallback,True
2021-01-08,515220.SH,煤炭,,0.5,,,,0.5,manual_config_fallback,True
2021-01-08,515210.SH,钢铁,,0.5,,,,0.5,manual_config_fallback,True
2021-01-08,561560.SH,电力,,0.5,,,,0.5,manual_config_fallback,True
2021-01-08,510880.SH,红利,,0.55,,,,0.55,manual_config_fallback,True
2021-01-15,512000.SH,证券,,0.5,,,,0.5,manual_config_fallback,True
2021-01-15,512800.SH,银行,,0.55,,,,0.55,manual_config_fallback,True
2021-01-15,512200.SH,地产,,0.45,,,,0.45,manual_config_fallback,True
2021-01-15,159928.SZ,消费,,0.5,,,,0.5,manual_config_fallback,True
2021-01-15,512010.SH,医药,,0.5,,,,0.5,manual_config_fallback,True
2021-01-15,512480.SH,半导体,,0.5,,,,0.5,manual_config_fallback,True
2021-01-15,159995.SZ,芯片,,0.5,,,,0.5,manual_config_fallback,True
2021-01-15,159819.SZ,人工智能,,0.5,,,,0.5,manual_config_fallback,True
2021-01-15,512660.SH,军工,,0.5,,,,0.5,manual_config_fallback,True
2021-01-15,515030.SH,新能源车,,0.5,,,,0.5,manual_config_fallback,True
2021-01-15,515790.SH,光伏,,0.5,,,,0.5,manual_config_fallback,True
2021-01-15,512400.SH,有色,,0.5,,,,0.5,manual_config_fallback,True
2021-01-15,515220.SH,煤炭,,0.5,,,,0.5,manual_config_fallback,True
2021-01-15,515210.SH,钢铁,,0.5,,,,0.5,manual_config_fallback,True
2021-01-15,561560.SH,电力,,0.5,,,,0.5,manual_config_fallback,True
2021-01-15,510880.SH,红利,,0.55,,,,0.55,manual_config_fallback,True
2021-01-22,512000.SH,证券,,0.5,,,,0.5,manual_config_fallback,True
2021-01-22,512800.SH,银行,,0.55,,,,0.55,manual_config_fallback,True
2021-01-22,512200.SH,地产,,0.45,,,,0.45,manual_config_fallback,True
