trade_date,etf_code,shares,close,weight
2021-01-04,CASH,0.0,1.0,1.0
2021-01-05,CASH,0.0,1.0,1.0
2021-01-06,CASH,0.0,1.0,1.0
2021-01-07,CASH,0.0,1.0,1.0
2021-01-08,CASH,0.0,1.0,1.0
2021-01-11,CASH,0.0,1.0,1.0
2021-01-12,CASH,0.0,1.0,1.0
2021-01-13,CASH,0.0,1.0,1.0
2021-01-14,CASH,0.0,1.0,1.0
2021-01-15,CASH,0.0,1.0,1.0
2021-01-18,CASH,0.0,1.0,1.0
2021-01-19,CASH,0.0,1.0,1.0
2021-01-20,CASH,0.0,1.0,1.0
2021-01-21,CASH,0.0,1.0,1.0
2021-01-22,CASH,0.0,1.0,1.0
2021-01-25,CASH,0.0,1.0,1.0
2021-01-26,CASH,0.0,1.0,1.0
2021-01-27,CASH,0.0,1.0,1.0
2021-01-28,CASH,0.0,1.0,1.0
2021-01-29,CASH,0.0,1.0,1.0
2021-02-01,CASH,0.0,1.0,1.0
2021-02-02,CASH,0.0,1.0,1.0
2021-02-03,CASH,0.0,1.0,1.0
2021-02-04,CASH,0.0,1.0,1.0
2021-02-05,CASH,0.0,1.0,1.0
2021-02-08,CASH,0.0,1.0,1.0
2021-02-09,CASH,0.0,1.0,1.0
2021-02-10,CASH,0.0,1.0,1.0
2021-02-18,CASH,0.0,1.0,1.0
2021-02-19,CASH,0.0,1.0,1.0
2021-02-22,CASH,0.0,1.0,1.0
2021-02-23,CASH,0.0,1.0,1.0
2021-02-24,CASH,0.0,1.0,1.0
2021-02-25,CASH,0.0,1.0,1.0
2021-02-26,CASH,0.0,1.0,1.0
2021-03-01,CASH,0.0,1.0,1.0
2021-03-02,CASH,0.0,1.0,1.0
2021-03-03,CASH,0.0,1.0,1.0
2021-03-04,CASH,0.0,1.0,1.0
2021-03-05,CASH,0.0,1.0,1.0
2021-03-08,CASH,0.0,1.0,1.0
2021-03-09,CASH,0.0,1.0,1.0
2021-03-10,CASH,0.0,1.0,1.0
2021-03-11,CASH,0.0,1.0,1.0
2021-03-12,CASH,0.0,1.0,1.0
2021-03-15,CASH,0.0,1.0,1.0
2021-03-16,CASH,0.0,1.0,1.0
2021-03-17,CASH,0.0,1.0,1.0
2021-03-18,CASH,0.0,1.0,1.0
2021-03-19,CASH,0.0,1.0,1.0
2021-03-22,CASH,0.0,1.0,1.0
2021-03-23,CASH,0.0,1.0,1.0
2021-03-24,CASH,0.0,1.0,1.0
2021-03-25,CASH,0.0,1.0,1.0
2021-03-26,CASH,0.0,1.0,1.0
2021-03-29,CASH,0.0,1.0,1.0
2021-03-30,CASH,0.0,1.0,1.0
2021-03-31,CASH,0.0,1.0,1.0
2021-04-01,CASH,0.0,1.0,1.0
2021-04-02,CASH,0.0,1.0,1.0
2021-04-06,510880.SH,182094.71766848816,2.745,0.4999249662483138
2021-04-07,510880.SH,182094.71766848816,2.765,0.5017398492286943
2021-04-08,510880.SH,182094.71766848816,2.766,0.5018302476433192
