trade_date,etf_code,etf_name,theme,style,side,price,shares,value,fee
2021-04-06,510880.SH,红利ETF,红利,stable_value,BUY,2.745,254932.60473588342,699790.0,209.93699999999998
2021-04-19,515210.SH,钢铁ETF,钢铁,cyclical_value,BUY,1.57,32293.532646608415,50700.846255175216,15.210253876552564
2021-05-06,515210.SH,钢铁ETF,钢铁,cyclical_value,BUY,1.658,28984.145355074947,48055.71299871426,14.416713899614278
2021-05-06,159995.SZ,芯片ETF,芯片,growth,BUY,1.21,166242.57240933954,201153.51261530083,60.34605378459025
2021-05-06,510880.SH,红利ETF,红利,stable_value,SELL,2.798,55193.34046908046,154430.96663248714,46.32928998974614
2021-05-17,159995.SZ,芯片ETF,芯片,growth,SELL,1.19,166242.57240933954,197828.66116711404,59.34859835013421
2021-05-17,512010.SH,医药ETF,医药,growth,BUY,3.311,76508.21777203982,253318.70904322382,75.99561271296714
2021-05-31,515210.SH,钢铁ETF,钢铁,cyclical_value,BUY,1.559,35766.90731327657,55760.608501398165,16.728182550419447
2021-05-31,512010.SH,医药ETF,医药,growth,BUY,3.296,13036.720904921305,42969.03210262062,12.890709630786185
2021-05-31,510880.SH,红利ETF,红利,stable_value,SELL,2.815,74320.11779436532,209211.13159113837,62.7633394773415
2021-06-15,515210.SH,钢铁ETF,钢铁,cyclical_value,SELL,1.554,97044.58531495993,150807.28557944772,45.242185673834314
2021-06-15,515220.SH,煤炭ETF,煤炭,cyclical_value,BUY,1.67,30066.325013343918,50210.76277228434,15.0632288316853
2021-06-15,512010.SH,医药ETF,医药,growth,SELL,3.219,11530.290460992246,37116.00499393404,11.134801498180211
2021-06-15,510880.SH,红利ETF,红利,stable_value,BUY,2.841,69028.33161051417,196109.4901054708,58.83284703164123
2021-06-28,512010.SH,医药ETF,医药,growth,SELL,0.836,78014.64821596887,65220.24590854998,19.56607377256499
2021-06-28,515220.SH,煤炭ETF,煤炭,cyclical_value,BUY,1.655,44378.95160170994,73447.16490082994,22.03414947024898
2021-06-28,515030.SH,新能源车ETF,新能源车,growth,BUY,2.059,69116.03290521704,142309.9117518419,42.69297352555257
2021-06-28,510880.SH,红利ETF,红利,stable_value,SELL,2.859,93875.85456455489,268391.06820006244,80.51732046001872
2021-07-12,515030.SH,新能源车ETF,新能源车,growth,SELL,2.462,69116.03290521704,170163.67301264437,51.04910190379331
2021-07-12,515220.SH,煤炭ETF,煤炭,cyclical_value,SELL,1.589,47982.62119314408,76244.38507590594,22.87331552277178
2021-07-12,510880.SH,红利ETF,红利,stable_value,BUY,2.826,107707.53099981575,304381.4826054793,91.31444478164379
2021-08-09,510880.SH,红利ETF,红利,stable_value,SELL,2.801,208279.15451821266,583389.9118055137,175.0169735416541
2021-08-23,510880.SH,红利ETF,红利,stable_value,BUY,2.894,204055.6552516409,590537.0662982488,177.16111988947463
2021-09-22,515220.SH,煤炭ETF,煤炭,cyclical_value,SELL,2.573,8159.11806766851,20993.410788111076,6.298023236433322
2021-10-08,515220.SH,煤炭ETF,煤炭,cyclical_value,SELL,2.226,18303.537354241264,40743.674150541054,12.223102245162314
2021-10-08,512000.SH,券商ETF,证券,cyclical_value,BUY,1.12,39849.41546357407,44631.34531920296,13.389403595760887
2021-10-18,512000.SH,券商ETF,证券,cyclical_value,SELL,1.082,39849.41546357407,43117.06753158715,12.935120259476143
2021-10-18,515790.SH,光伏ETF,光伏,growth,BUY,1.772,148291.0135825991,262771.6760683656,78.83150282050967
2021-10-18,510880.SH,红利ETF,红利,stable_value,SELL,3.097,45142.80188894188,139807.257450053,41.9421772350159
2021-11-01,510880.SH,红利ETF,红利,stable_value,SELL,2.849,158912.85336269904,452742.7192303296,135.82281576909887
