窗口,开始日期,结束日期,交易日数,策略收益,策略年化,年化波动,最大回撤,夏普,交易次数,换手率,平均现金仓位,基准收益,基准年化,超额收益
2021,2021-01-04,2021-12-31,243,-0.12820681829865188,-0.13262568107132178,0.2315023597189028,-0.20470567041887422,-0.5728912708810394,41,8.951199860928318,0.4565590975119354,-0.06214167003355775,-0.06436752786512423,-0.06606514826509413
2022,2022-01-04,2022-12-30,242,-0.08128369031013372,-0.08449652379050276,0.12695573724810655,-0.13160556488179798,-0.6655589233070518,45,11.0719413884338,0.44288317593833204,-0.2127249748986597,-0.2204675832158013,0.131441284588526
2023,2023-01-03,2023-12-29,242,-0.03114929168715852,-0.0324153660109715,0.1047679172642267,-0.09260697447330535,-0.3094016456318333,36,7.153507939859093,0.4204229871983354,-0.1174900059137336,-0.12203613458287588,0.08634071422657508
2024,2024-01-02,2024-12-31,242,-0.10287615487915436,-0.10689164490841674,0.14703435338091905,-0.15037353871417958,-0.7269841533664899,37,9.852840461448837,0.35363711215989857,0.16199103566368556,0.16922234697930527,-0.2648671905428399
2025,2025-01-02,2025-12-31,243,0.1294059454370895,0.1345077830415522,0.15687345936062497,-0.08871919446428811,0.8574285515840003,53,14.71746282580847,0.30277290100397813,0.21190066933389518,0.22055792988677325,-0.08249472389680568
2026YTD,2026-01-05,2026-05-08,80,0.029791657410401573,0.09688352352928997,0.10565192605409193,-0.05897763024506619,0.9170066949814745,12,3.4309441380294006,0.4053523446397357,0.032678001275058044,0.10659706849567785,-0.002886343864656471
2021-01-01~2022-12-31,2021-01-04,2022-12-30,485,-0.19350492785420315,-0.10572434475444448,0.18680401859360998,-0.23687254512704825,-0.5659639741714904,86,18.670703122901866,0.449735235613354,-0.2650263878015796,-0.14784920394173806,0.07152145994737646
2021-07-01~2023-06-30,2021-07-01,2023-06-30,485,-0.053830437199916314,-0.02834122804549266,0.13833305752619768,-0.21129403280975567,-0.20487675579732897,90,24.615134059842916,0.3649105275763377,-0.26525844623063943,-0.14798901251343544,0.21142800903072312
2022-01-01~2023-12-31,2022-01-04,2023-12-29,484,-0.10724479754552918,-0.057354781351186546,0.11640182662680913,-0.14945402927276352,-0.4927309391378301,81,17.663598260140834,0.4316530815683337,-0.3023030399600404,-0.1709067274559033,0.1950582424145112
2022-07-01~2024-06-30,2022-07-01,2024-06-28,484,-0.12046653648144146,-0.06464952043556493,0.11963901180308073,-0.1587589082558687,-0.5403715682805413,78,16.69025976147364,0.35766777542123324,-0.22501105341799166,-0.12428967291761361,0.1045445169365502
2023-01-01~2024-12-31,2023-01-03,2024-12-31,484,-0.1308209272103289,-0.07039905288675996,0.12768593480072365,-0.177657181148124,-0.5513454007023566,73,16.69943939982722,0.38703004967911697,0.012091800116628582,0.006277593374096835,-0.14291272732695748
2023-07-01~2025-06-30,2023-07-03,2025-06-30,483,-0.13380896667675768,-0.07220801255321962,0.11949383726596606,-0.19145490203582605,-0.6042823145138526,68,15.514944606836055,0.43979980745763747,0.011096405925060004,0.0057741504194790405,-0.14490537260181768
2024-01-01~2025-12-31,2024-01-02,2025-12-31,485,0.0051973752652592076,0.002697129102807505,0.1522197306036649,-0.19150366863089197,0.01771865639304034,90,22.951722278775655,0.32815256925084973,0.3672350737764374,0.17647429172317186,-0.3620376985111782
最近24个月(2024-05-09~2026-05-08),2024-05-09,2026-05-08,484,0.022538940099077864,0.011672453445245923,0.14919053810657848,-0.19150366863089197,0.07823856387532684,90,22.238837770909473,0.34137605179140085,0.32946680379996396,0.15982928180079736,-0.3069278637008861
