窗口,开始日期,结束日期,交易日数,策略收益,策略年化,年化波动,最大回撤,夏普,交易次数,换手率,平均现金仓位,基准收益,基准年化,超额收益
2021,2021-01-04,2021-12-31,243,-12.82%,-13.26%,23.15%,-20.47%,-0.57,41,895.12%,45.66%,-6.21%,-6.44%,-6.61%
2022,2022-01-04,2022-12-30,242,-8.13%,-8.45%,12.70%,-13.16%,-0.67,45,1107.19%,44.29%,-21.27%,-22.05%,13.14%
2023,2023-01-03,2023-12-29,242,-3.11%,-3.24%,10.48%,-9.26%,-0.31,36,715.35%,42.04%,-11.75%,-12.20%,8.63%
2024,2024-01-02,2024-12-31,242,-10.29%,-10.69%,14.70%,-15.04%,-0.73,37,985.28%,35.36%,16.20%,16.92%,-26.49%
2025,2025-01-02,2025-12-31,243,12.94%,13.45%,15.69%,-8.87%,0.86,53,1471.75%,30.28%,21.19%,22.06%,-8.25%
2026YTD,2026-01-05,2026-05-08,80,2.98%,9.69%,10.57%,-5.90%,0.92,12,343.09%,40.54%,3.27%,10.66%,-0.29%
2021-01-01~2022-12-31,2021-01-04,2022-12-30,485,-19.35%,-10.57%,18.68%,-23.69%,-0.57,86,1867.07%,44.97%,-26.50%,-14.78%,7.15%
2021-07-01~2023-06-30,2021-07-01,2023-06-30,485,-5.38%,-2.83%,13.83%,-21.13%,-0.20,90,2461.51%,36.49%,-26.53%,-14.80%,21.14%
2022-01-01~2023-12-31,2022-01-04,2023-12-29,484,-10.72%,-5.74%,11.64%,-14.95%,-0.49,81,1766.36%,43.17%,-30.23%,-17.09%,19.51%
2022-07-01~2024-06-30,2022-07-01,2024-06-28,484,-12.05%,-6.46%,11.96%,-15.88%,-0.54,78,1669.03%,35.77%,-22.50%,-12.43%,10.45%
2023-01-01~2024-12-31,2023-01-03,2024-12-31,484,-13.08%,-7.04%,12.77%,-17.77%,-0.55,73,1669.94%,38.70%,1.21%,0.63%,-14.29%
2023-07-01~2025-06-30,2023-07-03,2025-06-30,483,-13.38%,-7.22%,11.95%,-19.15%,-0.60,68,1551.49%,43.98%,1.11%,0.58%,-14.49%
2024-01-01~2025-12-31,2024-01-02,2025-12-31,485,0.52%,0.27%,15.22%,-19.15%,0.02,90,2295.17%,32.82%,36.72%,17.65%,-36.20%
最近24个月(2024-05-09~2026-05-08),2024-05-09,2026-05-08,484,2.25%,1.17%,14.92%,-19.15%,0.08,90,2223.88%,34.14%,32.95%,15.98%,-30.69%
